,Doctor Steve Nz,Rockin Rufus,Eton Rock,Captains Beachbabe,Miss Lamarr,Gold Horseshoe,Blockjorg,Simply Shaz Nz,Mista Editorial Nz,The Verandah
11-01-2023 18:15:41.542650,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:43.210547,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:44.899045,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:46.465075,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:48.062627,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:49.630887,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:51.134038,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:52.679942,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:54.232359,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:55.871916,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 146.25)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:57.429742,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:15:59.059849,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:16:00.530932,"(5.5, 99999, 99990)","(15.0, 24.0, 22.125)","(1.45, 1.69, 1.686)","(61.0, 200.0, 96.0)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 155.71428571428572)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.875)"
11-01-2023 18:16:02.018995,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6822222222222223)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:03.533210,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6822222222222223)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:05.157832,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6822222222222223)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:06.785746,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6822222222222223)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:08.565613,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6822222222222223)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:10.268742,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6822222222222223)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:12.183902,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.69, 1.6663157894736842)","(61.0, 200.0, 73.33333333333333)","(10.0, 20.0, 15.75)","(51.0, 160.0, 110.0)","(91.0, 190.0, 146.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.4375)"
11-01-2023 18:16:13.716238,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.68, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.5, 15.75)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:15.332615,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.5, 15.75)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:16.933590,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.5, 15.75)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:18.483495,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.5, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:20.076403,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.0, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:21.522395,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.0, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:23.105586,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.0, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:24.658787,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.0, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:26.047429,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.0, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:27.453663,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 75.0)","(10.0, 19.0, 16.0)","(51.0, 160.0, 110.0)","(91.0, 190.0, 120.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:28.862520,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 131.8181818181818)","(10.0, 19.0, 17.666666666666668)","(51.0, 160.0, 110.0)","(91.0, 190.0, 161.42857142857144)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:30.197103,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.0, 17.666666666666668)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:31.617175,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.0, 17.666666666666668)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:33.051362,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.0, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:34.609507,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6158064516129031)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:36.078307,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.67, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 33.666666666666664)"
11-01-2023 18:16:37.608672,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 37.57142857142857)"
11-01-2023 18:16:39.154710,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:40.598135,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:41.987930,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:43.418677,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:44.898847,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:46.430279,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:48.011796,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:49.664013,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.6272727272727272)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 17.25)","(51.0, 160.0, 110.0)","(91.0, 190.0, 170.0)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:51.151950,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.5047058823529411)","(61.0, 200.0, 83.33333333333333)","(10.0, 19.5, 18.555555555555557)","(51.0, 160.0, 112.5)","(91.0, 190.0, 162.85714285714286)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:52.742129,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.5426086956521738)","(61.0, 200.0, 83.33333333333333)","(10.0, 23.0, 18.555555555555557)","(51.0, 160.0, 112.5)","(91.0, 190.0, 162.85714285714286)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:54.661111,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.5265)","(61.0, 200.0, 83.33333333333333)","(10.0, 23.0, 19.0)","(51.0, 160.0, 112.5)","(91.0, 190.0, 162.85714285714286)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:56.580914,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.5265)","(61.0, 200.0, 113.33333333333334)","(10.0, 22.0, 19.0)","(51.0, 160.0, 112.5)","(91.0, 190.0, 162.85714285714286)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:58.186533,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.5265)","(61.0, 200.0, 113.33333333333334)","(10.0, 22.0, 19.0)","(51.0, 160.0, 112.5)","(91.0, 190.0, 162.85714285714286)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 34.333333333333336)"
11-01-2023 18:16:59.666354,"(5.5, 99999, 99990)","(15.0, 24.0, 22.5)","(1.45, 1.65, 1.5265)","(61.0, 200.0, 113.33333333333334)","(10.0, 22.0, 19.0)","(51.0, 160.0, 112.5)","(91.0, 190.0, 162.85714285714286)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 40.0, 35.75)"
