,Rapid Combustion,Hally Mulwee,Tiny Sparkle,Thanks For That,Bad Boy Smooth,Torpedo Rose,Fun Day Friday,Roy Rip
11-01-2023 09:11:47.779426,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:49.071996,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:50.238297,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:51.516723,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:52.695244,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:53.812286,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:54.990608,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:56.113420,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:57.342152,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:58.512972,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:11:59.695626,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:00.812033,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:01.903881,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:03.037215,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:04.191991,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:05.386747,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:06.602127,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:07.782000,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:08.979173,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:10.092500,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:11.161568,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:12.329576,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:13.495143,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:14.721465,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:15.876171,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:17.015853,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:18.136420,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:19.183690,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:20.266439,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:21.409740,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:22.606696,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:23.775469,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:24.999891,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:26.109022,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:27.232332,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:28.335784,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:29.471272,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:30.603108,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:31.780254,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:32.922026,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:33.994292,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:35.145177,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:36.280212,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:37.380221,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:38.479864,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:39.629029,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:40.761267,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:41.891460,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:43.068566,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:44.215980,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:45.474856,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:46.578853,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:47.706373,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:48.952077,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:50.162085,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:51.346504,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:52.475627,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:53.507051,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:54.629077,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:55.821699,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:57.163455,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:58.463716,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:12:59.769959,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:00.977695,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:02.095013,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:03.237053,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:04.457300,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:05.664778,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:07.012827,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:08.308511,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:09.449970,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:10.719965,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:11.790609,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:12.901617,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:14.080533,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:15.293355,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
11-01-2023 09:13:16.505637,"(5.0, 9.0, 8.6)","(5.5, 12.0, 10.2)","(2.45, 3.55, 3.5154838709677416)","(31.0, 130.0, 80.0)","(26.0, 110.0, 67.0)","(21.0, 75.0, 65.0)","(21.0, 70.0, 61.07142857142858)","(2.7, 4.8, 3.732830188679245)"
