,Hey Mister Taylor,Mister Reactor,Alwaysbme,Just Joshin,Bangkok Deejay,Delightful Reason,Misty Creek,Little Bolt,Goelitz,Captains Pick
07-01-2023 18:42:54.567623,"(4.6, 9.8, 9.454545454545455)","(12.0, 19.5, 19.47692307692308)","(3.8, 3.8, 3.275)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 14.925)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 8.0, 7.888888888888889)","(51.0, 90.0, 79.6)"
07-01-2023 18:42:55.881391,"(4.6, 6.2, 6.08)","(12.0, 19.5, 15.0)","(3.8, 3.8, 3.275)","(12.0, 23.0, 18.666666666666664)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 9.8, 9.342857142857143)","(51.0, 90.0, 75.2)"
07-01-2023 18:42:57.056576,"(4.6, 9.8, 8.733333333333334)","(12.0, 19.5, 15.0)","(3.8, 3.8, 3.275)","(12.0, 24.0, 11.314285714285713)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 9.4, 9.342857142857143)","(51.0, 100.0, 75.2)"
07-01-2023 18:42:58.241434,"(4.6, 9.8, 8.733333333333334)","(12.0, 19.5, 15.0)","(3.8, 3.8, 3.275)","(12.0, 24.0, 11.314285714285713)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 8.879999999999999)","(8.0, 9.4, 9.342857142857143)","(51.0, 100.0, 75.2)"
07-01-2023 18:42:59.585734,"(4.6, 9.8, 8.733333333333334)","(12.0, 19.5, 15.0)","(3.8, 3.8, 3.275)","(12.0, 24.0, 11.314285714285713)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 12.0, 11.5)","(8.0, 9.4, 9.342857142857143)","(51.0, 100.0, 75.2)"
07-01-2023 18:43:00.875908,"(4.6, 9.8, 9.454545454545455)","(12.0, 19.5, 18.636363636363637)","(3.8, 3.8, 3.719642857142857)","(12.0, 9.4, 8.866666666666667)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 13.0, 11.0)","(8.0, 13.5, 11.4)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:02.176245,"(4.6, 9.8, 9.333333333333334)","(12.0, 16.5, 15.0)","(3.8, 3.8, 3.7575471698113208)","(12.0, 9.4, 8.866666666666667)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 13.0, 8.725)","(8.0, 13.5, 11.4)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:03.381890,"(4.6, 9.8, 9.333333333333334)","(12.0, 16.5, 18.636363636363637)","(3.8, 3.8, 3.7575471698113208)","(12.0, 9.4, 8.866666666666667)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 14.5, 9.7)","(8.0, 13.5, 11.4)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:04.741307,"(4.6, 9.8, 9.333333333333334)","(12.0, 19.5, 18.636363636363637)","(3.8, 3.8, 3.7575471698113208)","(12.0, 9.4, 7.027450980392157)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 15.5, 9.2)","(8.0, 13.5, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:05.902049,"(4.6, 9.8, 9.333333333333334)","(12.0, 19.5, 18.636363636363637)","(3.8, 3.8, 3.66)","(12.0, 7.4, 9.24)","(7.0, 18.0, 16.68888888888889)","(21.0, 40.0, 26.5)","(11.0, 14.0, 11.9)","(8.0, 14.0, 9.2)","(8.0, 14.0, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:07.052063,"(4.6, 9.8, 9.333333333333334)","(12.0, 19.5, 18.636363636363637)","(3.8, 3.8, 3.7249999999999996)","(12.0, 9.4, 9.24)","(7.0, 18.0, 22.2)","(21.0, 40.0, 26.5)","(11.0, 14.0, 12.133333333333333)","(8.0, 14.0, 9.2)","(8.0, 14.0, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:08.260947,"(4.6, 9.8, 8.266666666666667)","(12.0, 19.5, 17.816666666666666)","(3.8, 3.8, 3.7249999999999996)","(12.0, 9.4, 9.24)","(7.0, 23.0, 20.628571428571426)","(21.0, 40.0, 41.42857142857143)","(11.0, 14.0, 10.95)","(8.0, 14.0, 9.2)","(8.0, 14.0, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:09.486505,"(4.6, 9.8, 8.266666666666667)","(12.0, 19.5, 17.816666666666666)","(3.8, 3.85, 5.896374622356496)","(12.0, 9.4, 9.24)","(7.0, 23.0, 15.9)","(21.0, 42.0, 41.92)","(11.0, 13.5, 11.033333333333333)","(8.0, 14.0, 9.2)","(8.0, 14.0, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:10.702251,"(4.6, 9.8, 8.266666666666667)","(12.0, 19.5, 17.816666666666666)","(3.8, 5.9, 5.895744680851064)","(12.0, 9.4, 6.805)","(7.0, 23.0, 21.25)","(21.0, 42.0, 45.87755102040816)","(11.0, 13.5, 11.9)","(8.0, 14.0, 9.2)","(8.0, 14.0, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:11.904290,"(4.6, 8.0, 7.833333333333333)","(12.0, 19.5, 17.816666666666666)","(3.8, 5.9, 5.895744680851064)","(12.0, 7.0, 6.407594936708861)","(7.0, 23.0, 15.9)","(21.0, 46.0, 45.88)","(11.0, 14.0, 11.5)","(8.0, 14.0, 9.2)","(8.0, 14.0, 10.88888888888889)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:13.275376,"(4.6, 9.8, 9.533333333333335)","(12.0, 19.5, 17.816666666666666)","(3.8, 5.9, 8.515686274509804)","(12.0, 7.0, 6.025)","(7.0, 23.0, 15.9)","(21.0, 46.0, 45.86666666666667)","(11.0, 14.0, 11.5)","(8.0, 14.0, 7.06)","(8.0, 14.0, 10.178571428571429)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:14.507383,"(4.6, 9.8, 9.533333333333335)","(12.0, 19.5, 17.816666666666666)","(3.8, 8.8, 8.515686274509804)","(12.0, 7.0, 6.025)","(7.0, 23.0, 15.9)","(21.0, 46.0, 45.86666666666667)","(11.0, 14.0, 11.5)","(8.0, 9.4, 7.06)","(8.0, 12.5, 10.178571428571429)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:15.712859,"(4.6, 9.8, 9.533333333333335)","(12.0, 19.5, 17.816666666666666)","(3.8, 8.8, 7.775)","(12.0, 7.0, 6.025)","(7.0, 23.0, 15.9)","(21.0, 46.0, 59.0)","(11.0, 14.0, 9.026041666666666)","(8.0, 9.4, 7.06)","(8.0, 7.4, 8.422535211267606)","(51.0, 95.0, 58.33333333333333)"
07-01-2023 18:43:16.968377,"(4.6, 9.8, 9.533333333333335)","(12.0, 19.5, 17.816666666666666)","(3.8, 8.8, 7.775)","(12.0, 7.0, 6.025)","(7.0, 23.0, 15.9)","(21.0, 65.0, 59.0)","(11.0, 14.0, 9.026041666666666)","(8.0, 9.4, 7.06)","(8.0, 10.0, 8.422535211267606)","(51.0, 95.0, 30.285714285714285)"
07-01-2023 18:43:18.220949,"(4.6, 9.8, 9.533333333333335)","(12.0, 19.5, 17.816666666666666)","(3.8, 8.8, 7.775)","(12.0, 7.0, 6.025)","(7.0, 6.4, 6.219512195121951)","(21.0, 75.0, 70.0)","(11.0, 14.0, 9.026041666666666)","(8.0, 9.4, 7.06)","(8.0, 10.0, 8.476470588235294)","(51.0, 32.0, 70.0)"
07-01-2023 18:43:19.415862,"(4.6, 9.8, 9.533333333333335)","(12.0, 19.5, 17.816666666666666)","(3.8, 8.8, 6.014285714285714)","(12.0, 7.0, 6.025)","(7.0, 16.5, 8.85)","(21.0, 75.0, 70.0)","(11.0, 14.0, 8.628124999999999)","(8.0, 9.4, 7.06)","(8.0, 10.0, 8.476470588235294)","(51.0, 90.0, 70.0)"
07-01-2023 18:43:20.638065,"(4.6, 9.8, 13.5)","(12.0, 19.5, 16.955555555555556)","(3.8, 8.8, 10.453846153846154)","(12.0, 7.0, 6.029850746268656)","(7.0, 15.0, 13.782295081967213)","(21.0, 75.0, 98.94736842105263)","(11.0, 14.0, 8.629189189189189)","(8.0, 9.4, 9.7)","(8.0, 10.0, 8.646666666666667)","(51.0, 90.0, 62.5)"
07-01-2023 18:43:21.846856,"(4.6, 16.0, 13.5)","(12.0, 23.0, 13.8)","(3.8, 12.0, 8.879999999999999)","(12.0, 7.0, 6.611940298507462)","(7.0, 15.0, 2.817307692307692)","(21.0, 100.0, 98.94736842105263)","(11.0, 14.0, 9.225945945945945)","(8.0, 15.5, 12.0)","(8.0, 10.0, 7.754838709677419)","(51.0, 95.0, 83.33333333333334)"
07-01-2023 18:43:23.064950,"(4.6, 9.6, 7.8)","(12.0, 23.0, 13.8)","(3.8, 12.0, 8.879999999999999)","(12.0, 7.0, 8.466666666666667)","(7.0, 3.25, 2.3892307692307693)","(21.0, 100.0, 108.42105263157895)","(11.0, 14.0, 13.133333333333333)","(8.0, 16.0, 10.26)","(8.0, 10.0, 7.7846153846153845)","(51.0, 110.0, 47.75)"
07-01-2023 18:43:24.327828,"(4.6, 13.5, 9.3)","(12.0, 23.0, 15.333333333333334)","(3.8, 14.5, 9.64)","(12.0, 9.4, 8.466666666666667)","(7.0, 2.42, 2.3962264150943393)","(21.0, 110.0, 108.42105263157895)","(11.0, 21.0, 12.799999999999999)","(8.0, 18.5, 10.15)","(8.0, 10.0, 8.338461538461537)","(51.0, 95.0, 56.0)"
07-01-2023 18:43:25.627960,"(4.6, 13.5, 11.925)","(12.0, 23.0, 15.333333333333334)","(3.8, 14.5, 14.439597315436242)","(12.0, 9.4, 8.266666666666667)","(7.0, 3.0, 2.455)","(21.0, 110.0, 108.42105263157895)","(11.0, 20.0, 16.46666666666667)","(8.0, 13.5, 10.15)","(8.0, 10.0, 8.649999999999999)","(51.0, 95.0, 73.33333333333334)"
07-01-2023 18:43:26.938584,"(4.6, 16.0, 8.5)","(12.0, 23.0, 20.32)","(3.8, 14.5, 13.980898876404494)","(12.0, 9.4, 8.55)","(7.0, 2.98, 2.537142857142857)","(21.0, 110.0, 108.42105263157895)","(11.0, 20.0, 15.36)","(8.0, 13.5, 10.15)","(8.0, 10.0, 9.545945945945945)","(51.0, 95.0, 61.0)"
