,Whistling,Hes Got Swag,Kintsugi,Speedy Riot,Pipeline Icon,Eadie,Bok Choy,Slippery Shark
06-01-2023 14:06:42.070537,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 33.714285714285715)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:43.386155,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 33.714285714285715)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:44.754666,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.3)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 46.4)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:46.101228,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.8, 5.3)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 46.4)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:47.407232,"(3.7, 5.8, 5.022222222222222)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.8, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 46.4)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:48.668185,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 46.4)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:49.944300,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:51.231821,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:52.694203,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:54.076221,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:55.737845,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:57.178613,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:06:58.674363,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:00.100784,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:01.504235,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 38.46153846153846)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:02.935048,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 9.676923076923078)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 55.0, 45.77777777777778)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:04.831895,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.77777777777778)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:06.420421,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.77777777777778)","(8.0, 13.5, 9.872727272727273)"
