,Smokin Rico,Madalia Tipper,Dr Chieftain,Play The Victim,Work Boot,Nannas Blue Boy
10-01-2023 17:20:28.511243,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:29.486308,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:30.426066,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:31.448896,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:32.429224,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:33.383689,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:34.369567,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:35.409787,"(2.3, 3.4, 2.7705263157894735)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:36.419565,"(2.3, 3.35, 2.8528571428571428)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:37.720740,"(2.3, 3.3, 2.7694117647058825)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:38.930108,"(2.3, 3.3, 2.7694117647058825)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:39.932663,"(2.3, 3.3, 2.7694117647058825)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:40.997855,"(2.3, 3.25, 2.76875)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:42.084627,"(2.3, 3.25, 2.76875)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:43.132191,"(2.3, 3.25, 2.76875)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:44.168090,"(2.3, 3.25, 2.76875)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:45.101068,"(2.3, 3.25, 2.76875)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:46.028533,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:47.049853,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.935294117647059)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:48.047871,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:49.001171,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.893939393939394)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:50.154867,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:51.171348,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:52.112740,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:53.162767,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:54.231404,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:55.402348,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:56.511093,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:57.634368,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:58.590577,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:20:59.600289,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:00.625143,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:01.654456,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:02.883516,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:04.011499,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:05.000191,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.444444444444443)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:06.042118,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.72222222222222)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:07.062769,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.72222222222222)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:08.213605,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 28.166666666666664)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:09.428636,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:10.598507,"(2.3, 3.2, 2.7341176470588238)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:11.739262,"(2.3, 3.15, 2.767142857142857)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:12.971857,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:14.061069,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:15.049149,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:16.067420,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:17.230382,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:18.272916,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:19.243657,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 30.2)"
10-01-2023 17:21:20.301650,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 32.0, 32.0)"
10-01-2023 17:21:21.372960,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:22.340208,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:23.359646,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:24.447111,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:25.542842,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:26.664888,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:27.690637,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:28.674637,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:29.675959,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:30.708736,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:31.706058,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:32.760589,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:33.797715,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:34.748180,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:35.712450,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:36.823783,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:37.855489,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:38.839831,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:39.818777,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:40.974755,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:42.071822,"(2.3, 3.05, 2.5275)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:43.146069,"(2.3, 3.0, 2.5272727272727273)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:44.138498,"(2.3, 3.0, 2.5272727272727273)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:45.098200,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.929090909090909)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:46.167974,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:47.217265,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.9115151515151516)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:48.196170,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:49.232528,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.7533333333333334)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:50.250385,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:51.210202,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:52.289480,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:53.321407,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:54.348421,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:55.355018,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 33.230769230769226)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:56.450015,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:57.599652,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:58.649548,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:21:59.582238,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:00.588182,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:01.606874,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:02.613909,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:03.592611,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:04.656080,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:05.743789,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:06.781011,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
10-01-2023 17:22:07.712525,"(2.3, 2.98, 2.5157142857142856)","(15.0, 44.0, 26.5)","(8.0, 14.5, 11.61111111111111)","(5.0, 8.0, 6.68)","(2.5, 4.3, 2.974285714285714)","(15.0, 36.0, 32.0)"
