,Mr Wallace,All Inn Maggie,Flatty Hunter,Crackerjack Pa,Notorious Billy,Maximum Ang,Aston Daisy,Saint Prue
07-01-2023 19:24:00.059784,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:01.242193,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:02.322353,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:03.404377,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.07)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:04.375882,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:05.446885,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:06.544070,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:07.636566,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 16.03478260869565)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:08.790173,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:10.036033,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:11.254981,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:12.405532,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:13.431715,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:14.453652,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:15.544283,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 9.866666666666667)","(91.0, 590.0, 532.7777777777778)"
07-01-2023 19:24:16.670612,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 37.8125)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.63125)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:17.738019,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:18.809357,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:19.863206,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:20.947604,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:22.072317,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:23.136971,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:24.275357,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:25.455748,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:26.652376,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:27.812098,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:28.847833,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.0875)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:29.887336,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.767741935483871)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:30.969935,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 3.767741935483871)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:32.151046,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:33.198029,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:34.316793,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:35.428176,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:36.552986,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 32.04545454545455)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:37.705913,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 46.36363636363637)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:38.771316,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:39.879263,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:40.936688,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:42.094562,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:43.178392,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:44.420665,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:45.525552,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.7105882352941175)","(2.5, 4.0, 2.7062500000000003)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:46.648272,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 3.7536842105263157)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:47.717370,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:48.829969,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 504.16666666666663)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:49.890499,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:50.979495,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:52.131524,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:53.286527,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:54.452677,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:55.506218,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:56.593692,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:57.656729,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:58.671382,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:24:59.736350,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:00.884654,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:02.007672,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:03.110439,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:04.210100,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:05.324993,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:06.535223,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:07.646368,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
07-01-2023 19:25:08.744613,"(3.0, 5.5, 4.055128205128205)","(19.0, 70.0, 32.54545454545455)","(81.0, 590.0, 532.7777777777778)","(13.0, 34.0, 29.8)","(3.0, 4.6, 3.9951999999999996)","(2.5, 4.0, 2.59375)","(10.0, 20.0, 10.5)","(91.0, 590.0, 504.16666666666663)"
