,Miss Verity,Redemption Day,Kiah Beach,Fulton,Alert,Balts Orson
10-01-2023 20:53:20.757866,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:21.962030,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:23.140103,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:24.296367,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:25.544457,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:26.684981,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:27.570511,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:28.900310,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:30.013462,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:31.041852,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:32.046642,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:33.118578,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:34.218225,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:35.318312,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:36.421621,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:37.491964,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:38.556851,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:39.563155,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:40.523174,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:41.626454,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:42.765502,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:43.821725,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:44.842489,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:45.968636,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:47.036371,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:48.206288,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:49.362409,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:50.452983,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:51.484081,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:52.545299,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:53.600855,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:54.707117,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:55.971730,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:57.230555,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:58.404253,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:53:59.684903,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:01.149929,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:02.767379,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:04.033682,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:05.474076,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:06.630621,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:07.804950,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:08.919033,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:10.102020,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:11.310602,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:12.430098,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:13.531865,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:14.679626,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:15.870689,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:16.920441,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:17.932359,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:19.106773,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:20.226822,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:21.408342,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:22.459833,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:23.551628,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:24.519676,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:25.419410,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:26.450287,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:27.433168,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:28.480691,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:29.522383,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:30.433418,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:31.468527,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:32.577277,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:33.614355,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:34.653479,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:35.796512,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:36.850246,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:37.898053,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:38.876520,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:39.898250,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:40.856245,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:41.785117,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:42.823476,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:43.888310,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:44.859114,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:45.834227,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:46.808910,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:48.082821,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:49.201128,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:50.236961,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:51.344715,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:52.349823,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:53.224407,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:54.212894,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:55.219152,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:56.289044,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:57.302039,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:58.259625,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:54:59.190960,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:00.133629,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:01.199025,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:02.262392,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:03.375012,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:04.398162,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:05.404859,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:06.438363,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
10-01-2023 20:55:07.331589,"(10.0, 24.0, 20.4)","(1.3, 1.85, 1.7441509433962266)","(8.0, 16.0, 15.236363636363636)","(26.0, 120.0, 82.6923076923077)","(18.0, 95.0, 57.5)","(4.8, 8.6, 5.792)"
