,Essential Three,Champagne Reactor,Whata Reactor,Subtle Advice,Chasin Dreamz,Non Passare,Jaydes Terror,Soulwriter
05-01-2023 13:48:16.707907,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:17.933622,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:19.182068,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:20.451402,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:21.632922,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:22.879454,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:24.232111,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:25.493699,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:26.724104,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:27.898910,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:29.083839,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:30.364345,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:31.549139,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.133333333333333)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:32.583952,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 10.28888888888889)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:33.708892,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 10.573333333333334)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:34.870025,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.925)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 10.573333333333334)","(4.4, 7.0, 5.5)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:35.953230,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.585714285714285)","(4.6, 6.6, 5.9625)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.0, 9.8125)","(4.4, 7.0, 6.228571428571429)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:37.101765,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.585714285714285)","(4.6, 6.6, 5.9625)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.0, 9.9)","(4.4, 7.0, 6.228571428571429)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:38.327731,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.585714285714285)","(4.6, 6.6, 5.9625)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 10.0, 9.818181818181818)","(4.4, 7.0, 6.228571428571429)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:39.578556,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.828571428571428)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 10.44)","(4.4, 7.0, 6.1)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:40.874408,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.585714285714285)","(4.6, 6.6, 5.75)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 9.4, 9.559999999999999)","(4.4, 7.0, 6.1)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:42.104353,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.75)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 9.559999999999999)","(4.4, 7.0, 5.725)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:43.329538,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.75)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.23)","(7.5, 11.0, 10.2)","(4.4, 7.0, 5.725)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:44.555036,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.6, 5.957142857142856)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.218181818181819)","(4.4, 7.0, 6.3625)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:45.822403,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.585714285714285)","(4.6, 6.6, 5.855555555555555)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 9.4, 9.3)","(4.4, 7.0, 5.9799999999999995)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:46.992010,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.585714285714285)","(4.6, 6.8, 5.855555555555555)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 9.4, 9.892307692307693)","(4.4, 7.0, 5.725)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:48.132716,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.216666666666667)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.857142857142858)","(4.4, 7.0, 5.725)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:49.324651,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.216666666666667)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.857142857142858)","(4.4, 7.0, 5.725)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:50.547331,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 5.0, 4.708823529411765)"
05-01-2023 13:48:51.678586,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.314285714285715)","(4.4, 7.0, 5.875)","(3.8, 5.0, 4.71)"
05-01-2023 13:48:52.765029,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 12.166666666666666)","(4.6, 6.8, 5.6571428571428575)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 9.4, 9.314285714285715)","(4.4, 7.0, 5.875)","(3.8, 4.9, 4.71)"
05-01-2023 13:48:53.904097,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 12.166666666666666)","(4.6, 6.8, 5.6571428571428575)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 9.4, 9.3)","(4.4, 7.0, 5.875)","(3.8, 4.9, 4.71)"
05-01-2023 13:48:55.136065,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 12.166666666666666)","(4.6, 6.8, 5.6571428571428575)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 9.4, 9.314285714285715)","(4.4, 7.0, 5.875)","(3.8, 4.9, 4.71)"
05-01-2023 13:48:56.220787,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 12.166666666666666)","(4.6, 6.8, 5.6571428571428575)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 9.4, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:48:57.326935,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.216666666666667)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:48:58.490329,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:48:59.667212,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:00.833265,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:02.016558,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:03.308050,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.4289473684210527)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:04.645417,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.216666666666667)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:05.774500,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.216666666666667)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:06.985748,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:08.228870,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:09.439293,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:10.626408,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.6125)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.742857142857144)","(4.4, 7.0, 5.725)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:11.770341,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 6.008333333333334)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 11.0, 9.82)","(4.4, 7.0, 5.9799999999999995)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:12.920142,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 6.008333333333334)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 10.5, 9.82)","(4.4, 7.0, 5.9799999999999995)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:14.186739,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.85)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 10.5, 9.82)","(4.4, 7.0, 5.9799999999999995)","(3.8, 4.9, 4.71)"
05-01-2023 13:49:15.421853,"(91.0, 190.0, 161.42857142857144)","(10.0, 16.5, 14.266666666666666)","(4.6, 6.8, 5.85)","(31.0, 60.0, 52.5)","(3.1, 3.65, 3.475)","(7.5, 10.5, 9.82)","(4.4, 7.0, 5.9799999999999995)","(3.8, 4.9, 4.71)"
