,Writeaboutchelsea,Manoflisa,Feel The Thrill,Risky Buziness,Man Of Action Nz,Mister Woodport,Isntthatright,Whata Challenge,Handsome Harry Nz,Downtown Lucca
16-12-2022 13:27:08.982383,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:10.212935,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:11.464200,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:12.647631,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:13.898702,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:15.167303,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:16.411474,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:17.718684,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:18.984114,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:20.209749,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:21.461138,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:22.685960,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:23.919432,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:25.099136,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:26.322306,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:27.548236,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:28.803475,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:30.080874,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:31.361709,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:32.623201,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:33.884637,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:35.084097,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:36.344416,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:37.572082,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:38.774265,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:39.973034,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:41.172582,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:42.504700,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:43.770726,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:45.095893,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:46.313492,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:47.575329,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 2.25)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:48.829660,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.7, 1.8474074074074074)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:50.024894,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.44, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:51.246157,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:52.446769,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:53.671940,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:54.961238,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:56.232533,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:57.517485,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:27:58.783423,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:28:00.120831,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 9.9)","(18.0, 99999, 99990)","(10.0, 16.5, 13.42)","(1.8, 2.14, 1.8206060606060606)","(14.0, 26.0, 20.0)","(9.0, 99999, 99990)","(4.8, 7.8, 7.133333333333333)"
16-12-2022 13:28:01.414363,"(61.0, 190.0, 166.66666666666666)","(71.0, 240.0, 210.0)","(21.0, 44.0, 38.44444444444444)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 14.066666666666666)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:02.700868,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 14.066666666666666)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:03.996505,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 14.066666666666666)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:05.247910,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 14.066666666666666)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:06.536312,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:07.793170,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:09.042544,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:10.299294,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:11.526631,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:12.772901,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:14.073585,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:15.361007,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:16.650914,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:17.976263,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:19.331820,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:20.725807,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:22.135137,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:23.433620,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:24.725260,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:26.042002,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
16-12-2022 13:28:27.358118,"(61.0, 190.0, 174.44444444444446)","(71.0, 240.0, 210.0)","(21.0, 44.0, 37.0)","(7.5, 13.0, 10.52)","(18.0, 99999, 99990)","(10.0, 16.5, 12.95)","(1.8, 2.14, 1.8291428571428572)","(14.0, 26.0, 23.0)","(9.0, 99999, 99990)","(4.8, 7.8, 6.0600000000000005)"
