,Alicah,So Sudden,Long Shadow,Ruff Shot,Blackpool Ryan,Xylan Bale
07-12-2022 13:23:18.394498,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:19.316613,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:20.371415,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:21.444021,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:22.499883,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:23.585405,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:24.596955,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:25.580814,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:26.565789,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:27.584473,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:28.452466,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:29.454867,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:30.474398,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:31.366938,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:32.394953,"(3.8, 5.3, 5.01)","(5.5, 12.0, 11.100000000000001)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.46)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 4.68)"
07-12-2022 13:23:33.533933,"(3.8, 5.3, 5.01)","(5.5, 12.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.7, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:34.574362,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:35.605593,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:36.582882,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:37.579185,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:38.615771,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:39.618483,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:40.509552,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:41.465322,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:42.535441,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:43.547132,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:44.500926,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 40.5)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:45.442474,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:46.444889,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:47.384709,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:48.302272,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:49.361441,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:50.445920,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:51.522318,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:52.532295,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:53.559343,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:54.587940,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:55.615894,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:56.785639,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:57.872512,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.25)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:23:59.270248,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:00.523637,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:01.555881,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:02.652109,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:03.658207,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:04.840337,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:05.889006,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:06.853568,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:07.863207,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:08.746826,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:09.708909,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:10.730127,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:11.891207,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:13.079943,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:14.091443,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:15.070414,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:16.061703,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:17.081244,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:18.079766,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:19.169935,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:20.234661,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:21.338499,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:22.407000,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:23.516057,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:24.646282,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:25.680155,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:26.635104,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:27.566431,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:28.491979,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:29.442510,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:30.385324,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:31.327765,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
07-12-2022 13:24:32.441276,"(3.8, 5.3, 4.43)","(5.5, 13.0, 8.4375)","(16.0, 48.0, 44.66666666666667)","(3.5, 4.8, 4.54)","(4.4, 5.5, 5.4363636363636365)","(3.9, 5.7, 5.36)"
