,Why Tell Tina,Zipper Sky,Pennies Forever,Could Have Been,Seriously Lush,Got A Repair
10-01-2023 12:26:09.844730,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:10.934383,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:12.045887,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:13.178177,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:14.249874,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:15.281765,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:16.345041,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:17.368134,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:18.388538,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:19.417189,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:20.462189,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:21.529213,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:22.614892,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:23.719793,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:24.696805,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:25.768349,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:26.862596,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:28.041680,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:29.215056,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:30.277200,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:31.265739,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:32.367191,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:33.460109,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:34.468233,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:35.556051,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:36.632787,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:37.793695,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:38.859000,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:39.892593,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:40.949811,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:42.084452,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:43.154367,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:44.232268,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:45.189778,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:46.278000,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:47.340320,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:48.405082,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:49.489184,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 16.12)"
10-01-2023 12:26:50.620544,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:51.754008,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:52.912617,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:53.994968,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:55.009267,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:56.047330,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:57.176405,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:58.254560,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:26:59.332745,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:00.396421,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:01.449089,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:02.615732,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:03.723200,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:04.814737,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:05.928187,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:07.098010,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:08.261499,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:09.337584,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:10.334176,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:11.305781,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:12.470918,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:13.752511,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:14.933563,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:16.060400,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:17.251277,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:18.439157,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:19.605784,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:20.647294,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:21.761577,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:22.873075,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:23.951833,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:25.006976,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:26.084823,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:27.178419,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:28.310623,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:29.495400,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:30.605176,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:31.733636,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:32.865992,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:33.993387,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:35.074449,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:36.137150,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:37.211639,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
10-01-2023 12:27:38.380100,"(3.8, 5.7, 4.405)","(2.7, 3.85, 2.8864705882352943)","(3.9, 5.6, 5.222222222222221)","(13.0, 160.0, 143.66666666666666)","(6.0, 32.0, 23.133333333333333)","(6.5, 23.0, 11.600000000000001)"
