,Als Holiday,Road To Glebe,Edna Krabappel,Blue Zeal,Maxs Magic,Yore Chevy,Hidden Mask,Oscar Octopus
12-01-2023 14:28:08.823706,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:10.112297,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:11.326748,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:12.625445,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:14.039359,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:15.272137,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:16.494691,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:17.692766,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:18.935259,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:20.196139,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:21.330593,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:22.531559,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:23.786907,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:24.960019,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:26.221149,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.0)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:27.510869,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.428571428571429)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:28.896133,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.428571428571429)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 300.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:30.177938,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.428571428571429)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 267.05882352941177)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:31.334332,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.772727272727273)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 500.0, 217.14285714285714)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:28:32.630800,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 18.631578947368418)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 500.0, 217.14285714285714)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:28:33.882444,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.7)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 500.0, 217.14285714285714)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:28:35.142554,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.7)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 500.0, 217.14285714285714)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:28:36.298593,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.7)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 500.0, 217.14285714285714)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:28:37.486768,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.7)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 500.0, 217.14285714285714)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:28:38.766231,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 346.6666666666667)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:39.967664,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 490.0, 346.6666666666667)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:41.133266,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 490.0, 346.6666666666667)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:42.372618,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 490.0, 346.6666666666667)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:43.583965,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 490.0, 346.6666666666667)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:44.765331,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:46.005474,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:47.275787,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:48.592038,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:49.859659,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:51.183667,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:52.455524,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 16.070588235294117)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:53.757162,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.914285714285715)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:55.192327,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.914285714285715)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:56.544279,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.914285714285715)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:57.748596,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 13.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:28:59.113905,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:00.514694,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:01.825423,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:03.056964,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:04.394445,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:05.658773,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:06.932274,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:08.117283,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:09.418788,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:10.681306,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:11.987608,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:13.258952,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:14.491082,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:15.902343,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:17.246057,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.9)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:18.538664,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.142857142857142)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:19.828987,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.142857142857142)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:21.123587,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.142857142857142)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:22.465624,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:23.668601,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:25.056233,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:26.503502,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:27.844619,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:29.150796,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:30.551018,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 353.3333333333333)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:31.947204,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 500.0, 360.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:33.273524,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 360.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:34.613129,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 360.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:35.832487,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 360.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:37.164256,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 15.866666666666667)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 19.636363636363637)","(71.0, 510.0, 360.0)","(8.5, 16.0, 14.56)"
12-01-2023 14:29:38.551441,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.8125)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 510.0, 290.0)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:29:39.822100,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.8125)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 520.0, 290.0)","(8.5, 16.0, 13.600000000000001)"
12-01-2023 14:29:41.146569,"(5.0, 7.6, 6.418181818181818)","(3.7, 6.2, 4.116666666666667)","(9.0, 22.0, 14.8125)","(3.8, 6.8, 5.06)","(3.9, 4.2, 4.183146067415731)","(14.0, 32.0, 21.375)","(71.0, 520.0, 300.0)","(8.5, 16.0, 13.600000000000001)"
