,Aussie Annie,Magnetic Man,Superior Darcy,Shes Miss Orson,Maddie Odd Sock,Honey Double One,My Girl Whizbang,Smooth Cruiser
08-12-2022 15:02:06.541723,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:07.596559,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:08.652641,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:09.746998,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:10.866072,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:11.976809,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:13.041176,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:14.074945,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:15.100545,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:16.176036,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:17.287156,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:18.414895,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:19.662693,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 11.700000000000001)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:20.875897,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.75)","(8.0, 16.5, 10.433333333333334)","(7.0, 13.0, 12.175)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:22.201122,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:23.465780,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:24.541211,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:25.599708,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:26.702603,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:27.821610,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:28.955046,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 1.8679569892473118)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:30.032373,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:31.102905,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:32.149598,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:33.285512,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:34.387597,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:35.554333,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:36.652707,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:37.771879,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:38.843242,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:39.958185,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:41.043967,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:42.119812,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:43.177801,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 1.887741935483871)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:44.338453,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.52, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:45.462332,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:46.580231,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:47.696199,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:48.768323,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:49.738727,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:50.789460,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:51.890358,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:53.024289,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:54.174007,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:55.281505,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.1)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.161538461538463)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:56.337628,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.68181818181818)","(8.0, 16.5, 15.542105263157895)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:57.438466,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:58.527722,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:02:59.741253,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:00.883626,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:02.032044,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:03.059076,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:04.142282,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:05.281481,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:06.422886,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:07.593148,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:08.734005,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:09.829480,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:10.910041,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:12.029308,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:13.128311,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:14.244520,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:15.360016,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:16.472166,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:17.610468,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:18.781889,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:19.973196,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 11.523076923076923)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:21.200528,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 12.175)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:22.471803,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 12.175)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:23.626314,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 12.175)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
08-12-2022 15:03:24.757035,"(6.0, 11.5, 7.300000000000001)","(26.0, 100.0, 51.875)","(1.7, 2.44, 2.2096969696969695)","(12.0, 26.0, 24.727272727272727)","(8.0, 16.5, 15.563157894736843)","(7.0, 13.0, 12.175)","(9.0, 17.5, 16.366666666666667)","(20.0, 65.0, 43.86363636363637)"
