,Bee Gees Best,Campbell Best,Living Free,Our Dolly,Schooby,Fly Cheval,Tulhurst Cuddles,Three Machs,My Ultimate Heston
14-12-2022 19:44:19.857768,"(11.0, 24.0, 19.5)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.8, 6.742857142857143)","(10.0, 17.5, 15.0625)","(3.6, 4.9, 3.8)","(7.0, 10.5, 9.05)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:21.069892,"(11.0, 23.0, 16.666666666666668)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.6, 6.742857142857143)","(10.0, 17.5, 13.1)","(3.6, 4.8, 3.8)","(7.0, 10.5, 9.05)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:22.298636,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.6, 6.742857142857143)","(10.0, 17.0, 13.1)","(3.6, 4.8, 3.8)","(7.0, 10.5, 9.05)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:23.479241,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.6, 6.742857142857143)","(10.0, 17.0, 13.1)","(3.6, 4.8, 3.8)","(7.0, 10.5, 9.05)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:24.645922,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 17.0, 13.1)","(3.6, 4.8, 3.8)","(7.0, 10.5, 9.05)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:25.794938,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 17.0, 13.1)","(3.6, 4.8, 3.8)","(7.0, 10.5, 9.05)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:26.950446,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 12.5)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:28.239096,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.1)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:29.517402,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.1)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:30.690530,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:31.842300,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:32.980374,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:34.152667,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:35.378518,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:36.577596,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:37.712426,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:38.907767,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:40.135096,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:41.352264,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:42.558647,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:43.696996,"(11.0, 21.0, 16.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:44.889147,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:46.104218,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:47.357721,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:48.505346,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:49.607933,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:50.831736,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:52.039326,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:53.302900,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:54.503098,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:55.641075,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:56.825596,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:57.999465,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:44:59.199267,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:00.437928,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:01.585407,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:02.777361,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:03.977273,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:05.203105,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:06.425478,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:07.617245,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:08.806337,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:10.022297,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:11.276483,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:12.497204,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
14-12-2022 19:45:13.730714,"(11.0, 21.0, 17.0)","(31.0, 40.0, 37.6)","(4.8, 7.0, 6.5)","(6.0, 9.2, 8.0)","(6.0, 8.4, 7.2)","(10.0, 16.5, 14.666666666666666)","(3.6, 4.7, 4.15)","(7.0, 10.5, 9.4875)","(8.0, 12.5, 11.18)"
