,Responder,Krystal Bale,Edi Bale,Deep Purple,Pest Management,Kippy Bale,Daimler Bale,Lets Embrace
12-01-2023 18:17:52.689804,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 9.633333333333333)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:17:54.006836,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:17:55.357641,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:17:56.653948,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:17:58.035331,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:17:59.110207,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:00.583694,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 32.46153846153846)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:01.781531,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:02.912002,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:04.076242,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:05.334876,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:06.562853,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:07.748102,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:08.941802,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:10.253109,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:11.466279,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:12.613075,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:13.808424,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:15.040413,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 34.25)","(17.0, 44.0, 25.5625)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:16.242718,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 25.5625)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:17.374016,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:18.549063,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:19.703951,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:20.714694,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:21.793814,"(1.6, 2.3, 1.5716666666666668)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:22.924272,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:24.163524,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:25.385166,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:26.607420,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:27.797510,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:29.053260,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:30.262391,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:31.537462,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:32.613843,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:33.653016,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:34.768664,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:35.888847,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:37.362207,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:38.560619,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:39.749372,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:40.849956,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 27.61111111111111)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:41.995123,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 35.30769230769231)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:43.108975,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.5, 5.93076923076923)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:44.348909,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.5, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:45.537056,"(1.6, 2.3, 1.6757142857142857)","(17.0, 48.0, 23.625)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:46.676577,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 23.625)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:47.819273,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:48.889223,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:50.012831,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:51.154757,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:52.254465,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:53.362232,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:54.574044,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:55.599300,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:56.672699,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:58.059041,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:18:59.249969,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:00.518938,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:02.000551,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:03.141252,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:04.297077,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:05.417249,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:06.708053,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
12-01-2023 18:19:07.958739,"(1.6, 2.3, 1.7774999999999999)","(17.0, 48.0, 25.5)","(17.0, 44.0, 23.923076923076923)","(41.0, 350.0, 197.0)","(4.8, 10.0, 6.733333333333333)","(5.0, 10.5, 8.833333333333334)","(9.0, 25.0, 12.166666666666666)","(20.0, 55.0, 25.0)"
