,Sweet Succulent,Sebon Toe Less,Club Supreme,Red Tides,Zing Zang Lass,Princess Storm,Molly Palms,Slam Dunker
07-01-2023 10:18:11.761901,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.9)"
07-01-2023 10:18:13.023482,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.9)"
07-01-2023 10:18:14.363825,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.9)"
07-01-2023 10:18:15.713747,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:17.017447,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:18.320425,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:19.754181,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:21.097762,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:22.469369,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:24.195064,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:25.663196,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:27.059085,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:28.358163,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:30.077316,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:31.821047,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:33.222544,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:34.575093,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:35.918531,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:37.267625,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.566666666666666)"
07-01-2023 10:18:38.638453,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.95)"
07-01-2023 10:18:40.032423,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.2)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.95)"
07-01-2023 10:18:41.415931,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.95)"
07-01-2023 10:18:42.777679,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 12.100000000000001)"
07-01-2023 10:18:44.098147,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.600000000000001)"
07-01-2023 10:18:45.354156,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.628571428571428)"
07-01-2023 10:18:46.665060,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.628571428571428)"
07-01-2023 10:18:47.933593,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.628571428571428)"
07-01-2023 10:18:49.228129,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.628571428571428)"
07-01-2023 10:18:50.489302,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.628571428571428)"
07-01-2023 10:18:51.737176,"(6.0, 10.5, 7.44)","(3.9, 6.2, 4.1347826086956525)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.628571428571428)"
07-01-2023 10:18:52.940153,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:18:54.289939,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:18:55.560813,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:18:56.838756,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:18:58.236006,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:18:59.564875,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:19:00.825645,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:19:02.105006,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.657142857142857)"
07-01-2023 10:19:03.404053,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:04.554027,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:05.909855,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:07.150605,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:08.350373,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:09.653939,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:10.809574,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:11.875452,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:13.075788,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:14.264325,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:15.405088,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:16.613063,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.849999999999998)"
07-01-2023 10:19:17.753899,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 12.100000000000001)"
07-01-2023 10:19:18.875231,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.775000000000002)"
07-01-2023 10:19:20.068678,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:21.295250,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:22.473140,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:23.724426,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:24.898747,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:26.016903,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:27.170797,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:28.399482,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.08)"
07-01-2023 10:19:29.567356,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:30.833514,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:32.066138,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:33.136360,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:34.324826,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:35.548232,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:36.711711,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:38.015615,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
07-01-2023 10:19:39.293617,"(6.0, 10.5, 7.44)","(3.9, 6.2, 3.8960784313725494)","(18.0, 55.0, 29.6875)","(10.0, 22.0, 14.90909090909091)","(6.0, 10.5, 8.7)","(4.0, 6.4, 5.428571428571429)","(6.0, 9.4, 8.621052631578948)","(7.0, 17.0, 15.433333333333334)"
