,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:43:33.923958,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:34.866003,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:35.722810,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:36.523683,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:37.428264,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:38.334980,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:39.306254,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:40.183689,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:40.972143,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.51)"
04-01-2023 12:43:41.813945,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
