,Barnfield,Uncle Jeff,Coastal Waters,Light Cruiser,Kowboykabin,Joker Matt,Our Valley,Bodemonster,Danny Zuko,No Slo Mo
08-01-2023 08:58:11.033913,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.408)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.5)","(21.0, 32.0, 28.666666666666668)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.485714285714286)"
08-01-2023 08:58:12.059751,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.408)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.5)","(21.0, 32.0, 28.666666666666668)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.485714285714286)"
08-01-2023 08:58:13.134084,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.408)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.5)","(21.0, 32.0, 28.666666666666668)","(10.0, 15.0, 14.368421052631579)","(18.0, 34.0, 32.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.485714285714286)"
08-01-2023 08:58:14.166148,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.4129411764705884)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.576923076923077)","(21.0, 32.0, 28.875)","(10.0, 15.0, 14.466666666666667)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.497872340425532)"
08-01-2023 08:58:15.234298,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.4129411764705884)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.576923076923077)","(21.0, 32.0, 28.875)","(10.0, 15.0, 14.466666666666667)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.5)","(3.8, 4.5, 4.49)"
08-01-2023 08:58:16.279059,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.4129411764705884)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.576923076923077)","(21.0, 32.0, 28.875)","(10.0, 15.0, 14.466666666666667)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 178.75)","(3.8, 4.5, 4.497058823529412)"
08-01-2023 08:58:17.335007,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.4129411764705884)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.576923076923077)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 183.0)","(3.8, 4.5, 4.556756756756757)"
08-01-2023 08:58:18.381230,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.410344827586207)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.782608695652174)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.527272727272727)"
08-01-2023 08:58:19.440588,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.410344827586207)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.551515151515152)"
08-01-2023 08:58:20.501763,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.411764705882353)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.095238095238095)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.562790697674418)"
08-01-2023 08:58:21.548593,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.411764705882353)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.75)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.531034482758621)"
08-01-2023 08:58:22.585527,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.411764705882353)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.75)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.531034482758621)"
08-01-2023 08:58:23.642951,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.3945454545454545)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.75)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.531034482758621)"
08-01-2023 08:58:24.693187,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.404)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.625)","(21.0, 32.0, 28.476190476190474)","(10.0, 15.0, 14.466666666666667)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.531034482758621)"
08-01-2023 08:58:25.728012,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.4)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.636363636363637)","(10.0, 15.0, 14.555555555555555)","(18.0, 34.0, 32.2)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.531034482758621)"
08-01-2023 08:58:26.743333,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.394)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.625)","(21.0, 32.0, 28.476190476190474)","(10.0, 15.0, 14.38888888888889)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.6, 4.531034482758621)"
08-01-2023 08:58:27.787509,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.3975999999999997)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.666666666666666)","(21.0, 32.0, 28.71794871794872)","(10.0, 14.5, 14.456521739130435)","(18.0, 34.0, 32.2)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.6, 4.557446808510638)"
08-01-2023 08:58:28.835911,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.3975999999999997)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.625)","(21.0, 32.0, 28.54054054054054)","(10.0, 14.0, 13.976190476190476)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.746341463414634)"
