,Flying G,Indian Sky,Crooked Fellow,Rodeo Champ,Captain Dozer,J Fs Senna,Fort Hood,Rowdy River
08-12-2022 14:36:21.264430,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:22.671766,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:24.094713,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:25.434860,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:26.847626,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:28.105884,"(9.0, 15.0, 9.866666666666667)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:29.317386,"(9.0, 15.0, 10.52)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:30.571311,"(9.0, 15.0, 11.92)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:31.758324,"(9.0, 15.0, 11.92)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:32.956302,"(9.0, 15.0, 10.66)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.909090909090909)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:34.220942,"(9.0, 15.0, 10.66)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.771428571428571)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:35.444225,"(9.0, 15.0, 10.66)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.771428571428571)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:36.734418,"(9.0, 15.0, 9.666666666666666)","(6.5, 8.8, 8.085714285714285)","(7.0, 10.0, 8.24)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:38.100679,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 10.0, 8.24)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:39.554254,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 10.0, 8.24)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:40.894020,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 10.0, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:42.186099,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:43.525461,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:44.847828,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:46.178464,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:47.452236,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:48.753754,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:49.951809,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:51.134165,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:52.460080,"(9.0, 15.0, 12.09090909090909)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.945454545454545)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:53.679903,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.7)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:54.857889,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.0, 6.2153846153846155)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:56.052582,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
