,Gilberts Gold,Grand Chief,Mr Tangles,Royal Tonic,Barrys Galah,Falsetto,Indiana Falls,Miss Rinehart,Mount Coni,Tomboys Spirit
16-12-2022 14:25:45.876839,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:46.940945,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:47.973053,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:49.019028,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:50.053214,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:51.090946,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:52.161443,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:53.189308,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:54.225419,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:55.264478,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:56.309335,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 48.0, 27.166666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:57.325167,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 30.666666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6528571428571428)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.061538461538461)","(7.0, 8.6, 7.699999999999999)"
16-12-2022 14:25:58.366007,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 30.666666666666668)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.2, 7.536842105263157)","(7.0, 8.6, 8.25)"
16-12-2022 14:25:59.393239,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.6, 7.547826086956522)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:00.432404,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.6, 7.547826086956522)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:01.477226,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 220.0, 160.0)","(5.5, 7.6, 7.547826086956522)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:02.532374,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 220.0, 185.0)","(5.5, 7.6, 7.547826086956522)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:03.569811,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.547826086956522)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:04.608432,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:05.649062,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.833333333333332)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:06.686941,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:07.740840,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:08.773168,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:09.799748,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:10.864022,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6033333333333333)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:11.915322,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:12.978594,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:14.012245,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 8.25)"
16-12-2022 14:26:15.045522,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 41.5)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 9.6)"
16-12-2022 14:26:16.077721,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 43.8)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 9.789473684210526)"
16-12-2022 14:26:17.123137,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 43.8)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 9.789473684210526)"
16-12-2022 14:26:18.175475,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.6199999999999999)","(21.0, 55.0, 43.8)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 9.789473684210526)"
16-12-2022 14:26:19.223815,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 240.0, 185.0)","(5.5, 7.6, 7.514285714285714)","(7.0, 10.5, 9.789473684210526)"
16-12-2022 14:26:20.284153,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 240.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.5, 9.421052631578947)"
16-12-2022 14:26:21.309601,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:22.342792,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:23.363072,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:24.391579,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:25.435872,"(18.0, 25.0, 24.166666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 26.285714285714285)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 43.8)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:26.459144,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:27.538148,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:28.587315,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.646)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:29.628451,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.5782352941176472)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:30.663770,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.592)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:31.711973,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.592)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:32.751848,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.655)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.533333333333333)","(7.0, 10.0, 9.421052631578947)"
16-12-2022 14:26:33.798871,"(18.0, 25.0, 23.846153846153847)","(51.0, 230.0, 113.33333333333334)","(19.0, 46.0, 28.0)","(20.0, 55.0, 45.66666666666667)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.655)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.6, 7.336842105263158)","(7.0, 10.0, 9.293333333333333)"
16-12-2022 14:26:34.834677,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 47.0)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.655)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.293333333333333)"
16-12-2022 14:26:35.876757,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.655)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.32)","(7.0, 9.4, 9.293333333333333)"
16-12-2022 14:26:36.913111,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.67, 1.5905263157894738)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.293333333333333)"
16-12-2022 14:26:38.010086,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.5885)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.293333333333333)"
16-12-2022 14:26:39.064404,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.5885)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.0)"
16-12-2022 14:26:40.101918,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.64625)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.25)"
16-12-2022 14:26:41.149124,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.64625)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.25)"
16-12-2022 14:26:42.184600,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.64625)","(21.0, 55.0, 41.5)","(101.0, 230.0, 229.6078431372549)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.25)"
16-12-2022 14:26:43.220328,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.64625)","(21.0, 55.0, 41.5)","(101.0, 230.0, 268.03921568627453)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.25)"
16-12-2022 14:26:44.267372,"(18.0, 25.0, 21.666666666666668)","(51.0, 230.0, 113.33333333333334)","(19.0, 44.0, 36.666666666666664)","(20.0, 55.0, 37.0)","(51.0, 230.0, 120.0)","(1.4, 1.66, 1.64625)","(21.0, 55.0, 41.5)","(101.0, 270.0, 268.03921568627453)","(5.5, 7.4, 7.336842105263158)","(7.0, 9.4, 9.25)"
