,My Names Lyn,Coconut Santiago,Cool Whip,Deadly Ambition,Hydro Glide,Romena Charm,Cosmetic Rose
11-01-2023 13:51:28.279077,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:29.641002,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 18.75)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:30.920775,"(4.0, 5.8, 4.6)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:32.216411,"(4.0, 5.7, 4.2125)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:33.476525,"(4.0, 5.6, 4.533333333333333)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:34.742597,"(4.0, 5.7, 4.2125)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:36.049136,"(4.0, 5.7, 4.2125)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 48.33333333333333)"
11-01-2023 13:51:37.205141,"(4.0, 6.4, 4.3428571428571425)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:38.361454,"(4.0, 6.2, 4.733333333333333)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:39.569996,"(4.0, 6.2, 4.314285714285714)","(3.6, 4.8, 3.72)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:40.820371,"(4.0, 6.2, 4.314285714285714)","(3.6, 4.7, 3.875)","(21.0, 85.0, 48.125)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.822)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:42.028374,"(4.0, 6.2, 4.314285714285714)","(3.6, 4.8, 3.9)","(21.0, 85.0, 36.666666666666664)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 3.052857142857143)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 46.46153846153846)"
11-01-2023 13:51:43.286395,"(4.0, 6.2, 4.314285714285714)","(3.6, 4.8, 3.709090909090909)","(21.0, 85.0, 36.666666666666664)","(10.0, 23.0, 21.9375)","(2.3, 3.55, 2.582)","(6.0, 13.0, 11.384615384615385)","(21.0, 170.0, 56.07142857142857)"
11-01-2023 13:51:44.620699,"(4.0, 6.2, 4.314285714285714)","(3.6, 4.8, 3.709090909090909)","(21.0, 85.0, 36.666666666666664)","(10.0, 23.0, 19.0)","(2.3, 3.55, 2.854)","(6.0, 13.0, 10.142857142857142)","(21.0, 170.0, 56.07142857142857)"
11-01-2023 13:51:45.880506,"(4.0, 5.9, 4.633333333333334)","(3.6, 4.8, 3.8)","(21.0, 85.0, 36.666666666666664)","(10.0, 23.0, 20.333333333333332)","(2.3, 3.55, 2.854)","(6.0, 13.0, 10.142857142857142)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:47.104610,"(4.0, 5.9, 5.18)","(3.6, 4.8, 3.8)","(21.0, 85.0, 36.666666666666664)","(10.0, 23.0, 20.0)","(2.3, 3.55, 2.854)","(6.0, 13.0, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:48.384294,"(4.0, 5.9, 5.18)","(3.6, 4.8, 3.8666666666666667)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 18.666666666666668)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:49.641045,"(4.0, 4.6, 4.085714285714285)","(3.6, 4.7, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 18.666666666666668)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:50.790519,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:51.982299,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:53.162151,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:54.223651,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:55.432265,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:56.758579,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:58.042309,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:51:59.389487,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:00.776845,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:02.293652,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:03.727607,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:04.979221,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:06.156166,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:07.273624,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 76.82352941176471)"
11-01-2023 13:52:08.462239,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:09.728357,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:10.836273,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:12.106374,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:13.400046,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:14.643811,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:15.878679,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:17.158749,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:18.413519,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7666666666666666)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:19.651895,"(4.0, 4.6, 4.12)","(3.6, 4.6, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:20.905894,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:22.380029,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:23.598590,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:24.950091,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 50.83333333333333)"
11-01-2023 13:52:26.405722,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:27.820138,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:29.253543,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:30.644281,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:32.084515,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:33.342538,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:34.750566,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:36.090016,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.7333333333333334)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 20.785714285714285)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.0)","(21.0, 170.0, 49.0)"
11-01-2023 13:52:37.370585,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.8545454545454545)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:38.681443,"(4.0, 4.6, 4.12)","(3.6, 4.4, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:39.972340,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:41.227080,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 170.0, 40.90909090909091)"
11-01-2023 13:52:42.651393,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:43.987465,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:45.350402,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:46.680876,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:47.902913,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:49.079253,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:50.169231,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.827272727272727)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.352941176470587)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:51.345639,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.5)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:52.654611,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.5)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:53.829142,"(4.0, 4.6, 4.12)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 21.454545454545453)","(2.3, 3.55, 2.776666666666667)","(6.0, 12.5, 10.75)","(21.0, 170.0, 39.833333333333336)"
11-01-2023 13:52:55.023295,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 21.454545454545453)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 170.0, 37.38461538461539)"
11-01-2023 13:52:56.348218,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 21.454545454545453)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 150.0, 37.38461538461539)"
11-01-2023 13:52:57.496008,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 21.454545454545453)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 150.0, 37.38461538461539)"
11-01-2023 13:52:58.719706,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 21.454545454545453)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 150.0, 37.38461538461539)"
11-01-2023 13:52:59.880829,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 36.666666666666664)","(10.0, 24.0, 22.444444444444443)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 150.0, 41.333333333333336)"
11-01-2023 13:53:01.124231,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 22.5)","(2.3, 3.55, 2.854)","(6.0, 12.5, 10.75)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:02.294243,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 20.0)","(2.3, 3.55, 2.854)","(6.0, 12.5, 11.222222222222221)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:03.426905,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 20.333333333333332)","(2.3, 3.55, 2.854)","(6.0, 13.0, 11.830769230769231)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:04.585451,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 85.0, 56.0)","(10.0, 24.0, 20.333333333333332)","(2.3, 3.55, 2.854)","(6.0, 13.0, 11.690909090909091)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:05.775023,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 110.0, 96.16666666666667)","(10.0, 26.0, 24.636363636363637)","(2.3, 3.55, 2.854)","(6.0, 13.0, 11.690909090909091)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:06.876986,"(4.0, 4.5, 4.0625)","(3.6, 4.3, 3.8449999999999998)","(21.0, 110.0, 68.5)","(10.0, 26.0, 25.066666666666666)","(2.3, 3.55, 3.28)","(6.0, 13.0, 11.2)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:08.191772,"(4.0, 4.6, 4.566666666666666)","(3.6, 4.1, 3.7849999999999997)","(21.0, 110.0, 68.5)","(10.0, 26.0, 27.25)","(2.3, 3.55, 3.145)","(6.0, 13.0, 11.2)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:09.361606,"(4.0, 5.9, 4.791304347826087)","(3.6, 4.1, 3.8499999999999996)","(21.0, 110.0, 68.5)","(10.0, 28.0, 27.25)","(2.3, 3.55, 3.4466666666666668)","(6.0, 13.0, 11.2)","(21.0, 140.0, 62.78260869565217)"
11-01-2023 13:53:10.428228,"(4.0, 5.8, 4.781818181818182)","(3.6, 4.1, 3.7111111111111112)","(21.0, 110.0, 68.5)","(10.0, 27.0, 23.25)","(2.3, 3.8, 3.468)","(6.0, 13.0, 11.2)","(21.0, 140.0, 66.0)"
11-01-2023 13:53:11.639645,"(4.0, 5.7, 4.8428571428571425)","(3.6, 4.1, 3.7111111111111112)","(21.0, 110.0, 68.5)","(10.0, 28.0, 22.76923076923077)","(2.3, 3.65, 3.56)","(6.0, 13.0, 10.709090909090909)","(21.0, 140.0, 60.714285714285715)"
11-01-2023 13:53:12.812156,"(4.0, 5.5, 4.792857142857143)","(3.6, 4.1, 3.6769230769230767)","(21.0, 110.0, 68.5)","(10.0, 28.0, 24.0)","(2.3, 3.75, 3.6)","(6.0, 13.0, 10.709090909090909)","(21.0, 140.0, 60.714285714285715)"
11-01-2023 13:53:13.796057,"(4.0, 5.5, 4.766666666666667)","(3.6, 4.1, 3.6769230769230767)","(21.0, 110.0, 68.5)","(10.0, 28.0, 24.0)","(2.3, 3.7, 3.44)","(6.0, 13.0, 10.709090909090909)","(21.0, 140.0, 66.0)"
11-01-2023 13:53:14.876899,"(4.0, 5.4, 4.95)","(3.6, 3.95, 3.7)","(21.0, 110.0, 68.5)","(10.0, 28.0, 24.307692307692307)","(2.3, 3.6, 3.44)","(6.0, 13.0, 10.709090909090909)","(21.0, 140.0, 66.0)"
