,Obsession Agogo,Ratified,Halwes,Jaggers Lady,Stellar Rising,Louie,Enraged,Worry Less
07-12-2022 14:15:40.801436,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:42.288534,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:43.740508,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:45.115029,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:46.601832,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:47.974722,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:49.394625,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:50.750484,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:52.124751,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:53.428899,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
