,Mr Skylark,Sirius Keith,Cosmic Tom Tom,Aerobic Bella,Regal Pursuit,Switched Out,Skylark Tiara
06-01-2023 14:03:38.100813,"(4.4, 7.0, 6.42)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.4571428571428573)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:39.175558,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.92, 2.466666666666667)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:40.166234,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:41.162074,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:42.204266,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:43.354620,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:44.471242,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:45.457606,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:46.454307,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:47.488168,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:48.584620,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:49.693944,"(4.4, 7.0, 5.38)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4633333333333334)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:50.692003,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.455)","(4.0, 7.6, 6.92)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:51.632259,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.536)","(4.0, 7.6, 4.847619047619048)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:52.690112,"(4.4, 7.0, 5.38)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4099999999999997)","(4.0, 7.6, 4.847619047619048)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:53.813405,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 7.1)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4099999999999997)","(4.0, 7.6, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:54.828659,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 310.0, 263.6666666666667)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4099999999999997)","(4.0, 7.4, 6.76)","(61.0, 370.0, 205.0)"
06-01-2023 14:03:55.914740,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 310.0, 263.6666666666667)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4099999999999997)","(4.0, 7.4, 6.76)","(61.0, 360.0, 103.33333333333334)"
06-01-2023 14:03:56.866479,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.4099999999999997)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:57.886148,"(4.4, 7.0, 5.38)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:03:58.990007,"(4.4, 7.0, 5.38)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:00.003176,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:00.954994,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:01.992609,"(4.4, 7.0, 6.42)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:03.141206,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:04.309510,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.5382978723404253)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:05.360284,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:06.343589,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:07.422189,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:08.569711,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:09.692200,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:10.775093,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:11.849236,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:12.860444,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:13.937205,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:15.051801,"(4.4, 7.0, 5.133333333333334)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:16.079080,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.3778571428571427)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:17.145556,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.526808510638298)","(4.0, 7.4, 6.76)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:18.193656,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.633333333333333)","(31.0, 320.0, 176.0)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.86, 2.57)","(4.0, 7.4, 6.0285714285714285)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:19.298139,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.3)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 6.0285714285714285)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:20.463154,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.3)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 6.0285714285714285)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:21.527325,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.3)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:22.615945,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 4.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:23.697327,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.763636363636364)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 6.25)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:24.851207,"(4.4, 7.0, 5.38)","(3.7, 7.8, 6.2142857142857135)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:26.017172,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:27.157358,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:28.194857,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.57)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:29.252195,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:30.319981,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:31.394885,"(4.4, 7.0, 5.5)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:32.474412,"(4.4, 7.0, 5.3999999999999995)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:33.388874,"(4.4, 7.0, 5.3999999999999995)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:34.416835,"(4.4, 7.0, 5.3999999999999995)","(3.7, 7.8, 5.9)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.65)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:35.558700,"(4.4, 7.0, 4.685714285714286)","(3.7, 7.8, 6.2142857142857135)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:36.568626,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:37.514381,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:38.554210,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:39.645971,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:40.902901,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 320.0, 189.0909090909091)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 103.33333333333334)"
06-01-2023 14:04:42.109899,"(4.4, 7.0, 5.5)","(3.7, 7.8, 6.1)","(31.0, 320.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 370.0, 100.0)"
06-01-2023 14:04:43.290959,"(4.4, 7.0, 5.5)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 4.7375)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:44.333204,"(4.4, 7.0, 5.3999999999999995)","(3.7, 7.8, 5.0249999999999995)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 4.7375)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:45.413846,"(4.4, 7.0, 5.32)","(3.7, 7.8, 5.9)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:46.459638,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 350.0, 195.0)"
06-01-2023 14:04:47.526458,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 340.0, 92.85714285714286)"
06-01-2023 14:04:48.557778,"(4.4, 7.0, 5.38)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:49.515399,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 19.92857142857143)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:50.605270,"(4.4, 7.0, 5.266666666666667)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 23.22222222222222)","(2.15, 2.84, 2.59)","(4.0, 7.4, 5.85)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:51.782445,"(4.4, 7.0, 4.6000000000000005)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 18.083333333333332)","(2.15, 2.84, 2.3649999999999998)","(4.0, 7.4, 5.85)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:52.855695,"(4.4, 7.0, 5.5)","(3.7, 7.8, 6.1)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 18.083333333333332)","(2.15, 2.84, 2.502222222222222)","(4.0, 7.4, 5.85)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:53.954802,"(4.4, 7.0, 5.3999999999999995)","(3.7, 7.8, 5.9)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 18.083333333333332)","(2.15, 2.84, 2.61)","(4.0, 7.4, 5.65)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:55.045200,"(4.4, 7.0, 5.3999999999999995)","(3.7, 7.8, 5.949999999999999)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 18.083333333333332)","(2.15, 2.84, 2.61)","(4.0, 7.4, 5.65)","(61.0, 350.0, 92.85714285714286)"
06-01-2023 14:04:56.314294,"(4.4, 7.0, 5.32)","(3.7, 7.8, 6.15)","(31.0, 300.0, 178.1818181818182)","(15.0, 36.0, 18.083333333333332)","(2.15, 2.84, 2.61)","(4.0, 7.4, 5.921428571428572)","(61.0, 350.0, 92.85714285714286)"
