,Alembee,Conspiracist,Galbalan,Iaintnorockfairy,Smugglers Mate,Turbo Toronado,Annie Belle,Magic Garden,Tee Cee Tracey,Benalta Rain,Persuasive Star
10-01-2023 13:48:18.348405,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:20.048538,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 151.66666666666666)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:21.677166,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 146.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:23.416149,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 160.5)","(26.0, 130.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 146.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:25.110685,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 146.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:26.895923,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 146.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:28.485463,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 146.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:30.054979,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 146.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:31.591945,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 180.0, 196.25)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:33.070842,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 136.15384615384616)","(101.0, 230.0, 196.25)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:34.544940,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 230.0, 196.25)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:36.062528,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 230.0, 196.25)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:37.520217,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 230.0, 203.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:38.952889,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 160.5)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 230.0, 203.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:40.420693,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6923584905660376)","(41.0, 200.0, 183.0)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 230.0, 178.33333333333331)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:41.933409,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 230.0, 183.0)","(26.0, 120.0, 62.66666666666667)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 220.0, 178.33333333333331)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:43.404376,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 230.0, 175.5)","(26.0, 120.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 220.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:44.868142,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:46.389942,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:47.886988,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:49.379911,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:50.896067,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:52.501824,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:54.026905,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:55.409205,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 175.5)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:56.751380,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 220.0, 168.0)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:58.202000,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:48:59.697614,"(5.0, 6.6, 6.11)","(3.1, 3.75, 3.603061224489796)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:01.157832,"(5.0, 6.6, 6.25)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:02.503529,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:03.835095,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 110.0, 59.33333333333333)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:05.211418,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 110.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:06.645062,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 150.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:08.127822,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 150.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:09.579918,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 150.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:11.030168,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 150.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:12.447056,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 210.0, 168.0)","(26.0, 150.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:13.944599,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 168.0)","(26.0, 150.0, 92.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 171.66666666666669)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:15.457960,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 210.0, 183.0)","(26.0, 150.0, 69.33333333333334)","(14.0, 22.0, 18.88888888888889)","(21.0, 95.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 210.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:17.033369,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 140.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:18.764416,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:20.550042,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:21.949687,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:23.451782,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:24.866946,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:26.220438,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 165.0)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:27.564374,"(5.0, 6.4, 5.9625)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6923584905660376)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 200.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:28.943286,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:30.449125,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 230.0, 183.0)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 66.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
10-01-2023 13:49:31.913075,"(5.0, 6.4, 5.861538461538462)","(3.1, 3.75, 3.6115384615384616)","(2.4, 2.8, 2.6753005464480877)","(41.0, 230.0, 175.5)","(26.0, 130.0, 66.0)","(14.0, 22.0, 18.88888888888889)","(21.0, 100.0, 53.0)","(31.0, 190.0, 131.66666666666666)","(101.0, 190.0, 158.33333333333334)","(8.0, 12.0, 11.45)","(101.0, 230.0, 190.0)"
