,Aussie Axle,Chips No Salad,Spiteful Lad,Betty Boop,Gin And Vodka,Red Revolver
07-12-2022 18:20:13.104455,"(1.35, 1.52, 1.5144444444444445)","(6.0, 7.8, 7.6923076923076925)","(31.0, 70.0, 62.10526315789474)","(21.0, 40.0, 36.666666666666664)","(6.0, 8.0, 7.863157894736842)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:14.130224,"(1.35, 1.52, 1.5136842105263157)","(6.0, 7.8, 7.675)","(31.0, 70.0, 60.0)","(21.0, 40.0, 35.90909090909091)","(6.0, 8.0, 7.855555555555555)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:15.104999,"(1.35, 1.52, 1.5136842105263157)","(6.0, 7.8, 7.659459459459459)","(31.0, 70.0, 60.0)","(21.0, 40.0, 35.5)","(6.0, 8.0, 7.855555555555555)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:16.114641,"(1.35, 1.52, 1.513421052631579)","(6.0, 7.8, 7.659459459459459)","(31.0, 70.0, 60.90909090909091)","(21.0, 40.0, 37.27272727272727)","(6.0, 8.0, 7.855555555555555)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:17.130584,"(1.35, 1.51, 1.5085)","(6.0, 7.8, 7.659459459459459)","(31.0, 70.0, 62.857142857142854)","(21.0, 40.0, 37.93103448275862)","(6.0, 8.0, 7.834482758620689)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:18.051981,"(1.35, 1.52, 1.5093577981651376)","(6.0, 7.8, 7.688)","(31.0, 70.0, 62.857142857142854)","(21.0, 40.0, 37.93103448275862)","(6.0, 8.0, 7.834482758620689)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:19.025104,"(1.35, 1.52, 1.5093577981651376)","(6.0, 7.8, 7.725)","(31.0, 70.0, 62.857142857142854)","(21.0, 40.0, 38.15384615384615)","(6.0, 8.0, 7.776744186046511)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:20.098730,"(1.35, 1.52, 1.5154166666666666)","(6.0, 7.6, 7.490909090909091)","(31.0, 70.0, 58.333333333333336)","(21.0, 40.0, 37.904761904761905)","(6.0, 8.0, 7.776744186046511)","(17.0, 26.0, 25.5)"
07-12-2022 18:20:21.087892,"(1.35, 1.52, 1.5197058823529412)","(6.0, 7.4, 7.3744680851063835)","(31.0, 65.0, 59.54545454545455)","(21.0, 40.0, 37.6)","(6.0, 8.0, 7.781818181818181)","(17.0, 26.0, 25.5)"
07-12-2022 18:20:22.052246,"(1.35, 1.52, 1.5196703296703298)","(6.0, 7.4, 7.376)","(31.0, 65.0, 58.57142857142857)","(21.0, 40.0, 37.69230769230769)","(6.0, 8.0, 7.765853658536585)","(17.0, 26.0, 25.666666666666668)"
07-12-2022 18:20:23.016476,"(1.35, 1.52, 1.5195081967213115)","(6.0, 7.6, 7.487719298245614)","(31.0, 65.0, 60.625)","(21.0, 40.0, 38.3448275862069)","(6.0, 8.0, 7.765853658536585)","(17.0, 26.0, 25.666666666666668)"
07-12-2022 18:20:23.991770,"(1.35, 1.52, 1.5195081967213115)","(6.0, 7.6, 7.3933333333333335)","(31.0, 65.0, 60.625)","(21.0, 40.0, 38.22222222222222)","(6.0, 8.0, 7.8)","(17.0, 26.0, 25.666666666666668)"
07-12-2022 18:20:24.916845,"(1.35, 1.52, 1.5195833333333333)","(6.0, 7.6, 7.414925373134328)","(31.0, 65.0, 60.625)","(21.0, 40.0, 38.22222222222222)","(6.0, 8.0, 7.778947368421052)","(17.0, 26.0, 25.666666666666668)"
07-12-2022 18:20:26.220375,"(1.35, 1.52, 1.5195833333333333)","(6.0, 7.6, 7.438961038961039)","(31.0, 65.0, 60.625)","(21.0, 40.0, 37.91304347826087)","(6.0, 8.0, 7.751111111111111)","(17.0, 26.0, 25.666666666666668)"
07-12-2022 18:20:27.229258,"(1.35, 1.53, 1.521923076923077)","(6.0, 7.6, 7.436842105263158)","(31.0, 65.0, 59.166666666666664)","(21.0, 40.0, 37.91304347826087)","(6.0, 8.0, 7.751111111111111)","(17.0, 26.0, 25.666666666666668)"
07-12-2022 18:20:28.206010,"(1.35, 1.53, 1.5283870967741935)","(6.0, 7.6, 7.455172413793104)","(31.0, 65.0, 59.166666666666664)","(21.0, 40.0, 37.629629629629626)","(6.0, 8.0, 7.738775510204081)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:29.215659,"(1.35, 1.53, 1.5283870967741935)","(6.0, 7.6, 7.443243243243243)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.53846153846154)","(6.0, 8.0, 7.738775510204081)","(17.0, 26.0, 25.636363636363637)"
07-12-2022 18:20:30.252322,"(1.35, 1.53, 1.5283870967741935)","(6.0, 7.6, 7.447368421052632)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 37.935483870967744)","(6.0, 8.0, 7.738775510204081)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:31.326044,"(1.35, 1.53, 1.5283870967741935)","(6.0, 7.6, 7.447368421052632)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 38.0)","(6.0, 8.0, 7.738775510204081)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:32.315645,"(1.35, 1.54, 1.528014440433213)","(6.0, 7.4, 7.3872340425531915)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 38.0)","(6.0, 8.0, 7.738775510204081)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:33.268999,"(1.35, 1.54, 1.5323076923076924)","(6.0, 7.6, 7.372477064220184)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 38.0)","(6.0, 7.6, 7.5488372093023255)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:34.224315,"(1.35, 1.54, 1.5316145833333334)","(6.0, 7.6, 7.556521739130434)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.53846153846154)","(6.0, 7.6, 7.515789473684211)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:35.258910,"(1.35, 1.54, 1.5316145833333334)","(6.0, 7.6, 7.517241379310345)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.629629629629626)","(6.0, 7.6, 7.523809523809524)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:36.282032,"(1.35, 1.54, 1.5349132947976878)","(6.0, 7.6, 7.517241379310345)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.44)","(6.0, 7.4, 7.177777777777778)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:37.186176,"(1.35, 1.56, 1.5525233644859813)","(6.0, 7.6, 7.422950819672131)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 37.86666666666667)","(6.0, 7.2, 7.177777777777778)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:38.177007,"(1.35, 1.58, 1.573793103448276)","(6.0, 7.0, 6.84)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 37.793103448275865)","(6.0, 7.2, 7.147826086956522)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:39.274600,"(1.35, 1.58, 1.57175)","(6.0, 7.2, 6.9818181818181815)","(31.0, 65.0, 61.92307692307692)","(21.0, 40.0, 37.793103448275865)","(6.0, 7.2, 7.147826086956522)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:40.338882,"(1.35, 1.58, 1.5746511627906978)","(6.0, 7.2, 6.984615384615385)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.333333333333336)","(6.0, 7.2, 7.10625)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:41.499304,"(1.35, 1.58, 1.5746511627906978)","(6.0, 7.0, 6.92)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.333333333333336)","(6.0, 7.2, 7.10625)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:42.574083,"(1.35, 1.58, 1.5766666666666667)","(6.0, 7.0, 6.92)","(31.0, 65.0, 60.55555555555556)","(21.0, 40.0, 37.21739130434783)","(6.0, 7.2, 7.10625)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:43.648716,"(1.35, 1.59, 1.5748780487804879)","(6.0, 7.0, 6.812987012987013)","(31.0, 65.0, 61.666666666666664)","(21.0, 40.0, 37.857142857142854)","(6.0, 7.2, 7.117241379310345)","(17.0, 26.0, 25.428571428571427)"
07-12-2022 18:20:44.680458,"(1.35, 1.59, 1.5876576576576578)","(6.0, 6.8, 6.672727272727273)","(31.0, 65.0, 61.666666666666664)","(21.0, 40.0, 37.93103448275862)","(6.0, 7.2, 7.1)","(17.0, 26.0, 25.636363636363637)"
07-12-2022 18:20:45.708564,"(1.35, 1.59, 1.5876576576576578)","(6.0, 6.8, 6.672727272727273)","(31.0, 65.0, 61.666666666666664)","(21.0, 40.0, 37.93103448275862)","(6.0, 7.2, 7.1)","(17.0, 26.0, 25.636363636363637)"
07-12-2022 18:20:46.722493,"(1.35, 1.6, 1.5969565217391306)","(6.0, 6.6, 6.44)","(31.0, 65.0, 61.25)","(21.0, 40.0, 37.333333333333336)","(6.0, 7.2, 7.117241379310345)","(17.0, 27.0, 25.6875)"
07-12-2022 18:20:47.813513,"(1.35, 1.6, 1.6047826086956523)","(6.0, 6.6, 6.533333333333333)","(31.0, 65.0, 61.25)","(21.0, 40.0, 37.27272727272727)","(6.0, 7.2, 7.083870967741936)","(17.0, 27.0, 25.77777777777778)"
07-12-2022 18:20:48.771647,"(1.35, 1.61, 1.6047826086956523)","(6.0, 6.8, 6.533333333333333)","(31.0, 65.0, 61.25)","(21.0, 40.0, 37.27272727272727)","(6.0, 7.2, 7.083870967741936)","(17.0, 26.0, 25.77777777777778)"
07-12-2022 18:20:49.857608,"(1.35, 1.61, 1.614051724137931)","(6.0, 6.6, 6.109090909090909)","(31.0, 65.0, 63.18181818181818)","(21.0, 36.0, 35.391304347826086)","(6.0, 7.2, 7.126315789473685)","(17.0, 26.0, 25.5)"
07-12-2022 18:20:50.856479,"(1.35, 1.63, 1.6256626506024097)","(6.0, 6.4, 6.1684210526315795)","(31.0, 65.0, 63.0)","(21.0, 36.0, 35.36363636363637)","(6.0, 7.2, 7.135714285714286)","(17.0, 27.0, 26.18181818181818)"
07-12-2022 18:20:51.842018,"(1.35, 1.63, 1.6256626506024097)","(6.0, 6.4, 6.1454545454545455)","(31.0, 65.0, 63.0)","(21.0, 36.0, 35.36363636363637)","(6.0, 7.2, 7.23448275862069)","(17.0, 27.0, 26.18181818181818)"
07-12-2022 18:20:52.920513,"(1.35, 1.63, 1.6247058823529412)","(6.0, 6.2, 6.1571428571428575)","(31.0, 65.0, 62.142857142857146)","(21.0, 36.0, 35.125)","(6.0, 7.4, 7.264705882352941)","(18.0, 27.0, 25.5)"
07-12-2022 18:20:54.008534,"(1.4, 1.63, 1.6254054054054055)","(5.5, 6.2, 6.192)","(31.0, 65.0, 62.142857142857146)","(21.0, 36.0, 33.958333333333336)","(6.0, 7.4, 7.264705882352941)","(18.0, 26.0, 24.36842105263158)"
07-12-2022 18:20:55.127568,"(1.4, 1.63, 1.634375)","(5.5, 6.2, 6.247368421052632)","(31.0, 65.0, 62.142857142857146)","(21.0, 36.0, 34.21176470588235)","(6.0, 7.2, 7.062921348314607)","(18.0, 23.0, 22.88235294117647)"
07-12-2022 18:20:56.291189,"(1.4, 1.65, 1.645)","(5.5, 6.4, 6.303225806451613)","(31.0, 70.0, 66.25)","(21.0, 34.0, 33.733333333333334)","(6.0, 7.0, 6.988571428571428)","(18.0, 23.0, 22.25)"
07-12-2022 18:20:57.605484,"(1.4, 1.66, 1.6557446808510639)","(5.5, 6.4, 6.279452054794521)","(31.0, 65.0, 60.714285714285715)","(21.0, 34.0, 33.733333333333334)","(6.0, 7.0, 6.92)","(18.0, 23.0, 22.25)"
07-12-2022 18:20:58.848717,"(1.4, 1.67, 1.6643396226415093)","(5.5, 6.4, 6.222784810126583)","(31.0, 60.0, 57.857142857142854)","(21.0, 34.0, 33.3235294117647)","(6.0, 7.2, 6.909803921568628)","(18.0, 23.0, 21.90909090909091)"
07-12-2022 18:20:59.848078,"(1.4, 1.67, 1.6659459459459458)","(5.5, 6.2, 6.190476190476191)","(31.0, 60.0, 57.0)","(21.0, 34.0, 33.3235294117647)","(6.0, 7.2, 6.909803921568628)","(18.0, 22.0, 21.90909090909091)"
07-12-2022 18:21:01.016833,"(1.4, 1.67, 1.6672631578947368)","(5.5, 6.2, 6.189473684210527)","(31.0, 60.0, 57.0)","(21.0, 34.0, 33.38235294117647)","(6.0, 7.2, 7.048387096774194)","(18.0, 22.0, 21.272727272727273)"
07-12-2022 18:21:02.044534,"(1.4, 1.66, 1.656086956521739)","(5.5, 6.4, 6.140350877192983)","(31.0, 60.0, 56.25)","(21.0, 34.0, 33.42465753424658)","(6.0, 7.2, 7.03170731707317)","(18.0, 22.0, 21.272727272727273)"
07-12-2022 18:21:03.163638,"(1.4, 1.67, 1.6578260869565216)","(5.5, 6.4, 6.140350877192983)","(31.0, 60.0, 56.111111111111114)","(21.0, 34.0, 33.42465753424658)","(6.0, 7.2, 7.03170731707317)","(17.0, 22.0, 20.56)"
07-12-2022 18:21:04.166824,"(1.4, 1.67, 1.6595454545454544)","(5.5, 6.4, 6.223076923076923)","(31.0, 60.0, 51.875)","(21.0, 34.0, 33.25925925925926)","(6.0, 7.0, 6.936)","(17.0, 22.0, 20.526315789473685)"
07-12-2022 18:21:05.185327,"(1.4, 1.67, 1.6648275862068964)","(5.5, 6.4, 6.232727272727273)","(31.0, 60.0, 51.875)","(21.0, 34.0, 33.25925925925926)","(6.0, 7.0, 6.946666666666666)","(17.0, 22.0, 20.526315789473685)"
07-12-2022 18:21:06.297301,"(1.4, 1.67, 1.6655223880597014)","(5.5, 6.4, 6.232727272727273)","(31.0, 60.0, 51.78947368421053)","(21.0, 34.0, 33.21052631578947)","(6.0, 7.0, 6.946666666666666)","(17.0, 22.0, 20.647058823529413)"
07-12-2022 18:21:07.383774,"(1.4, 1.68, 1.6735714285714285)","(5.5, 6.4, 6.2844444444444445)","(31.0, 60.0, 52.32)","(21.0, 34.0, 33.1578947368421)","(6.0, 7.0, 6.946666666666666)","(17.0, 21.0, 20.533333333333335)"
07-12-2022 18:21:08.395102,"(1.4, 1.69, 1.679230769230769)","(5.5, 6.4, 6.2844444444444445)","(31.0, 60.0, 52.32)","(21.0, 34.0, 33.20987654320987)","(6.0, 7.0, 6.954285714285715)","(17.0, 21.0, 20.411392405063292)"
07-12-2022 18:21:09.516734,"(1.4, 1.69, 1.6752941176470588)","(5.5, 6.4, 6.212765957446809)","(31.0, 60.0, 53.14285714285714)","(21.0, 34.0, 33.20987654320987)","(6.0, 7.0, 6.8617647058823525)","(17.0, 21.0, 20.133333333333333)"
07-12-2022 18:21:10.625756,"(1.4, 1.69, 1.6783720930232557)","(5.5, 6.4, 6.305376344086022)","(31.0, 60.0, 53.14285714285714)","(21.0, 34.0, 33.20987654320987)","(6.0, 7.0, 6.8617647058823525)","(17.0, 21.0, 20.133333333333333)"
07-12-2022 18:21:11.645260,"(1.4, 1.69, 1.6797560975609755)","(5.5, 6.4, 6.305376344086022)","(31.0, 60.0, 53.6)","(21.0, 34.0, 33.1578947368421)","(6.0, 7.0, 6.8617647058823525)","(17.0, 21.0, 20.133333333333333)"
07-12-2022 18:21:12.668701,"(1.4, 1.7, 1.6888571428571428)","(5.5, 6.4, 6.305376344086022)","(31.0, 60.0, 52.888888888888886)","(21.0, 34.0, 33.1578947368421)","(6.0, 7.0, 6.804)","(17.0, 21.0, 20.214285714285715)"
07-12-2022 18:21:13.782323,"(1.4, 1.7, 1.6916666666666667)","(5.5, 6.4, 6.3421686746987955)","(31.0, 60.0, 51.65217391304348)","(21.0, 34.0, 33.189189189189186)","(6.0, 7.0, 6.6421052631578945)","(17.0, 21.0, 20.214285714285715)"
07-12-2022 18:21:14.944293,"(1.4, 1.7, 1.6923529411764706)","(5.5, 6.4, 6.319148936170213)","(31.0, 60.0, 55.42857142857143)","(21.0, 34.0, 33.166666666666664)","(6.0, 6.8, 6.727272727272727)","(17.0, 21.0, 21.678571428571427)"
07-12-2022 18:21:15.997674,"(1.4, 1.7, 1.690909090909091)","(5.5, 6.4, 6.191304347826087)","(31.0, 60.0, 55.733333333333334)","(21.0, 34.0, 33.166666666666664)","(6.0, 6.8, 6.727272727272727)","(17.0, 22.0, 21.678571428571427)"
07-12-2022 18:21:17.061810,"(1.4, 1.7, 1.6958333333333333)","(5.5, 6.4, 6.154385964912281)","(31.0, 60.0, 55.733333333333334)","(21.0, 34.0, 33.166666666666664)","(6.0, 6.8, 6.742028985507246)","(17.0, 22.0, 21.047619047619047)"
07-12-2022 18:21:18.022603,"(1.4, 1.71, 1.7025641025641025)","(5.5, 6.4, 6.191304347826087)","(31.0, 60.0, 55.733333333333334)","(21.0, 34.0, 33.166666666666664)","(6.0, 6.8, 6.7365079365079366)","(17.0, 22.0, 21.0)"
07-12-2022 18:21:19.084447,"(1.4, 1.71, 1.7039047619047618)","(5.5, 6.4, 6.2631578947368425)","(31.0, 60.0, 54.69230769230769)","(21.0, 34.0, 33.04761904761905)","(6.0, 6.8, 6.708333333333333)","(17.0, 22.0, 21.0)"
07-12-2022 18:21:20.199173,"(1.4, 1.71, 1.7043362831858406)","(5.5, 6.4, 6.2631578947368425)","(31.0, 50.0, 48.983050847457626)","(21.0, 34.0, 33.04761904761905)","(6.0, 6.8, 6.738028169014084)","(17.0, 22.0, 21.0)"
