,Secret Hustle,Barry Cool,Samurai Mind,Shaq Owes,Tap Out Mickey,Remedy,Zafar Bale,Showtime Lydia
07-12-2022 18:23:57.966675,"(8.0, 14.5, 13.93)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.393333333333333)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.9375)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:23:59.396627,"(8.0, 14.5, 13.93)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.393333333333333)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.9375)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:24:00.610730,"(8.0, 14.5, 13.93)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.393333333333333)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 4.833333333333333)","(11.0, 23.0, 21.9375)","(61.0, 410.0, 255.83333333333331)","(7.0, 15.0, 9.6)"
07-12-2022 18:24:01.876097,"(8.0, 14.5, 13.93)","(4.4, 6.8, 6.707692307692307)","(2.3, 2.5, 2.388695652173913)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.573913043478261)","(11.0, 23.0, 21.9375)","(61.0, 410.0, 357.57575757575756)","(7.0, 15.0, 9.6)"
07-12-2022 18:24:03.108844,"(8.0, 14.5, 13.93)","(4.4, 6.8, 6.425)","(2.3, 2.5, 2.494285714285714)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.6947368421052635)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 377.4193548387097)","(7.0, 15.0, 11.15)"
07-12-2022 18:24:04.422398,"(8.0, 14.5, 10.833333333333334)","(4.4, 6.8, 6.433333333333334)","(2.3, 2.52, 2.494285714285714)","(51.0, 450.0, 383.33333333333337)","(4.0, 5.9, 5.6947368421052635)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 377.4193548387097)","(7.0, 14.5, 11.15)"
07-12-2022 18:24:05.707623,"(8.0, 14.5, 10.833333333333334)","(4.4, 6.8, 6.461538461538462)","(2.3, 2.52, 2.4699999999999998)","(51.0, 450.0, 383.33333333333337)","(4.0, 5.9, 5.6230769230769235)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 337.27272727272725)","(7.0, 14.5, 11.15)"
07-12-2022 18:24:07.026382,"(8.0, 14.5, 10.833333333333334)","(4.4, 6.8, 6.461538461538462)","(2.3, 2.48, 2.4699999999999998)","(51.0, 450.0, 383.33333333333337)","(4.0, 5.9, 5.615)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 342.5)","(7.0, 14.5, 11.15)"
07-12-2022 18:24:08.277404,"(8.0, 14.5, 11.0)","(4.4, 6.8, 5.966666666666667)","(2.3, 2.48, 2.453846153846154)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.620689655172414)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 342.5)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:09.534715,"(8.0, 14.0, 11.0)","(4.4, 6.8, 5.966666666666667)","(2.3, 2.5, 2.453846153846154)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.620689655172414)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 301.42857142857144)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:10.760740,"(8.0, 14.0, 10.25)","(4.4, 6.8, 5.966666666666667)","(2.3, 2.54, 2.4415384615384617)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.620689655172414)","(11.0, 23.0, 21.9375)","(61.0, 400.0, 351.42857142857144)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:11.972674,"(8.0, 14.0, 10.25)","(4.4, 6.8, 5.966666666666667)","(2.3, 2.48, 2.4415384615384617)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.526315789473684)","(11.0, 23.0, 22.11111111111111)","(61.0, 400.0, 364.2105263157895)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:13.347148,"(8.0, 14.0, 10.25)","(4.4, 6.8, 6.08)","(2.3, 2.48, 2.455)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.2727272727272725)","(11.0, 23.0, 22.11111111111111)","(61.0, 400.0, 364.2105263157895)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:14.591965,"(8.0, 14.0, 9.555555555555555)","(4.4, 6.8, 5.679166666666667)","(2.3, 2.48, 2.466666666666667)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.2727272727272725)","(11.0, 23.0, 22.11111111111111)","(61.0, 400.0, 351.42857142857144)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:15.802825,"(8.0, 14.0, 10.25)","(4.4, 6.6, 5.679166666666667)","(2.3, 2.5, 2.466666666666667)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.2727272727272725)","(11.0, 23.0, 22.11111111111111)","(61.0, 400.0, 324.44444444444446)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:16.980101,"(8.0, 15.0, 12.0)","(4.4, 6.4, 5.4625)","(2.3, 2.54, 2.4815384615384617)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.695652173913043)","(11.0, 23.0, 22.11111111111111)","(61.0, 400.0, 304.2857142857143)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:18.174193,"(8.0, 14.5, 11.2)","(4.4, 6.0, 5.888888888888889)","(2.3, 2.52, 2.4892307692307694)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.695652173913043)","(11.0, 23.0, 22.11111111111111)","(61.0, 400.0, 304.2857142857143)","(7.0, 14.5, 12.266666666666666)"
07-12-2022 18:24:19.358040,"(8.0, 14.0, 12.333333333333334)","(4.4, 6.0, 5.615384615384615)","(2.3, 2.52, 2.49)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.454545454545455)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 339.09090909090907)","(7.0, 14.5, 13.6625)"
07-12-2022 18:24:20.634916,"(8.0, 14.0, 12.333333333333334)","(4.4, 6.0, 5.615384615384615)","(2.3, 2.52, 2.49)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.5)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 339.09090909090907)","(7.0, 17.0, 14.955555555555556)"
07-12-2022 18:24:21.967416,"(8.0, 14.0, 12.333333333333334)","(4.4, 6.0, 5.375)","(2.3, 2.54, 2.466222222222222)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.5)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(7.0, 16.0, 13.4)"
07-12-2022 18:24:23.322873,"(8.0, 14.0, 12.333333333333334)","(4.4, 6.0, 5.55)","(2.3, 2.54, 2.5018390804597703)","(51.0, 450.0, 383.33333333333337)","(4.0, 6.0, 5.5)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(7.0, 15.0, 10.95)"
07-12-2022 18:24:24.535367,"(8.0, 14.0, 12.333333333333334)","(4.4, 5.8, 5.2)","(2.35, 2.54, 2.5018390804597703)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.5)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 15.0, 12.0)"
07-12-2022 18:24:25.902184,"(8.0, 14.0, 12.333333333333334)","(4.4, 5.8, 5.125)","(2.35, 2.54, 2.503111111111111)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.785714285714286)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 15.0, 12.0)"
07-12-2022 18:24:27.226304,"(8.0, 14.0, 12.333333333333334)","(4.4, 5.8, 5.444444444444445)","(2.35, 2.54, 2.5211363636363635)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.8125)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 15.0, 13.6625)"
07-12-2022 18:24:28.522679,"(8.0, 14.0, 12.333333333333334)","(4.4, 5.6, 5.466666666666667)","(2.35, 2.54, 2.5219565217391304)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.8125)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:29.900754,"(8.0, 15.0, 13.0)","(4.4, 5.6, 5.428571428571428)","(2.35, 2.54, 2.5219565217391304)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.8125)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:31.074695,"(8.0, 15.0, 13.0)","(4.4, 5.6, 5.428571428571428)","(2.35, 2.54, 2.520919540229885)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.85)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:32.278599,"(8.0, 15.0, 13.0)","(4.4, 5.6, 5.085714285714285)","(2.35, 2.54, 2.520919540229885)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.85)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:33.539939,"(8.0, 15.0, 13.0)","(4.4, 5.6, 5.242857142857143)","(2.35, 2.54, 2.52125)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.815384615384615)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:35.031192,"(8.0, 15.5, 13.333333333333332)","(4.4, 5.6, 5.242857142857143)","(2.35, 2.54, 2.52125)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.791304347826087)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:36.348660,"(8.0, 15.5, 13.333333333333332)","(4.4, 5.6, 5.2)","(2.35, 2.54, 2.52125)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.791304347826087)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:37.655271,"(8.0, 15.5, 13.333333333333332)","(4.4, 5.5, 5.2)","(2.35, 2.54, 2.521818181818182)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.791304347826087)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:39.118837,"(8.0, 15.5, 13.333333333333332)","(4.4, 5.5, 5.2)","(2.35, 2.54, 2.521967213114754)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.791304347826087)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 288.33333333333337)","(6.5, 14.5, 11.708333333333332)"
07-12-2022 18:24:40.572507,"(8.0, 15.5, 14.83)","(4.4, 5.5, 5.4)","(2.35, 2.54, 2.521967213114754)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.791304347826087)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 340.0)","(6.5, 14.5, 9.25)"
07-12-2022 18:24:41.952532,"(8.0, 15.5, 14.83)","(4.4, 5.5, 5.2)","(2.35, 2.54, 2.521967213114754)","(51.0, 450.0, 383.33333333333337)","(3.9, 6.0, 5.815384615384615)","(11.0, 23.0, 22.0625)","(61.0, 400.0, 345.0)","(6.5, 14.5, 10.88888888888889)"
07-12-2022 18:24:43.282518,"(8.0, 15.5, 12.45)","(4.4, 5.5, 5.111764705882353)","(2.35, 2.54, 2.5221428571428572)","(51.0, 450.0, 410.0)","(3.9, 6.0, 5.929411764705883)","(11.0, 23.0, 21.09090909090909)","(61.0, 400.0, 305.7142857142857)","(6.5, 14.5, 12.0)"
07-12-2022 18:24:44.724084,"(8.0, 15.5, 12.45)","(4.4, 5.5, 5.2)","(2.35, 2.54, 2.5221428571428572)","(51.0, 450.0, 410.0)","(3.9, 6.0, 6.218181818181819)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 305.7142857142857)","(6.5, 14.5, 12.0)"
07-12-2022 18:24:45.934462,"(8.0, 15.5, 12.45)","(4.4, 5.4, 5.2)","(2.35, 2.54, 2.5221428571428572)","(51.0, 450.0, 410.0)","(3.9, 6.4, 6.03)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 305.7142857142857)","(6.5, 14.5, 11.25)"
07-12-2022 18:24:47.057850,"(8.0, 15.0, 10.8)","(4.4, 5.4, 5.1000000000000005)","(2.35, 2.54, 2.5221428571428572)","(51.0, 450.0, 416.6666666666667)","(3.9, 6.8, 5.608333333333333)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 305.7142857142857)","(6.5, 14.5, 8.899999999999999)"
07-12-2022 18:24:48.268915,"(8.0, 14.5, 11.95)","(4.4, 5.4, 5.15)","(2.35, 2.54, 2.5223529411764707)","(51.0, 450.0, 426.7647058823529)","(3.9, 6.8, 6.472727272727273)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 305.7142857142857)","(6.5, 14.5, 9.416666666666668)"
07-12-2022 18:24:49.547317,"(8.0, 14.5, 11.95)","(4.4, 5.4, 5.15)","(2.35, 2.54, 2.5223529411764707)","(51.0, 450.0, 426.7647058823529)","(3.9, 6.8, 6.359999999999999)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 345.0)","(6.5, 14.5, 11.45)"
07-12-2022 18:24:50.922656,"(8.0, 14.5, 12.8)","(4.4, 5.4, 5.15)","(2.35, 2.54, 2.5223529411764707)","(51.0, 450.0, 393.57142857142856)","(3.9, 6.8, 6.2)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 345.0)","(6.5, 14.5, 10.566666666666666)"
07-12-2022 18:24:52.222100,"(8.0, 14.5, 12.666666666666666)","(4.4, 5.4, 4.95)","(2.35, 2.54, 2.5223529411764707)","(51.0, 450.0, 393.57142857142856)","(3.9, 6.8, 6.2)","(11.0, 24.0, 21.09090909090909)","(61.0, 400.0, 345.0)","(6.5, 14.5, 10.566666666666666)"
07-12-2022 18:24:53.351004,"(8.0, 14.0, 12.333333333333334)","(4.4, 5.4, 4.9)","(2.35, 2.54, 2.5223529411764707)","(51.0, 450.0, 393.57142857142856)","(3.9, 6.8, 6.0285714285714285)","(11.0, 24.0, 21.2)","(61.0, 400.0, 345.0)","(6.5, 14.5, 9.433333333333334)"
