,Brooklyn Star,Tobikuma,Off The Radar,Elbow Yap,Red Fog,Magic Eyeliner
08-01-2023 16:29:12.778456,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:13.802768,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 3.1205882352941177)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:14.823198,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:15.912100,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:16.958832,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:17.965431,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:19.050925,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:20.139210,"(2.8, 4.8, 4.1875)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:21.091762,"(2.8, 4.8, 4.449999999999999)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.14)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:22.085565,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 3.04)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:23.027200,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.716666666666667)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:24.061740,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:25.103046,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:26.071069,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:27.118461,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:28.188194,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:29.195737,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:30.110046,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.9982758620689656)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:31.041190,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:32.075825,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:33.096249,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:34.157433,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:35.192457,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:36.185644,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:37.153846,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:38.114803,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:39.103701,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:40.110614,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:41.229256,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:42.267133,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:43.202720,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:44.135395,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:45.032268,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:46.060825,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:47.224448,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:48.250594,"(2.8, 5.7, 4.277777777777778)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.926842105263158)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:49.206928,"(2.8, 5.6, 4.266666666666667)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.935263157894737)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:50.119611,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.935263157894737)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:51.146685,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.935263157894737)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:52.248718,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.935263157894737)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:53.324551,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.15, 2.935263157894737)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:54.319002,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:55.282538,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:56.312863,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:57.357339,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:58.422484,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:29:59.510197,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:00.535737,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:01.512727,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:02.550513,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:03.526481,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8144827586206898)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:04.561461,"(2.8, 5.5, 4.8)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:05.760327,"(2.8, 5.5, 4.227272727272727)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:06.866952,"(2.8, 5.5, 4.227272727272727)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:07.985465,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:09.045039,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:10.073552,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:11.209264,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:12.289818,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:13.475100,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:14.579211,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:15.729061,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:16.803276,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:17.808622,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:18.891791,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:19.949478,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8692307692307693)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:21.073242,"(2.8, 5.4, 4.75)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8020689655172415)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:22.219053,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8020689655172415)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:23.307609,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8978947368421055)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:24.402651,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.1, 2.8978947368421055)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:25.500941,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.25, 2.7333333333333334)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:26.451500,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.7333333333333334)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:27.518712,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:28.617392,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:29.727797,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:30.868782,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:32.041292,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:33.059385,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:34.173058,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:35.288770,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:36.443929,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:37.545908,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:38.669101,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.8400000000000003)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:39.765641,"(2.8, 5.4, 4.218181818181818)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
08-01-2023 16:30:40.857430,"(2.8, 5.8, 4.173913043478261)","(3.4, 5.4, 4.780645161290322)","(2.4, 3.2, 2.9230769230769234)","(26.0, 80.0, 44.375)","(17.0, 44.0, 24.357142857142858)","(8.5, 16.0, 13.0)"
