,Shintaro Fury,Express Black,Beasley,Grab The Pizzas,Tommy Throttle,Way Too Soft
16-12-2022 13:18:36.024531,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:37.125127,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:38.113234,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:39.032284,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:39.850625,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:40.820185,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.2, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:41.826985,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:42.689024,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.3759999999999994)"
16-12-2022 13:18:43.623547,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.096875)"
16-12-2022 13:18:44.478590,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.096875)"
16-12-2022 13:18:45.370894,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.62)"
16-12-2022 13:18:46.355218,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.62)"
16-12-2022 13:18:47.319985,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.62)"
16-12-2022 13:18:48.190408,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.62)"
16-12-2022 13:18:49.121207,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:50.030115,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:50.930618,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:51.830993,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:52.705428,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:53.582005,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:54.550167,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:55.468100,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:56.484068,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:57.412669,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:58.319482,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:18:59.321493,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:19:00.239223,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:19:01.100621,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.733333333333333)"
16-12-2022 13:19:02.060040,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.0633333333333335)"
16-12-2022 13:19:02.933693,"(31.0, 300.0, 77.45454545454545)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 33.888888888888886)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 6.0633333333333335)"
16-12-2022 13:19:03.872973,"(31.0, 290.0, 252.57142857142858)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.0)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 83.57142857142857)","(3.8, 8.0, 6.184375)"
16-12-2022 13:19:04.862507,"(31.0, 290.0, 252.57142857142858)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.0)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 83.57142857142857)","(3.8, 8.0, 6.184375)"
16-12-2022 13:19:05.739651,"(31.0, 290.0, 252.57142857142858)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.0)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 83.57142857142857)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:06.725008,"(31.0, 290.0, 252.57142857142858)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.0)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 83.57142857142857)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:07.713334,"(31.0, 290.0, 252.57142857142858)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.0)","(4.4, 7.0, 5.066666666666666)","(31.0, 220.0, 83.57142857142857)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:08.654390,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.0)","(4.4, 6.6, 5.066666666666666)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:09.599049,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:10.495339,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:11.458737,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:12.478572,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:13.560583,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:14.573814,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:15.538847,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:16.480504,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:17.343610,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:18.289315,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:19.237742,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:20.177384,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:21.102562,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:21.956118,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:22.904944,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:23.948773,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:24.925223,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.811111111111111)"
16-12-2022 13:19:25.919965,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 5.015789473684211)"
16-12-2022 13:19:26.950884,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 5.015789473684211)"
16-12-2022 13:19:27.878737,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.888888888888889)"
16-12-2022 13:19:28.771150,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.888888888888889)"
16-12-2022 13:19:29.705205,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.888888888888889)"
16-12-2022 13:19:30.569715,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.888888888888889)"
16-12-2022 13:19:31.535501,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:32.446613,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:33.319149,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:34.253313,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:35.154514,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.2, 5.222727272727273)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:36.070164,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:37.023954,"(31.0, 290.0, 170.9090909090909)","(1.45, 2.14, 1.5165625)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:37.880596,"(31.0, 290.0, 170.9090909090909)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 56.285714285714285)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:38.800648,"(31.0, 290.0, 159.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:39.693597,"(31.0, 290.0, 159.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:40.579281,"(31.0, 290.0, 159.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:41.518615,"(31.0, 290.0, 159.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:42.411766,"(31.0, 290.0, 159.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:43.332114,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:44.230468,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:45.105630,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:46.046907,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:46.989284,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:47.927278,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:48.925322,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:49.960540,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:50.831442,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:51.857707,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 4.966666666666667)"
16-12-2022 13:19:52.866039,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 6.165517241379311)"
16-12-2022 13:19:53.988538,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 6.165517241379311)"
16-12-2022 13:19:55.085581,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 99.36842105263158)","(3.8, 8.0, 6.165517241379311)"
16-12-2022 13:19:56.064310,"(31.0, 250.0, 94.0)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.159090909090909)","(31.0, 220.0, 140.41666666666666)","(3.8, 8.0, 6.165517241379311)"
16-12-2022 13:19:57.053572,"(31.0, 250.0, 139.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 50.0, 42.125)","(4.4, 7.0, 5.133333333333333)","(31.0, 220.0, 140.41666666666666)","(3.8, 8.0, 6.165517241379311)"
16-12-2022 13:19:58.038779,"(31.0, 250.0, 139.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 55.0, 32.1875)","(4.4, 6.8, 5.031818181818181)","(31.0, 220.0, 140.41666666666666)","(3.8, 8.0, 5.122222222222222)"
16-12-2022 13:19:59.083122,"(31.0, 250.0, 139.5)","(1.45, 1.88, 1.5164912280701754)","(19.0, 55.0, 32.1875)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 140.41666666666666)","(3.8, 8.0, 5.122222222222222)"
16-12-2022 13:20:00.261361,"(31.0, 250.0, 139.5)","(1.45, 1.88, 1.5138541666666667)","(19.0, 55.0, 32.1875)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 140.41666666666666)","(3.8, 8.0, 5.122222222222222)"
16-12-2022 13:20:01.366319,"(31.0, 250.0, 139.5)","(1.45, 2.14, 1.5165625)","(19.0, 55.0, 32.1875)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 140.41666666666666)","(3.8, 8.0, 5.122222222222222)"
16-12-2022 13:20:02.405652,"(31.0, 250.0, 139.5)","(1.45, 1.9, 1.516842105263158)","(19.0, 55.0, 32.1875)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.122222222222222)"
16-12-2022 13:20:03.495472,"(31.0, 250.0, 139.5)","(1.45, 1.9, 1.516842105263158)","(19.0, 55.0, 32.1875)","(4.4, 6.6, 5.031818181818181)","(31.0, 220.0, 63.72727272727273)","(3.8, 8.0, 5.122222222222222)"
