,Happy As,Jogalong Blue,Eagle Uno,Im Freyja,Laker,Caribbean Spice,Knight Walker,Pocket More For Less Nz,Nightwatch Star,Caesars Rockstar
05-01-2023 13:28:51.644169,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.0, 5.520408163265306)","(19.0, 55.0, 39.8)"
05-01-2023 13:28:53.077104,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.7, 7.285714285714286)","(19.0, 55.0, 39.8)"
05-01-2023 13:28:54.416500,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.0, 5.1535714285714285)","(19.0, 55.0, 39.8)"
05-01-2023 13:28:55.804904,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.4, 5.13125)","(19.0, 55.0, 39.8)"
05-01-2023 13:28:57.215781,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.3, 5.13030303030303)","(19.0, 55.0, 39.8)"
05-01-2023 13:28:58.603948,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.3, 4.929411764705883)","(19.0, 55.0, 39.8)"
05-01-2023 13:28:59.948998,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.1, 4.929411764705883)","(19.0, 55.0, 39.8)"
05-01-2023 13:29:01.284623,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.1, 4.929411764705883)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:02.635720,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.1, 5.316666666666667)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:03.965248,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.4, 4.978947368421053)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:05.274255,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 142.5)","(71.0, 220.0, 160.0)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.2, 7.316666666666666)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:06.571443,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 7.8, 5.233333333333333)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:07.823992,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.3, 5.050000000000001)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:09.143009,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.2, 5.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:10.472372,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.1, 5.05)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:11.803649,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.1, 7.333333333333333)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:13.039882,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 7.8, 5.583333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:14.218015,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.7, 5.25)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:15.527123,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.3, 5.5)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:16.750480,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.6, 5.333333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:18.018115,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.4, 5.35)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:19.280803,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.4, 5.333333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:20.491972,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.4, 6.818181818181818)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:21.684037,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 9.0, 5.583333333333334)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:22.932780,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.7, 8.333333333333332)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:24.150925,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 9.0, 8.333333333333332)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:25.430103,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 9.0, 8.333333333333332)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:26.661370,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 9.0, 8.333333333333332)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:27.913632,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 9.0, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:29.115651,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:30.301431,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:31.512726,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:32.748235,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:33.971624,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:35.151867,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:36.353570,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:37.585650,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:38.852386,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:40.110252,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:41.337146,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 8.0)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:42.536030,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.6, 5.416666666666667)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:43.692655,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.5, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:44.888196,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:46.113768,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 5.2631578947368425)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:47.342102,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 6.0, 5.2631578947368425)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:48.578899,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 6.0, 5.2631578947368425)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:49.879889,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 6.0, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:51.119139,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 5.416666666666667)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:52.302260,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 5.5, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:53.630287,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:54.891292,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:56.223816,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:57.498944,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:29:58.793851,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:00.126180,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:01.362965,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:02.537694,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:03.731834,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:04.978064,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:06.306533,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
05-01-2023 13:30:07.637504,"(7.5, 13.0, 9.4)","(2.8, 5.9, 3.966666666666667)","(5.5, 7.8, 5.883333333333333)","(71.0, 220.0, 120.35714285714286)","(71.0, 220.0, 191.8181818181818)","(101.0, 230.0, 196.25)","(31.0, 120.0, 58.0)","(4.0, 99999, 99990)","(3.7, 8.8, 7.714285714285714)","(19.0, 55.0, 34.75)"
