,Velocity Justice,Cyclone Rinaldo,Baby Thor,Lektra Left,Heslea,Nannys Magic,Double Espresso
06-01-2023 13:14:37.851716,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:39.116362,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:40.250848,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:41.427661,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:42.543121,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:43.740775,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:44.894916,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 6.8)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 20.166666666666664)"
06-01-2023 13:14:46.037655,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:47.194787,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:48.406547,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:49.573684,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:50.660712,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:51.726199,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:52.815668,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:53.993597,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:55.048547,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:56.163825,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:57.291342,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:58.498394,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:14:59.768189,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:00.907458,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:02.049942,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:03.188045,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:04.169755,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:05.283720,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:06.430189,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:07.447014,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:08.555446,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:09.696620,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:10.825788,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:11.914136,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:12.925912,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:14.014334,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:15.061828,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:16.094676,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:17.142277,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 161.6)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:18.269910,"(13.0, 28.0, 17.666666666666668)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:19.385991,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:20.531166,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:21.680308,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:22.812110,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:23.907843,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:24.937321,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.722857142857143)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:25.977220,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.522)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:27.080429,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.522)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:28.279268,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.522)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:29.539395,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.652888888888889)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:30.848102,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.846153846153846)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:32.142004,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.846153846153846)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:33.406868,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.846153846153846)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:34.536321,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.846153846153846)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:35.765442,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.1571428571428575)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:36.947612,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:38.041057,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:39.049487,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:40.302996,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:41.631850,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:42.950120,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:44.290667,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:45.657743,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:46.943087,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:48.144329,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:49.384717,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:50.535530,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:51.627947,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:52.696470,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 2.578095238095238)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:53.864414,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.7, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:55.043068,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:56.141232,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:57.290209,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:58.541052,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:15:59.732826,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:00.961397,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:02.241440,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:03.482149,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:04.927717,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:06.201893,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:07.499649,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
06-01-2023 13:16:08.655785,"(13.0, 28.0, 18.3125)","(3.2, 5.1, 4.242857142857143)","(5.0, 7.8, 7.199999999999999)","(5.0, 10.0, 7.547826086956522)","(2.35, 3.6, 3.372)","(41.0, 350.0, 156.76923076923077)","(12.0, 25.0, 22.1)"
