,Hard Case Watson,Big Prediction,Crazy Dream,Ripplebrook Snip,Blaze Maker,Aston Hackett,Our Girl Daisy
14-12-2022 12:00:13.984944,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:15.057322,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:16.105974,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 31.785714285714285)"
14-12-2022 12:00:17.234150,"(2.7, 4.3, 3.7874999999999996)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:18.298078,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:19.359160,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:20.441293,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:21.488749,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:22.448638,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:23.539276,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:24.695362,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:25.846824,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:26.990194,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:28.158791,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:29.344261,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:30.439386,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:31.366640,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:32.385364,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:33.474593,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:34.578789,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:35.721729,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:36.888506,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:38.013487,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:39.084293,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:40.104054,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:41.185660,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 57.5)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 35.9375)"
14-12-2022 12:00:42.233419,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:43.331182,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:44.453734,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:45.614640,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:46.715997,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:47.756652,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:48.686173,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:49.670638,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:50.737809,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:51.768478,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:52.867134,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:53.947451,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:54.984170,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:56.064886,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:57.036138,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:57.952677,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:58.951129,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:00:59.949712,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:00.971874,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:02.125409,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:03.115979,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:04.182973,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:05.208921,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:06.434441,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:07.570838,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:08.644482,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.825)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:09.664300,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 7.357142857142858)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:10.695804,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:11.782803,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:13.034816,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:14.129276,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:15.400395,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 49.63636363636364)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 37.1)"
14-12-2022 12:01:16.464208,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 30.875)"
14-12-2022 12:01:17.511547,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 30.875)"
14-12-2022 12:01:18.570528,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 4.226923076923077)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 6.75)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 30.875)"
14-12-2022 12:01:19.554366,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 7.8125)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 33.5)"
14-12-2022 12:01:20.539341,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 8.277777777777779)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 33.5)"
14-12-2022 12:01:21.492374,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 7.9375)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 33.5)"
14-12-2022 12:01:22.491342,"(2.7, 4.4, 3.1051162790697675)","(3.5, 6.2, 3.911363636363636)","(5.0, 8.6, 6.2)","(31.0, 110.0, 59.53846153846153)","(5.5, 11.5, 7.5)","(4.8, 7.6, 5.183333333333334)","(17.0, 65.0, 33.5)"
