,Hez Razor Sharp,Endeavour Stride,Jack James,Beast Mode,Seal The Destiny,Iden Miss Lucy,Equity Stride,Urus Nz,Wheres The Gold Nz,We Salute You,Lynryd Skynryd Nz
08-01-2023 17:59:30.827300,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:32.398080,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:33.979518,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:35.479201,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:37.033205,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:38.504934,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:39.945864,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:41.407133,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:42.874465,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:44.470738,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:45.960976,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:47.357827,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:48.651839,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:49.921760,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:51.227098,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:52.572281,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:53.914344,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:55.521803,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:56.883602,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:58.395335,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 27.333333333333332)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 17:59:59.881952,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 34.0)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:01.364411,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:02.747628,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:04.065611,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:05.301617,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:06.555752,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:07.897589,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:09.253179,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:10.512426,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:11.771918,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:13.053922,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:14.362553,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:15.954312,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:17.267042,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:18.627602,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:20.130084,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:21.692776,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:23.245987,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:24.583570,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:25.878036,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 152.85714285714286)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:27.185247,"(18.0, 32.0, 23.0)","(31.0, 90.0, 65.0)","(31.0, 65.0, 40.333333333333336)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:28.486827,"(18.0, 32.0, 23.0)","(31.0, 90.0, 58.0)","(31.0, 60.0, 44.0)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:29.949502,"(18.0, 32.0, 23.0)","(31.0, 90.0, 58.0)","(31.0, 60.0, 44.0)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:31.255794,"(18.0, 32.0, 23.0)","(31.0, 90.0, 58.0)","(31.0, 60.0, 44.0)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 30.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:32.700333,"(18.0, 32.0, 23.0)","(31.0, 90.0, 52.75)","(31.0, 60.0, 41.5)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 38.0, 28.2)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:33.962237,"(18.0, 32.0, 23.0)","(31.0, 85.0, 52.75)","(31.0, 55.0, 41.5)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 36.0, 25.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:35.333325,"(18.0, 32.0, 23.0)","(31.0, 85.0, 52.75)","(31.0, 55.0, 41.5)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 36.0, 25.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:36.853392,"(18.0, 32.0, 23.0)","(31.0, 85.0, 54.666666666666664)","(31.0, 55.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 36.0, 25.5)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:38.356837,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 36.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:40.000501,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 34.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:41.507813,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 34.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:42.998322,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 34.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:44.519299,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 34.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:46.001196,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 34.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
08-01-2023 18:00:47.372478,"(18.0, 32.0, 23.0)","(31.0, 80.0, 54.666666666666664)","(31.0, 50.0, 41.2)","(26.0, 50.0, 36.5)","(26.0, 46.0, 40.0)","(21.0, 34.0, 26.0)","(71.0, 180.0, 120.0)","(19.0, 99999, 99990)","(1.18, 99999, 99990)","(14.0, 19.5, 18.25)","(12.0, 99999, 99990)"
