,Chocolateicecream,Reach The Circle,Tashkent,Limbos Promise,Big Money Machine,Fra Mauro,Deanos Cape,Got Mojo
16-12-2022 13:11:58.581548,"(9.0, 14.0, 12.581818181818182)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.8999999999999995)","(5.0, 15.5, 10.7)","(19.0, 250.0, 82.14285714285714)"
16-12-2022 13:11:59.768702,"(9.0, 14.0, 12.581818181818182)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 7.942857142857142)","(5.0, 15.5, 10.399999999999999)","(19.0, 250.0, 82.14285714285714)"
16-12-2022 13:12:00.979593,"(9.0, 14.0, 12.581818181818182)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.04, 2.0)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 8.049999999999999)","(5.0, 15.5, 13.7)","(19.0, 250.0, 82.14285714285714)"
16-12-2022 13:12:02.109102,"(9.0, 14.0, 12.4)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.02, 2.0028571428571427)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 8.57)","(5.0, 15.5, 10.5)","(19.0, 250.0, 82.14285714285714)"
16-12-2022 13:12:03.148628,"(9.0, 14.0, 12.4)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.02, 2.0028571428571427)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 10.0, 8.153846153846153)","(5.0, 15.5, 9.559999999999999)","(19.0, 250.0, 82.14285714285714)"
16-12-2022 13:12:04.332575,"(9.0, 14.0, 12.4)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.02, 2.0028571428571427)","(15.0, 34.0, 25.4)","(3.2, 18.5, 9.125)","(8.5, 10.0, 8.4)","(5.0, 15.5, 9.559999999999999)","(19.0, 250.0, 158.33333333333334)"
16-12-2022 13:12:05.564871,"(9.0, 14.0, 12.4)","(19.0, 85.0, 70.44444444444444)","(3.0, 2.02, 2.0028571428571427)","(15.0, 34.0, 25.4)","(3.2, 18.5, 9.125)","(8.5, 10.0, 8.4)","(5.0, 15.5, 13.342857142857142)","(19.0, 230.0, 133.0)"
16-12-2022 13:12:06.671380,"(9.0, 14.0, 12.0)","(19.0, 85.0, 61.5)","(3.0, 2.02, 2.0028571428571427)","(15.0, 34.0, 25.4)","(3.2, 18.5, 9.125)","(8.5, 10.0, 8.4)","(5.0, 15.0, 11.266666666666667)","(19.0, 230.0, 133.0)"
16-12-2022 13:12:07.765498,"(9.0, 14.0, 12.0)","(19.0, 85.0, 61.5)","(3.0, 2.02, 2.0028571428571427)","(15.0, 34.0, 25.4)","(3.2, 18.5, 9.125)","(8.5, 10.0, 8.4)","(5.0, 15.0, 12.3)","(19.0, 230.0, 133.0)"
16-12-2022 13:12:08.922965,"(9.0, 13.5, 12.375)","(19.0, 85.0, 61.5)","(3.0, 2.02, 1.9972093023255815)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 10.0, 8.4)","(5.0, 15.0, 11.533333333333333)","(19.0, 230.0, 194.5)"
16-12-2022 13:12:10.133549,"(9.0, 13.5, 12.375)","(19.0, 95.0, 60.8)","(3.0, 2.12, 1.9972093023255815)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 10.0, 8.153846153846153)","(5.0, 15.0, 11.533333333333333)","(19.0, 670.0, 194.5)"
16-12-2022 13:12:11.192469,"(9.0, 13.5, 12.066666666666666)","(19.0, 95.0, 60.8)","(3.0, 2.12, 1.9972093023255815)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 10.0, 8.6)","(5.0, 15.0, 11.366666666666667)","(19.0, 670.0, 183.0)"
16-12-2022 13:12:12.298476,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.12, 1.9972093023255815)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 8.6)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:13.446600,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.1, 2.0533333333333332)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 8.6)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:14.651573,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.1, 2.0533333333333332)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 8.333333333333334)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:15.817589,"(9.0, 13.5, 12.133333333333333)","(19.0, 95.0, 60.8)","(3.0, 2.1, 2.0533333333333332)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:16.921299,"(9.0, 13.5, 12.68)","(19.0, 95.0, 60.8)","(3.0, 2.1, 2.0533333333333332)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 10.583333333333334)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:18.040876,"(9.0, 13.5, 12.68)","(19.0, 95.0, 60.8)","(3.0, 2.1, 2.025)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:19.209026,"(9.0, 13.5, 12.68)","(19.0, 95.0, 60.8)","(3.0, 2.1, 1.990212765957447)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:20.359194,"(9.0, 13.5, 12.68)","(19.0, 95.0, 60.8)","(3.0, 2.14, 1.990212765957447)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 183.0)"
16-12-2022 13:12:21.370272,"(9.0, 13.5, 12.68)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0228571428571427)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 330.0, 83.33333333333334)"
16-12-2022 13:12:22.384309,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0228571428571427)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:23.466913,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0228571428571427)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:24.588194,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0228571428571427)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:25.683163,"(9.0, 13.5, 12.5)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0228571428571427)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:26.866627,"(9.0, 13.5, 12.425)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0228571428571427)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:28.073630,"(9.0, 13.5, 12.425)","(19.0, 95.0, 60.8)","(3.0, 2.08, 2.0142857142857142)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:29.201570,"(9.0, 13.5, 12.425)","(19.0, 95.0, 60.8)","(3.0, 2.06, 2.0142857142857142)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:30.236335,"(9.0, 13.5, 12.425)","(19.0, 95.0, 60.8)","(3.0, 2.06, 2.0142857142857142)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:31.287019,"(9.0, 13.5, 12.425)","(19.0, 95.0, 60.8)","(3.0, 2.06, 1.9870588235294118)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:32.443842,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.04, 2.005714285714286)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:33.562992,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 2.04, 1.978)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 15.7)","(8.5, 9.8, 9.3)","(5.0, 14.5, 11.366666666666667)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:34.642735,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 1.96, 1.951)","(15.0, 34.0, 19.666666666666668)","(3.2, 18.5, 12.25)","(8.5, 9.8, 8.6)","(5.0, 14.5, 12.620000000000001)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:35.768764,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 1.96, 1.951)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 9.8, 8.6)","(5.0, 14.5, 12.620000000000001)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:36.947591,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 1.96, 1.951)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 9.8, 8.6)","(5.0, 14.5, 12.620000000000001)","(19.0, 320.0, 83.33333333333334)"
16-12-2022 13:12:38.114741,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 1.96, 1.951)","(15.0, 34.0, 25.4)","(3.2, 18.5, 12.25)","(8.5, 9.8, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 320.0, 127.33333333333333)"
16-12-2022 13:12:39.216504,"(9.0, 13.5, 11.94)","(19.0, 95.0, 60.8)","(3.0, 1.96, 1.9510204081632652)","(15.0, 34.0, 25.6)","(3.2, 18.5, 16.0)","(8.5, 9.8, 8.163636363636364)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:40.315438,"(9.0, 13.5, 11.94)","(19.0, 95.0, 60.8)","(3.0, 1.94, 1.7270967741935483)","(15.0, 34.0, 25.6)","(3.2, 18.5, 16.0)","(8.5, 9.8, 8.266666666666666)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:41.406857,"(9.0, 13.5, 11.45)","(19.0, 95.0, 60.8)","(3.0, 1.94, 1.8697222222222223)","(15.0, 34.0, 25.6)","(3.2, 18.5, 16.0)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:42.454780,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.91)","(15.0, 34.0, 25.6)","(3.2, 18.5, 16.0)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:43.459039,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.9015)","(15.0, 34.0, 23.75)","(3.2, 18.5, 16.0)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:44.549131,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8528571428571428)","(15.0, 34.0, 23.75)","(3.2, 18.5, 16.0)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:45.622876,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.9124137931034482)","(15.0, 34.0, 23.75)","(3.2, 18.5, 16.0)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:46.757706,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8705)","(15.0, 34.0, 23.75)","(3.2, 18.5, 16.0)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:47.836800,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8753571428571427)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:49.021525,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.81)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:50.112595,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.81)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.6, 8.6)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:51.255946,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.832)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.6, 8.8)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:52.349135,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.832)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.357142857142858)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:53.450354,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8833333333333333)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:54.669890,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8833333333333333)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:55.858364,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.9004545454545454)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:57.050648,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8633333333333333)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:58.245958,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8633333333333333)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:12:59.438190,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8633333333333333)","(15.0, 34.0, 23.75)","(3.2, 7.0, 6.8)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:00.615212,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8633333333333333)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 8.8)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:01.745208,"(9.0, 13.5, 12.32857142857143)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8633333333333333)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 8.49090909090909)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:02.870111,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8383333333333334)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.8, 8.454545454545453)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:04.094448,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8383333333333334)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.5, 13.0)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:05.375616,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8383333333333334)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.5, 10.09375)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:06.623521,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8383333333333334)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.5, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:07.785393,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8383333333333334)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:08.969163,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.93, 1.8742)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:10.150355,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.96, 1.927142857142857)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:11.235090,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.927142857142857)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 8.454545454545453)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:12.325679,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9227272727272726)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.6, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:13.462515,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9227272727272726)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:14.650770,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9227272727272726)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:15.822300,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9227272727272726)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:17.060917,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9227272727272726)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:18.325253,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9442105263157894)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:19.566869,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:20.681705,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.9)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:21.887287,"(9.0, 13.5, 10.9)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.932)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:23.115583,"(9.0, 13.5, 12.385714285714286)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.932)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
16-12-2022 13:13:24.344833,"(9.0, 13.5, 11.65)","(19.0, 95.0, 60.8)","(3.0, 1.95, 1.932)","(15.0, 34.0, 27.166666666666664)","(3.2, 7.0, 6.466666666666667)","(8.5, 9.4, 9.0)","(5.0, 14.0, 11.75)","(19.0, 310.0, 127.33333333333333)"
