,Hampton Bay,Noztrabeel,Olympic Honour,Poet Warrior,Rustic Charm,American Jewel,Cashmore,Just For Curiosity,Prewingo,Fairy Fling,Gaynik,Smashing Hit,Waning Weasel,Hathaway
14-12-2022 18:46:16.225927,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.013651877133106)","(5.5, 6.2, 6.014736842105263)","(16.0, 22.0, 20.333333333333332)","(9.0, 12.5, 11.166666666666666)","(10.0, 12.0, 11.966666666666667)","(31.0, 75.0, 61.0)","(6.0, 7.2, 7.179746835443038)","(5.0, 6.4, 5.974074074074075)","(21.0, 48.0, 42.0)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 64.8)","(101.0, 400.0, 368.0)","(18.0, 25.0, 22.16216216216216)"
14-12-2022 18:46:17.810134,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.013651877133106)","(5.5, 6.2, 6.014736842105263)","(16.0, 22.0, 20.333333333333332)","(9.0, 12.5, 11.166666666666666)","(10.0, 12.0, 11.972222222222221)","(31.0, 75.0, 65.0)","(6.0, 7.2, 7.179746835443038)","(5.0, 6.4, 6.051515151515152)","(21.0, 46.0, 42.0)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 64.8)","(101.0, 420.0, 356.0)","(18.0, 25.0, 22.4390243902439)"
14-12-2022 18:46:19.635027,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.013651877133106)","(5.5, 6.2, 6.010752688172043)","(16.0, 22.0, 20.0)","(9.0, 12.5, 11.166666666666666)","(10.0, 12.0, 11.9375)","(31.0, 75.0, 65.0)","(6.0, 7.2, 7.179746835443038)","(5.0, 6.4, 5.957692307692308)","(21.0, 46.0, 42.0)","(31.0, 40.0, 39.111111111111114)","(31.0, 70.0, 64.8)","(101.0, 400.0, 357.5)","(18.0, 25.0, 22.4390243902439)"
14-12-2022 18:46:21.229623,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.023920265780731)","(5.5, 6.2, 6.010752688172043)","(16.0, 22.0, 20.571428571428573)","(9.0, 12.5, 11.833333333333334)","(10.0, 12.0, 11.818181818181818)","(31.0, 75.0, 58.333333333333336)","(6.0, 7.2, 6.817777777777778)","(5.0, 6.4, 6.103225806451613)","(21.0, 46.0, 42.666666666666664)","(31.0, 40.0, 39.27272727272727)","(31.0, 70.0, 48.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.4390243902439)"
14-12-2022 18:46:22.672695,"(16.0, 22.0, 21.692307692307693)","(5.0, 6.4, 6.023920265780731)","(5.5, 6.2, 6.022222222222222)","(16.0, 22.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.0, 11.620689655172415)","(31.0, 75.0, 65.0)","(6.0, 7.0, 6.821052631578947)","(5.0, 6.4, 6.0)","(21.0, 46.0, 37.6)","(31.0, 40.0, 36.705882352941174)","(31.0, 50.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:24.125674,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.014814814814815)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 65.0)","(6.0, 7.0, 6.821052631578947)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 36.705882352941174)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:25.623061,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 65.0)","(6.0, 7.0, 6.824242424242424)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 39.5)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:27.125126,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 65.0)","(6.0, 7.0, 6.824242424242424)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 39.5)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:28.564820,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 65.0)","(6.0, 7.0, 6.824242424242424)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 39.5)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:30.176472,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 65.0)","(6.0, 7.0, 6.824242424242424)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 39.5)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:31.703988,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 61.0)","(6.0, 7.0, 6.890566037735849)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:33.472455,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.890566037735849)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 22.46153846153846)"
14-12-2022 18:46:35.000021,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.890566037735849)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 23.453125)"
14-12-2022 18:46:36.565151,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 6.022222222222222)","(16.0, 23.0, 20.2)","(9.0, 12.5, 11.3)","(10.0, 12.5, 11.620689655172415)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.890566037735849)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 23.453125)"
14-12-2022 18:46:38.110171,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 5.712195121951219)","(16.0, 23.0, 20.2)","(8.5, 12.5, 11.3)","(10.0, 12.5, 11.842105263157894)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.741666666666667)","(5.0, 6.4, 6.078571428571429)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 23.453125)"
14-12-2022 18:46:39.949520,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 5.712195121951219)","(16.0, 23.0, 20.2)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.741666666666667)","(5.0, 6.4, 6.078571428571429)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 23.453125)"
14-12-2022 18:46:41.601052,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 5.706172839506173)","(16.0, 23.0, 24.333333333333332)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.738028169014084)","(5.0, 6.4, 6.025)","(21.0, 46.0, 37.6)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 380.0, 357.5)","(18.0, 25.0, 23.9375)"
14-12-2022 18:46:43.302356,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.007547169811321)","(5.5, 6.2, 5.712195121951219)","(16.0, 26.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.738028169014084)","(5.0, 6.4, 6.025)","(21.0, 46.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.8)","(101.0, 380.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:44.786422,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.003053435114504)","(5.5, 6.2, 5.729411764705882)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.738028169014084)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.8)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:46.226495,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.003053435114504)","(5.5, 6.2, 5.729411764705882)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 66.25)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.8)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:47.870584,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.4, 6.030769230769231)","(5.5, 6.2, 5.718072289156627)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 63.33333333333333)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:49.583020,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.718072289156627)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 58.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:51.225533,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.718072289156627)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 58.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:52.886873,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.718072289156627)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 58.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:54.599386,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.809756097560975)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.3)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 54.333333333333336)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:56.221619,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.642857142857142)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 54.333333333333336)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 58.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:57.961573,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.954545454545455)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 54.333333333333336)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 40.0)","(31.0, 70.0, 58.8)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:46:59.491873,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 12.038461538461538)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 54.333333333333336)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.08235294117647)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 40.0)","(31.0, 70.0, 58.8)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:47:01.051847,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 12.0)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 54.333333333333336)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.025)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 40.0)","(31.0, 70.0, 58.8)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:47:02.633281,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 12.0)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 59.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.13)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 40.0)","(31.0, 70.0, 56.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:47:04.201868,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.5)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 59.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.13)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 56.0)","(101.0, 430.0, 410.0)","(18.0, 24.0, 23.9375)"
14-12-2022 18:47:05.701049,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.5)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 59.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.0538461538461545)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 56.0)","(101.0, 430.0, 387.5)","(18.0, 24.0, 23.9375)"
14-12-2022 18:47:07.281917,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.8145454545454545)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.5)","(10.0, 12.0, 11.842105263157894)","(31.0, 75.0, 59.5)","(6.0, 7.0, 6.755263157894737)","(5.0, 6.4, 6.163157894736843)","(21.0, 42.0, 36.666666666666664)","(31.0, 42.0, 41.0)","(31.0, 70.0, 56.0)","(101.0, 420.0, 387.5)","(18.0, 24.0, 23.9375)"
14-12-2022 18:47:08.785020,"(16.0, 24.0, 22.095238095238095)","(5.0, 6.6, 6.441304347826087)","(5.5, 6.2, 5.6031249999999995)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.214285714285714)","(10.0, 12.0, 11.719101123595506)","(31.0, 75.0, 59.5)","(6.0, 7.0, 6.758441558441558)","(5.0, 6.4, 6.08)","(21.0, 42.0, 35.2)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 420.0, 387.5)","(18.0, 24.0, 23.595744680851062)"
14-12-2022 18:47:10.341065,"(16.0, 24.0, 23.142857142857142)","(5.0, 6.6, 6.470422535211267)","(5.5, 5.7, 5.607407407407407)","(16.0, 27.0, 23.25)","(8.5, 12.5, 11.214285714285714)","(10.0, 12.0, 11.719101123595506)","(31.0, 75.0, 59.5)","(6.0, 7.0, 6.758441558441558)","(5.0, 6.6, 6.1125)","(21.0, 40.0, 35.2)","(31.0, 42.0, 41.0)","(31.0, 70.0, 64.8)","(101.0, 420.0, 387.5)","(18.0, 25.0, 23.595744680851062)"
14-12-2022 18:47:11.923043,"(16.0, 24.0, 22.75)","(5.0, 6.6, 6.56595744680851)","(5.5, 5.7, 5.6421052631578945)","(16.0, 27.0, 25.0)","(8.5, 12.5, 11.333333333333334)","(10.0, 12.0, 11.8)","(31.0, 75.0, 49.142857142857146)","(6.0, 7.0, 6.842622950819672)","(5.0, 6.6, 6.25)","(21.0, 40.0, 35.125)","(31.0, 42.0, 36.5)","(31.0, 70.0, 64.8)","(101.0, 420.0, 401.42857142857144)","(18.0, 25.0, 23.875)"
14-12-2022 18:47:13.592432,"(16.0, 23.0, 21.666666666666668)","(5.0, 6.6, 6.56595744680851)","(5.5, 6.0, 5.6421052631578945)","(16.0, 27.0, 25.0)","(8.5, 12.5, 11.544117647058824)","(10.0, 12.0, 11.8)","(31.0, 80.0, 49.142857142857146)","(6.0, 7.0, 6.842622950819672)","(5.0, 6.8, 6.328571428571428)","(21.0, 36.0, 35.36363636363636)","(31.0, 38.0, 36.5)","(31.0, 70.0, 64.8)","(101.0, 420.0, 401.42857142857144)","(18.0, 24.0, 23.875)"
14-12-2022 18:47:15.219458,"(16.0, 23.0, 21.666666666666668)","(5.0, 6.6, 6.56595744680851)","(5.5, 6.0, 5.6499999999999995)","(16.0, 27.0, 25.0)","(8.5, 13.0, 11.681818181818182)","(10.0, 12.0, 11.8)","(31.0, 80.0, 49.142857142857146)","(6.0, 7.0, 6.842622950819672)","(5.0, 6.8, 6.328571428571428)","(21.0, 36.0, 35.36363636363636)","(31.0, 38.0, 36.5)","(31.0, 70.0, 64.8)","(101.0, 420.0, 401.42857142857144)","(18.0, 24.0, 23.875)"
14-12-2022 18:47:16.733111,"(16.0, 23.0, 21.666666666666668)","(5.0, 6.6, 6.56595744680851)","(5.5, 6.0, 5.6499999999999995)","(16.0, 27.0, 25.0)","(8.5, 13.5, 11.681818181818182)","(10.0, 12.0, 11.246153846153845)","(31.0, 80.0, 54.8)","(6.0, 7.0, 6.842622950819672)","(5.0, 6.8, 6.328571428571428)","(21.0, 36.0, 35.36363636363636)","(31.0, 38.0, 36.5)","(31.0, 70.0, 64.8)","(101.0, 420.0, 401.42857142857144)","(18.0, 24.0, 23.875)"
14-12-2022 18:47:18.350750,"(16.0, 23.0, 21.666666666666668)","(5.0, 6.6, 6.56595744680851)","(5.5, 6.0, 5.6499999999999995)","(16.0, 27.0, 25.0)","(8.5, 13.5, 11.681818181818182)","(10.0, 12.0, 11.246153846153845)","(31.0, 80.0, 56.2)","(6.0, 7.0, 6.842622950819672)","(5.0, 6.8, 6.328571428571428)","(21.0, 36.0, 35.36363636363636)","(31.0, 38.0, 36.5)","(31.0, 70.0, 64.8)","(101.0, 420.0, 401.42857142857144)","(18.0, 24.0, 23.75)"
