,Destructor,Holy Spy,Bold Prophet,You Can Tell Me,Skittish,Little Bay Horse,Monetary Gains,Westozi,Schnoots,La Dette,Pearlsndiamonds
07-01-2023 17:08:24.119577,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:25.606224,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:26.879682,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:28.177960,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:29.458101,"(41.0, 150.0, 82.0)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:30.718067,"(41.0, 150.0, 83.33333333333334)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:32.027120,"(41.0, 150.0, 129.6)","(16.0, 23.0, 19.666666666666668)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.32)","(21.0, 34.0, 26.22222222222222)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.2466666666666666)","(19.0, 36.0, 31.0)"
07-01-2023 17:08:33.262559,"(41.0, 150.0, 129.6)","(16.0, 23.0, 19.19047619047619)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.26, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:34.594826,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 120.0)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:35.825676,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 179.47368421052633)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:37.099745,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 126.66666666666667)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:38.307635,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 126.66666666666667)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:39.526749,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 126.66666666666667)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:40.743272,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.228571428571429)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 126.66666666666667)","(10.0, 18.5, 17.875)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:41.991789,"(41.0, 150.0, 129.6)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 190.0, 130.0)","(10.0, 18.5, 17.5)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:43.259090,"(41.0, 160.0, 129.45454545454544)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 200.0, 130.0)","(10.0, 18.5, 17.5)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:44.432838,"(41.0, 160.0, 129.45454545454544)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 88.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 200.0, 130.0)","(10.0, 18.5, 15.318181818181818)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:45.660307,"(41.0, 160.0, 129.45454545454544)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 80.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 200.0, 130.0)","(10.0, 18.5, 15.318181818181818)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:46.907394,"(41.0, 160.0, 129.45454545454544)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 80.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 200.0, 130.0)","(10.0, 18.5, 15.318181818181818)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:48.056676,"(41.0, 160.0, 129.45454545454544)","(16.0, 23.0, 21.095238095238095)","(31.0, 100.0, 80.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 28.75)","(81.0, 130.0, 115.71428571428572)","(61.0, 200.0, 130.0)","(10.0, 18.5, 15.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:49.190836,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 80.0)","(4.6, 6.4, 6.266666666666667)","(21.0, 34.0, 29.0)","(81.0, 140.0, 100.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 15.0)","(4.4, 5.6, 5.3428571428571425)","(1.95, 2.24, 2.186511627906977)","(19.0, 36.0, 31.5)"
07-01-2023 17:08:50.582765,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.300000000000001)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 15.0)","(4.4, 5.6, 5.449999999999999)","(1.95, 2.24, 2.1874285714285717)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:51.962911,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.300000000000001)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 15.0)","(4.4, 5.6, 5.449999999999999)","(1.95, 2.24, 2.1874285714285717)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:53.248455,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.300000000000001)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 15.0)","(4.4, 5.6, 5.449999999999999)","(1.95, 2.24, 2.1874285714285717)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:54.526303,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.300000000000001)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.6, 5.449999999999999)","(1.95, 2.24, 2.1874285714285717)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:55.863348,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.300000000000001)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.6, 5.449999999999999)","(1.95, 2.24, 2.1874285714285717)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:57.118257,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.28)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.6, 5.449999999999999)","(1.95, 2.24, 2.1874285714285717)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:58.478305,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.16)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.6, 5.291304347826086)","(1.95, 2.24, 2.188888888888889)","(19.0, 36.0, 32.0)"
07-01-2023 17:08:59.696128,"(41.0, 160.0, 77.5)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.16)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.3, 5.291304347826086)","(1.95, 2.24, 2.188888888888889)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:00.912151,"(41.0, 160.0, 86.66666666666666)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.081818181818182)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.3, 5.291304347826086)","(1.95, 2.24, 2.188888888888889)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:02.066632,"(41.0, 160.0, 105.0)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.081818181818182)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.3, 5.291304347826086)","(1.95, 2.24, 2.188888888888889)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:03.285926,"(41.0, 160.0, 86.66666666666666)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.108333333333333)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.3, 5.286363636363636)","(1.95, 2.24, 2.210526315789474)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:04.541140,"(41.0, 160.0, 86.66666666666666)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.108333333333333)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 90.0)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.3, 5.286363636363636)","(1.95, 2.22, 2.208)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:05.964985,"(41.0, 160.0, 86.66666666666666)","(16.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.108333333333333)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 100.71428571428571)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.4, 5.3, 5.286363636363636)","(1.95, 2.22, 2.2085714285714286)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:07.226385,"(41.0, 160.0, 86.66666666666666)","(15.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.108333333333333)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 100.71428571428571)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.6, 5.3, 5.286363636363636)","(1.95, 2.22, 2.2073684210526316)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:08.444170,"(41.0, 160.0, 86.66666666666666)","(15.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.108333333333333)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 100.71428571428571)","(61.0, 200.0, 130.0)","(10.0, 18.0, 14.538461538461538)","(4.6, 5.3, 5.286363636363636)","(1.95, 2.22, 2.2073684210526316)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:09.713298,"(41.0, 160.0, 86.66666666666666)","(15.0, 23.0, 21.26086956521739)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.108333333333333)","(21.0, 34.0, 29.833333333333332)","(81.0, 140.0, 100.71428571428571)","(61.0, 200.0, 130.0)","(10.0, 18.0, 16.982758620689655)","(4.6, 5.3, 5.5249999999999995)","(1.95, 2.22, 2.1911111111111112)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:10.938822,"(41.0, 160.0, 86.66666666666666)","(15.0, 23.0, 21.48)","(31.0, 100.0, 71.0)","(4.6, 6.6, 5.85)","(21.0, 34.0, 30.0)","(81.0, 140.0, 100.71428571428571)","(61.0, 200.0, 130.0)","(10.0, 17.5, 16.982758620689655)","(4.6, 5.6, 5.5249999999999995)","(1.95, 2.24, 2.1911111111111112)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:12.161003,"(41.0, 160.0, 81.25)","(15.0, 23.0, 21.416666666666668)","(31.0, 100.0, 71.0)","(4.6, 6.4, 6.12)","(21.0, 32.0, 31.0)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 17.0, 15.833333333333334)","(4.6, 5.8, 5.714285714285714)","(1.95, 2.24, 2.1924324324324327)","(19.0, 36.0, 32.0)"
07-01-2023 17:09:13.430864,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.416666666666668)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.065217391304348)","(21.0, 32.0, 31.57142857142857)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 16.5, 14.5)","(4.6, 5.8, 5.745454545454545)","(1.95, 2.24, 2.1924324324324327)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:14.649617,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.416666666666668)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.065217391304348)","(21.0, 32.0, 31.57142857142857)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 16.5, 14.5)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.24, 2.1924324324324327)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:15.865479,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.416666666666668)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.065217391304348)","(21.0, 32.0, 31.57142857142857)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 16.5, 14.5)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.24, 2.1924324324324327)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:17.117371,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.416666666666668)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.065217391304348)","(21.0, 32.0, 31.57142857142857)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 16.5, 14.5)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.24, 2.2504761904761903)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:18.415833,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.272727272727273)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.103846153846154)","(21.0, 32.0, 33.5)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 16.5, 14.5)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.26, 2.248235294117647)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:19.650721,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.272727272727273)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.103846153846154)","(21.0, 38.0, 33.5)","(81.0, 140.0, 103.33333333333333)","(61.0, 200.0, 155.0)","(10.0, 16.5, 14.961538461538462)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.26, 2.248235294117647)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:20.858441,"(41.0, 160.0, 128.5)","(15.0, 23.0, 21.272727272727273)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.4, 6.141176470588236)","(21.0, 38.0, 33.5)","(81.0, 140.0, 117.14285714285714)","(61.0, 200.0, 158.33333333333334)","(10.0, 16.5, 15.428571428571429)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.26, 2.248235294117647)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:22.139901,"(41.0, 150.0, 128.88888888888889)","(15.0, 23.0, 21.272727272727273)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.2, 6.128571428571429)","(21.0, 38.0, 33.5)","(81.0, 130.0, 118.75)","(61.0, 190.0, 158.33333333333334)","(10.0, 16.0, 14.9375)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.26, 2.2504761904761903)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:23.344220,"(41.0, 150.0, 128.88888888888889)","(15.0, 23.0, 21.272727272727273)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.2, 6.128571428571429)","(21.0, 38.0, 33.5)","(81.0, 130.0, 118.75)","(61.0, 190.0, 158.33333333333334)","(10.0, 15.5, 14.833333333333334)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.26, 2.2504761904761903)","(19.0, 36.0, 34.857142857142854)"
07-01-2023 17:09:24.473553,"(41.0, 150.0, 128.88888888888889)","(15.0, 23.0, 21.272727272727273)","(31.0, 100.0, 89.45454545454545)","(4.6, 6.2, 6.128571428571429)","(21.0, 38.0, 33.5)","(81.0, 130.0, 118.75)","(61.0, 190.0, 158.33333333333334)","(10.0, 15.5, 14.833333333333334)","(4.6, 5.8, 5.633333333333333)","(1.95, 2.26, 2.2504761904761903)","(19.0, 36.0, 34.857142857142854)"
