,Scenic Sky,Muscletonian,Meet Michaelangelo,Uncle Louis Nz,Lord Chancellor,Aldebaran Alissa Nz,Millys Magic
09-01-2023 12:59:50.349755,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:51.524084,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:52.675089,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:53.811558,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:54.900492,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:56.021154,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:57.124476,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:58.269573,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 12:59:59.384607,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:00.454341,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:01.467953,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:02.427727,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:03.581654,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:04.697839,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:05.798381,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:06.973937,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:08.077055,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:09.141212,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:10.236891,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:11.363048,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:12.534821,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:13.634756,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:14.638929,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:15.732509,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:16.752016,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:17.852638,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:18.992570,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:20.070966,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:21.136575,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:22.167115,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:23.281457,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:24.418825,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:25.525634,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:26.604842,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:27.689889,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:28.793138,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:29.968649,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:31.131753,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:32.279915,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:33.333847,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:34.335678,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:35.371664,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:36.489758,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:37.541410,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:38.576131,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:39.583368,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:40.706442,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:41.849805,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:43.056806,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:44.192382,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:45.258032,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:46.371721,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:47.516042,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:48.604322,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:49.776029,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:50.885354,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:51.849337,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:52.871944,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:53.950252,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:55.051987,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:56.124817,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:57.123538,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:58.225947,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:00:59.357349,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:01:00.491833,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:01:01.511796,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:01:02.474278,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:01:03.555514,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:01:04.711058,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
09-01-2023 13:01:05.837274,"(3.6, 5.9, 5.066666666666666)","(8.0, 12.5, 10.6)","(26.0, 65.0, 44.0)","(1.95, 99999, 99990)","(11.0, 19.0, 14.75)","(10.0, 99999, 99990)","(6.5, 10.0, 8.733333333333334)"
