,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:23:17.810719,"(12.0, 12.0, 11.741379310344827)","(71.0, 100.0, 88.0)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.04954954954955)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.6, 7.331147540983607)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:18.918108,"(12.0, 12.5, 12.01595744680851)","(71.0, 100.0, 90.0)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.04954954954955)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.348484848484848)","(6.5, 7.6, 7.317241379310345)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:20.025002,"(12.0, 12.5, 11.678571428571429)","(71.0, 100.0, 90.0)","(51.0, 85.0, 84.21052631578948)","(3.2, 5.1, 5.04954954954955)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.307692307692308)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:21.139981,"(12.0, 12.5, 11.678571428571429)","(71.0, 100.0, 90.0)","(51.0, 85.0, 80.0)","(3.3, 5.1, 5.04954954954955)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.307692307692308)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:22.298835,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.3, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.307692307692308)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:23.453595,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.3, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.307692307692308)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:24.605172,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.3, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.261904761904763)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:25.727069,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.3, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.261904761904763)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:26.857505,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.3, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.261904761904763)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
07-01-2023 12:23:28.048677,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7872413793103448)","(12.0, 12.5, 12.261904761904763)","(6.5, 7.6, 7.2784313725490195)","(8.0, 8.8, 8.666666666666668)"
