,Butts,Master At Arms,Morally Bound,My Boy Percey,Willaston,Cassandra Isabel,Exalted Kate,Miss Eurozone,Shosanna
07-12-2022 13:10:07.215874,"(31.0, 44.0, 43.70949720670391)","(20.0, 28.0, 27.53103448275862)","(15.0, 19.5, 19.046511627906977)","(101.0, 880.0, 824.4444444444445)","(4.2, 4.7, 4.661842105263158)","(3.9, 4.3, 4.284761904761905)","(12.0, 15.5, 15.034188034188034)","(31.0, 46.0, 45.172413793103445)","(2.4, 2.86, 2.8435164835164835)"
07-12-2022 13:10:08.295441,"(31.0, 44.0, 43.13333333333333)","(20.0, 28.0, 27.644444444444446)","(15.0, 19.5, 19.157894736842106)","(101.0, 880.0, 824.4444444444445)","(4.2, 4.8, 4.709308510638298)","(4.0, 4.4, 4.315652173913043)","(12.0, 15.5, 15.26530612244898)","(31.0, 46.0, 47.04)","(2.4, 2.84, 2.8480769230769227)"
07-12-2022 13:10:09.399485,"(31.0, 44.0, 43.333333333333336)","(20.0, 28.0, 27.608695652173914)","(15.0, 18.5, 18.17241379310345)","(101.0, 880.0, 824.4444444444445)","(4.2, 4.8, 4.691222030981067)","(4.0, 4.4, 4.2824858757062145)","(12.0, 15.5, 15.742857142857144)","(31.0, 48.0, 46.51851851851852)","(2.4, 2.86, 2.8945271629778673)"
07-12-2022 13:10:10.761700,"(31.0, 44.0, 43.25714285714286)","(20.0, 28.0, 27.54421768707483)","(15.0, 18.0, 17.97029702970297)","(101.0, 880.0, 800.0)","(4.2, 4.7, 4.6902527075812275)","(4.0, 4.3, 4.283431257344301)","(12.0, 16.0, 15.717948717948717)","(31.0, 48.0, 44.75)","(2.4, 2.9, 2.89359375)"
07-12-2022 13:10:11.862371,"(31.0, 44.0, 42.55555555555556)","(20.0, 28.0, 27.541095890410958)","(15.0, 18.0, 17.965686274509803)","(101.0, 880.0, 800.0)","(4.2, 4.7, 4.6902527075812275)","(3.9, 4.3, 4.283431257344301)","(12.0, 16.0, 15.727272727272727)","(31.0, 48.0, 45.166666666666664)","(2.4, 2.9, 2.883489932885906)"
07-12-2022 13:10:13.104609,"(31.0, 44.0, 42.26086956521739)","(20.0, 28.0, 27.529411764705884)","(15.0, 18.0, 17.79491017964072)","(101.0, 880.0, 800.0)","(4.2, 4.7, 4.669753086419753)","(3.9, 4.3, 4.285036496350365)","(12.0, 16.0, 15.7375)","(31.0, 48.0, 45.166666666666664)","(2.4, 2.9, 2.883489932885906)"
07-12-2022 13:10:14.222403,"(31.0, 44.0, 43.09604519774011)","(20.0, 28.0, 27.53548387096774)","(15.0, 18.0, 17.79673590504451)","(101.0, 880.0, 800.0)","(4.2, 4.7, 4.636842105263158)","(3.9, 4.3, 4.299316005471956)","(12.0, 16.0, 15.833333333333334)","(31.0, 48.0, 45.25)","(2.4, 2.88, 2.872207792207792)"
07-12-2022 13:10:15.555370,"(31.0, 44.0, 42.857142857142854)","(20.0, 28.0, 27.53548387096774)","(15.0, 18.0, 17.784900284900285)","(101.0, 870.0, 691.1111111111111)","(4.2, 4.8, 4.666539923954372)","(3.9, 4.3, 4.299045020463847)","(12.0, 16.0, 15.850393700787402)","(31.0, 48.0, 44.857142857142854)","(2.4, 2.86, 2.8536170212765954)"
07-12-2022 13:10:16.663114,"(31.0, 44.0, 42.857142857142854)","(20.0, 28.0, 27.52317880794702)","(15.0, 18.0, 17.604712041884817)","(101.0, 860.0, 823.3333333333333)","(4.2, 4.8, 4.671192660550458)","(3.9, 4.3, 4.299045020463847)","(12.0, 16.0, 15.850393700787402)","(31.0, 48.0, 44.857142857142854)","(2.4, 2.86, 2.8536170212765954)"
07-12-2022 13:10:17.815171,"(31.0, 44.0, 43.23699421965318)","(20.0, 28.0, 27.52317880794702)","(15.0, 17.5, 17.318181818181817)","(101.0, 860.0, 823.3333333333333)","(4.2, 4.8, 4.671192660550458)","(3.8, 4.4, 4.336)","(12.0, 16.0, 15.833333333333334)","(31.0, 46.0, 44.888888888888886)","(2.45, 2.86, 2.8529824561403507)"
07-12-2022 13:10:18.896382,"(31.0, 44.0, 42.59574468085106)","(20.0, 28.0, 27.52317880794702)","(15.0, 18.0, 17.360323886639677)","(101.0, 860.0, 797.1428571428571)","(4.2, 4.8, 4.723333333333334)","(3.8, 4.4, 4.332727272727273)","(12.0, 16.0, 15.8125)","(31.0, 46.0, 44.888888888888886)","(2.45, 2.86, 2.838)"
07-12-2022 13:10:20.110546,"(31.0, 44.0, 42.59574468085106)","(20.0, 28.0, 27.52317880794702)","(15.0, 18.0, 17.36470588235294)","(101.0, 860.0, 797.1428571428571)","(4.2, 4.8, 4.723333333333334)","(3.8, 4.4, 4.332608695652174)","(12.0, 16.0, 15.787610619469026)","(31.0, 46.0, 44.888888888888886)","(2.45, 2.84, 2.8363087248322145)"
07-12-2022 13:10:21.473261,"(31.0, 44.0, 42.59574468085106)","(20.0, 28.0, 27.52317880794702)","(15.0, 18.0, 17.36470588235294)","(101.0, 860.0, 797.1428571428571)","(4.2, 4.8, 4.710354223433242)","(3.8, 4.4, 4.335046728971963)","(12.0, 16.0, 15.781818181818181)","(31.0, 46.0, 44.888888888888886)","(2.45, 2.84, 2.8274666666666666)"
07-12-2022 13:10:22.877197,"(31.0, 44.0, 42.59574468085106)","(20.0, 28.0, 27.48936170212766)","(15.0, 18.0, 17.366141732283463)","(101.0, 860.0, 786.6666666666666)","(4.2, 4.8, 4.674666666666666)","(3.8, 4.4, 4.372469635627531)","(12.0, 16.0, 15.824074074074074)","(31.0, 46.0, 44.888888888888886)","(2.45, 2.84, 2.825818181818182)"
07-12-2022 13:10:24.266325,"(31.0, 44.0, 42.095238095238095)","(20.0, 28.0, 27.48936170212766)","(15.0, 18.0, 17.781512605042018)","(101.0, 860.0, 790.0)","(4.2, 4.8, 4.740613718411552)","(3.8, 4.4, 4.360843373493976)","(12.0, 16.0, 15.586206896551724)","(31.0, 46.0, 45.09090909090909)","(2.45, 2.84, 2.8343065693430654)"
07-12-2022 13:10:25.473496,"(31.0, 44.0, 42.26086956521739)","(20.0, 28.0, 27.5)","(15.0, 17.0, 16.89344262295082)","(101.0, 850.0, 790.0)","(4.2, 4.8, 4.740613718411552)","(3.8, 4.4, 4.360843373493976)","(12.0, 16.0, 15.586206896551724)","(31.0, 46.0, 45.09090909090909)","(2.45, 2.84, 2.8343065693430654)"
07-12-2022 13:10:26.713729,"(31.0, 44.0, 42.78787878787879)","(20.0, 28.0, 27.5)","(15.0, 17.5, 17.04054054054054)","(101.0, 850.0, 790.0)","(4.2, 4.8, 4.741899441340782)","(3.8, 4.4, 4.366666666666667)","(12.0, 16.0, 15.586206896551724)","(31.0, 46.0, 44.857142857142854)","(2.45, 2.84, 2.794351145038168)"
07-12-2022 13:10:27.871884,"(31.0, 44.0, 42.89655172413793)","(20.0, 28.0, 27.514285714285712)","(15.0, 17.5, 17.402439024390244)","(101.0, 840.0, 711.4285714285714)","(4.2, 4.9, 4.861204819277108)","(3.8, 4.4, 4.372176308539945)","(12.0, 15.5, 15.409638554216867)","(31.0, 46.0, 44.857142857142854)","(2.45, 2.8, 2.792467532467532)"
07-12-2022 13:10:29.007813,"(31.0, 44.0, 42.89655172413793)","(20.0, 28.0, 27.514285714285712)","(15.0, 17.5, 17.402439024390244)","(101.0, 830.0, 798.3333333333334)","(4.2, 4.9, 4.851797040169133)","(3.8, 4.4, 4.375141242937853)","(12.0, 15.5, 15.409638554216867)","(31.0, 46.0, 44.8)","(2.45, 2.8, 2.7820751341681573)"
07-12-2022 13:10:30.241912,"(31.0, 44.0, 42.89655172413793)","(20.0, 28.0, 27.514285714285712)","(15.0, 17.5, 19.75)","(101.0, 830.0, 8127.2)","(4.2, 4.9, 5.066666666666667)","(3.8, 4.4, 3.71875)","(12.0, 15.5, 18.42857142857143)","(31.0, 48.0, 96.66666666666667)","(2.45, 2.82, 2.85)"
07-12-2022 13:10:31.443134,"(31.0, 85.0, 67.33333333333334)","(20.0, 32.0, 24.38095238095238)","(15.0, 28.0, 13.75)","(101.0, 99999, 8127.2)","(4.2, 7.4, 5.066666666666667)","(3.8, 7.0, 3.5136363636363637)","(12.0, 24.0, 18.42857142857143)","(31.0, 130.0, 96.66666666666667)","(2.45, 3.0, 2.938775510204082)"
07-12-2022 13:10:32.704819,"(31.0, 85.0, 67.33333333333334)","(20.0, 32.0, 24.38095238095238)","(15.0, 17.0, 13.75)","(101.0, 99999, 8127.2)","(4.2, 7.4, 5.066666666666667)","(3.8, 3.95, 3.5136363636363637)","(12.0, 24.0, 21.4)","(31.0, 130.0, 78.0)","(2.45, 3.0, 2.9654054054054053)"
07-12-2022 13:10:33.889227,"(31.0, 70.0, 50.0)","(20.0, 32.0, 28.923076923076923)","(15.0, 17.0, 13.75)","(101.0, 99999, 8127.2)","(4.2, 4.7, 4.550000000000001)","(3.8, 3.95, 3.526470588235294)","(12.0, 22.0, 17.0)","(31.0, 90.0, 78.0)","(2.45, 2.98, 2.9654054054054053)"
07-12-2022 13:10:35.102037,"(31.0, 70.0, 50.0)","(20.0, 32.0, 28.923076923076923)","(15.0, 17.0, 13.75)","(101.0, 99999, 9130.909090909092)","(4.2, 4.7, 4.550000000000001)","(3.8, 4.3, 3.596)","(12.0, 22.0, 21.2)","(31.0, 90.0, 51.33333333333333)","(2.45, 3.0, 2.983783783783784)"
07-12-2022 13:10:36.301839,"(31.0, 70.0, 50.0)","(20.0, 32.0, 28.923076923076923)","(15.0, 17.0, 13.75)","(101.0, 99999, 9044.1)","(4.2, 4.7, 4.550000000000001)","(3.8, 4.3, 3.684)","(12.0, 22.0, 20.333333333333332)","(31.0, 90.0, 61.0)","(2.45, 3.0, 2.809855072463768)"
07-12-2022 13:10:37.483145,"(31.0, 75.0, 45.0)","(20.0, 32.0, 19.434782608695652)","(15.0, 17.0, 13.88888888888889)","(101.0, 640.0, 581.5384615384615)","(4.2, 4.7, 3.98)","(3.8, 4.3, 2.99)","(12.0, 21.0, 19.25)","(31.0, 90.0, 61.0)","(2.45, 2.82, 3.6785714285714284)"
07-12-2022 13:10:38.639783,"(31.0, 75.0, 53.5)","(20.0, 32.0, 19.857142857142858)","(15.0, 17.0, 14.75)","(101.0, 640.0, 581.5384615384615)","(4.2, 4.5, 3.98)","(3.8, 3.2, 2.99)","(12.0, 22.0, 19.25)","(31.0, 90.0, 61.0)","(2.45, 3.75, 3.6785714285714284)"
07-12-2022 13:10:39.903696,"(31.0, 100.0, 67.0)","(20.0, 32.0, 17.333333333333332)","(15.0, 28.0, 19.0)","(101.0, 99999, 9044.1)","(4.2, 7.4, 7.134848484848485)","(3.8, 6.6, 4.995833333333334)","(12.0, 28.0, 16.875)","(31.0, 90.0, 86.8)","(2.45, 2.4, 2.1815384615384614)"
07-12-2022 13:10:41.103217,"(31.0, 85.0, 59.5)","(20.0, 26.0, 18.5)","(15.0, 18.0, 15.083333333333334)","(101.0, 99999, 9044.1)","(4.2, 7.4, 7.134848484848485)","(3.8, 6.6, 5.225)","(12.0, 19.5, 15.588235294117647)","(31.0, 100.0, 59.5)","(2.45, 2.3, 2.098)"
