,Birdie Blue,What A Tart,Despeight All Odds,Emperors Song,Sugar Britches,Lady Breanna,Lady Madison,Orbette
23,"[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 5.5, 8.2]"
24,"[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 33, 804879), 5.5, 8.2]"
25,"[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 35, 41090), 5.5, 8.2]"
26,"[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 36, 330244), 5.5, 8.2]"
27,"[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 37, 545856), 5.5, 8.2]"
28,"[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 38, 724718), 5.5, 8.2]"
29,"[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 39, 905221), 5.5, 8.2]"
30,"[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 41, 60045), 5.5, 8.2]"
31,"[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 42, 212605), 5.5, 8.2]"
32,"[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 43, 363681), 5.5, 8.2]"
