,Summer Cat,Gee Shes Pretty,Shes An Angel,Mrs Krinkles,Queen Bridget,Wild Prospect,Sexy Rags,Gurkha Gold
16-12-2022 14:47:56.646394,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:57.750207,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:58.928680,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:00.042790,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:01.146757,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 70.28571428571429)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:02.231517,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:03.300457,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:04.493255,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.6)","(26.0, 90.0, 70.28571428571429)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:05.677409,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.6)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:06.872480,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:08.058361,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.1)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 70.28571428571429)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:09.301450,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.1)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5083333333333333)"
16-12-2022 14:48:10.436465,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.1)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5083333333333333)"
16-12-2022 14:48:11.460273,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.0)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.6)","(26.0, 90.0, 55.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:12.509604,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.0)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.6)","(26.0, 90.0, 70.28571428571429)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:13.564318,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.0)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 56.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:14.667907,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.0)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 56.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:15.789153,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.0)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.6)","(26.0, 90.0, 56.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:16.964576,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.0)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.0)","(26.0, 90.0, 56.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:18.141214,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 21.25)","(26.0, 90.0, 67.66666666666666)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:19.390498,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 21.25)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:20.506161,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 21.25)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:21.578312,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.142857142857142)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:22.750102,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.142857142857142)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:23.799107,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.142857142857142)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:24.897146,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.0)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:25.974390,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.0)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:27.046773,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.0)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:28.048594,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.0)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:29.157535,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.0)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:30.246033,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.0)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:31.366408,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 77.5)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:32.464868,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 90.0, 57.5)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:33.596738,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 90.0, 41.66666666666667)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:34.692981,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 18.214285714285715)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 26.0)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5388888888888888)"
16-12-2022 14:48:35.786874,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:48:36.840805,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.54)"
16-12-2022 14:48:37.943066,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.54)"
16-12-2022 14:48:39.106869,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.642857142857142)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:40.295456,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(14.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.543103448275862)"
16-12-2022 14:48:41.438732,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:42.491152,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:43.567572,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:44.596071,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.8)","(26.0, 50.0, 41.66666666666667)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:45.787076,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.0)","(26.0, 50.0, 45.0)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:46.969536,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 102.0)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.57142857142857)","(26.0, 50.0, 45.0)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:48.118970,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.57142857142857)","(26.0, 50.0, 45.0)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:49.328162,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 50.0, 45.0)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:50.488481,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 23.8)","(26.0, 50.0, 44.0)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:51.625556,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 50.0, 42.333333333333336)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:52.717716,"(4.0, 4.9, 4.6125)","(13.0, 19.0, 16.75)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 50.0, 73.5)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:53.843062,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 120.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:55.001189,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:56.162426,"(4.0, 4.8, 4.607692307692307)","(13.0, 18.5, 17.944444444444443)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:57.309900,"(4.0, 4.8, 4.607692307692307)","(13.0, 18.5, 17.944444444444443)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 22.0)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:58.468402,"(4.0, 4.7, 4.62)","(13.0, 18.5, 17.944444444444443)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 23.8)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:48:59.671970,"(4.0, 4.7, 4.62)","(13.0, 19.0, 17.615384615384617)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 23.8)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:49:00.786807,"(4.0, 4.7, 4.62)","(13.0, 19.0, 17.615384615384617)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 23.8)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:49:01.800325,"(4.0, 4.7, 4.62)","(13.0, 19.0, 17.615384615384617)","(31.0, 130.0, 86.66666666666667)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 24.5)","(26.0, 110.0, 82.33333333333334)","(3.0, 3.55, 3.5318181818181817)"
16-12-2022 14:49:02.939881,"(4.0, 4.7, 4.62)","(13.0, 19.0, 17.615384615384617)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.0, 4.97)","(16.0, 28.0, 26.11111111111111)","(26.0, 120.0, 89.0)","(3.0, 3.55, 3.45)"
16-12-2022 14:49:04.047243,"(4.0, 4.7, 4.62)","(13.0, 19.0, 17.615384615384617)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.2, 4.815384615384615)","(16.0, 28.0, 25.42857142857143)","(26.0, 120.0, 89.0)","(3.0, 3.6, 3.4653846153846155)"
16-12-2022 14:49:05.184130,"(4.0, 4.7, 4.62)","(13.0, 19.0, 17.615384615384617)","(31.0, 130.0, 83.33333333333333)","(5.5, 99999, 99990)","(4.0, 5.2, 4.815384615384615)","(16.0, 28.0, 23.5)","(26.0, 120.0, 89.0)","(3.0, 3.6, 3.4653846153846155)"
