,El Cordobes,Trodaire,Euro Dandy,Girello,Indifference,Magnetic Prince,Piaggio,Montjeuify
04-01-2023 13:47:18.023865,"(5.5, 7.6, 7.438709677419355)","(18.0, 23.0, 21.833333333333332)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.093333333333334)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.884615384615383)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:19.079444,"(5.5, 7.6, 7.438709677419355)","(18.0, 23.0, 21.833333333333332)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.093333333333334)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(15.0, 18.0, 17.884615384615383)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:20.150500,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 21.833333333333332)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.093333333333334)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.884615384615383)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:21.236701,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 21.833333333333332)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.884615384615383)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:22.417611,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 20.666666666666668)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.7)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:23.581508,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 20.666666666666668)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.7)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:24.727404,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 20.81818181818182)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.7)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:25.830793,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 20.81818181818182)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.7)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:26.935601,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 20.81818181818182)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.884615384615383)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:28.003563,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 21.764705882352942)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 8.956521739130435)","(14.0, 18.0, 17.884615384615383)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:29.149357,"(5.5, 7.6, 7.438709677419355)","(17.0, 23.0, 21.764705882352942)","(4.0, 4.7, 4.616666666666666)","(6.5, 8.2, 8.103030303030302)","(2.6, 3.35, 3.3079545454545456)","(8.0, 9.0, 9.117948717948718)","(14.0, 18.0, 17.8)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:30.305992,"(5.5, 7.4, 7.38909090909091)","(17.0, 23.0, 22.25)","(4.0, 4.7, 4.636619718309859)","(6.5, 8.2, 8.060869565217391)","(2.6, 3.35, 3.2511111111111113)","(8.0, 9.2, 9.054545454545455)","(14.0, 18.0, 17.666666666666668)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:31.478310,"(5.5, 7.6, 7.429411764705883)","(17.0, 23.0, 22.25)","(4.0, 4.7, 4.636619718309859)","(6.5, 8.2, 8.060869565217391)","(2.6, 3.3, 3.225)","(8.0, 9.2, 9.054545454545455)","(14.0, 18.0, 17.25)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:32.595425,"(5.5, 7.6, 7.429411764705883)","(17.0, 23.0, 20.75)","(4.0, 4.7, 4.636619718309859)","(6.5, 8.2, 8.060869565217391)","(2.6, 3.25, 3.225)","(8.0, 9.2, 9.054545454545455)","(14.0, 18.0, 17.25)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:33.705864,"(5.5, 7.6, 7.429411764705883)","(17.0, 23.0, 20.75)","(4.0, 4.7, 4.636619718309859)","(6.5, 8.2, 8.073684210526315)","(2.6, 3.25, 3.1988549618320614)","(8.0, 9.2, 9.075)","(14.0, 18.0, 17.25)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:34.836313,"(5.5, 7.8, 7.7518518518518515)","(17.0, 23.0, 20.75)","(4.0, 4.7, 4.636619718309859)","(6.5, 8.2, 8.073684210526315)","(2.6, 3.2, 3.1989361702127663)","(8.0, 9.2, 9.094736842105263)","(14.0, 18.0, 17.5)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:35.921489,"(5.5, 7.8, 7.7593749999999995)","(17.0, 19.0, 18.982142857142858)","(4.0, 4.7, 4.638356164383562)","(6.5, 8.2, 8.085714285714285)","(2.6, 3.2, 3.1988549618320614)","(8.0, 9.2, 9.088888888888889)","(14.0, 18.0, 17.25)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:37.026483,"(5.5, 7.8, 7.7584)","(17.0, 23.0, 22.076923076923077)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.168421052631578)","(2.6, 3.2, 3.1775)","(8.0, 9.2, 9.054700854700855)","(14.0, 18.0, 17.785714285714285)","(61.0, 170.0, 140.0)"
