,Perfect Tyrant,Freddy Vegas,Break And Enter,Cracking Force,Black Nettle,Rebel Prince,Wild Mister,High Times
14-12-2022 12:06:47.091162,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:48.263468,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:49.469440,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:50.534489,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:51.595048,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:52.675115,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:53.745569,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:54.758295,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:55.813109,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:56.866060,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:57.876231,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:58.875343,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:59.837747,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:00.831921,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:01.822057,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:02.821777,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:03.928746,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:05.070811,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:06.122098,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:07.150016,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:08.216349,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:09.278566,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:10.318644,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 130.0)","(61.0, 540.0, 315.45454545454544)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:11.341878,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 20.153846153846153)","(19.0, 100.0, 64.0909090909091)","(20.0, 70.0, 46.59090909090909)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:12.329591,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:13.318533,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:14.365905,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:15.337903,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:16.365731,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:17.393660,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:18.434421,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:19.493960,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:20.539314,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:21.593523,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:22.631526,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:23.761592,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:25.011967,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:26.282871,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:27.680221,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:28.942658,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:30.331293,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:31.632553,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:32.850204,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:34.096677,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:35.345365,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:36.628162,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:37.800410,"(1.6, 2.42, 2.1566666666666667)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:38.910984,"(1.6, 2.42, 2.1566666666666667)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:40.023497,"(1.6, 2.42, 2.1566666666666667)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:41.085200,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:42.158253,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:43.201970,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:44.240866,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:45.248871,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:46.333571,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:47.397340,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:48.542195,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:49.695462,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:50.843731,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:51.977111,"(1.6, 2.42, 2.033404255319149)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:53.165764,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:54.357726,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:55.599634,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:56.755857,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:57.928406,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:07:59.141647,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:08:00.373849,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:08:01.506023,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 7.0, 4.527272727272727)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
