,Best Back Bruce,Quiet Storm,Breathe Easy,Up And About,Vapar Brenda,Hameldaeme,Shardonant,Senna Storm,Telemachus,Victory George
07-12-2022 19:53:12.139532,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:53:13.731661,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.677777777777778)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:15.280786,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:53:16.981377,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.677777777777778)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:18.470298,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.628571428571428)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.889090909090909)"
07-12-2022 19:53:20.069632,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.733333333333333)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.81)"
07-12-2022 19:53:21.545889,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.8428571428571425)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:22.972070,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.933333333333333)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8520000000000003)"
07-12-2022 19:53:24.509019,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.2, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:53:26.033174,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:53:27.673061,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:29.410156,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:31.147704,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:32.631271,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:34.172997,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:35.712640,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:37.172822,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:38.558025,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:39.923086,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:41.346038,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:42.658157,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.8)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:53:43.899448,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.0, 7.8)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8520000000000003)"
07-12-2022 19:53:45.120406,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.2, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:46.405314,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:47.680642,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:49.006905,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:50.306292,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:51.599941,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:52.985830,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:54.373109,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:55.684735,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:57.003203,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:58.482325,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:59.793449,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:01.107388,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.8)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:54:02.444604,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.0, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:03.764273,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:05.057404,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:06.395771,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.8999999999999995)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8244444444444445)"
07-12-2022 19:54:07.887528,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.2, 7.8)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:54:09.184587,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.0, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:10.379226,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:11.594452,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:12.842528,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:14.201714,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:54:15.576617,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 18.022727272727273)","(5.5, 8.4, 7.657142857142857)","(31.0, 80.0, 53.333333333333336)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
