,Cardinal Sin Nz,Ah Mach Nz,Reckless Dream,Forgot The Wallet,Euroking,Kerala Star Nz,Jawbreaker,Agouda Ruler
08-01-2023 15:39:03.448268,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:04.483722,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:05.556489,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:06.622867,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:07.647115,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:08.689013,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:09.720334,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:10.760892,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:11.824902,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:12.873614,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:13.868490,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:14.910780,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:15.968544,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:17.003057,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:18.074197,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:19.091391,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:20.117410,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:21.229768,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:22.265247,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:23.309654,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:24.318215,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:25.364535,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:26.401506,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:27.507454,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:28.563757,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:29.576117,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:30.619542,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:31.679531,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:32.759832,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:33.841784,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:34.881505,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:35.881406,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:36.970496,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:38.015765,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:39.093632,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:40.150202,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:41.179232,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:42.231772,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:43.353569,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:44.437863,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:45.497760,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:46.626750,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:47.662433,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:48.710799,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:49.868824,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:51.037109,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:52.094356,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:53.161475,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:54.183934,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:55.251984,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:56.353561,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:57.433588,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:58.458104,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:59.487576,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:40:00.557258,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:40:01.626759,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
