,Forgive Me,Vermont,Keayang Tara,Artful Jack,Kudos Mason,Whata Terror,The Casual Goose,Scene Of Terror,Voodoo Fella
12-01-2023 16:07:21.557869,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:22.958940,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:24.591824,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:26.017071,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:27.170923,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:28.330089,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:29.566769,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:30.902789,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:32.401076,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:33.891193,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:35.297010,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:36.648623,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:37.795301,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
