,Abercrombie Limbo,What A Team,Tristars Pet,Our Ultimate Ruby,Torque No Fear,Mister Cracker,Getaloadacam,Wellsaidmylady,Out Of Dodge,Crankhandle
11-01-2023 19:53:28.502026,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:29.859263,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:31.010152,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:32.205989,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:33.392521,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:34.564809,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:35.759819,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:37.010571,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:38.216196,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:39.674367,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:40.936224,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:42.278634,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:43.423309,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:44.558647,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:45.770975,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:47.008037,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:48.215573,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:49.408565,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:50.683389,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:51.868958,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:52.997589,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:54.098682,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:55.497126,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:56.701807,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:57.880106,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:59.486101,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:00.884299,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:02.180310,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:03.435785,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:04.602283,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:05.789776,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:07.038701,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:08.281531,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:09.587725,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:10.937225,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:12.272041,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:13.596436,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:14.817832,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:16.021396,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:17.269747,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:18.622404,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:19.938319,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:21.206972,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:22.466569,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:23.720735,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:24.930381,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:26.183675,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 5.88)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:27.543170,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.4, 7.25)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:28.869386,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.4, 7.25)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:54:30.181552,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 5.933333333333334)","(5.0, 12.0, 8.4)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:31.437712,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.6, 5.933333333333334)","(5.0, 11.5, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:32.671173,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.6, 5.933333333333334)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:33.932477,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.6, 6.211111111111111)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:35.290192,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 5.666666666666667)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:36.655462,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 5.666666666666667)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:38.089699,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 5.231578947368421)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:39.470048,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 5.881818181818182)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.8)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:40.769536,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 5.421052631578948)","(5.0, 11.0, 8.72)","(4.0, 8.0, 4.533333333333333)","(19.0, 46.0, 26.666666666666668)"
11-01-2023 19:54:42.074592,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 194.54545454545453)","(101.0, 220.0, 196.0)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 65.0)","(26.0, 90.0, 47.5)","(4.8, 9.4, 6.0)","(5.0, 11.0, 8.72)","(4.0, 7.2, 4.633333333333333)","(19.0, 46.0, 26.666666666666668)"
