,Van Damme,Bold Prophet,A I Initiative,Pont Du Gard,Onlyattheshoe
31,"[datetime.datetime(2022, 11, 28, 10, 47, 6, 364976), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 6, 364976), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 6, 364976), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 6, 364976), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 6, 364976), 4.8, 7.4]"
32,"[datetime.datetime(2022, 11, 28, 10, 47, 7, 443851), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 7, 443851), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 7, 443851), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 7, 443851), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 7, 443851), 4.8, 7.4]"
33,"[datetime.datetime(2022, 11, 28, 10, 47, 8, 563969), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 8, 563969), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 8, 563969), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 8, 563969), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 8, 563969), 4.8, 7.4]"
34,"[datetime.datetime(2022, 11, 28, 10, 47, 9, 651443), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 9, 651443), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 9, 651443), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 9, 651443), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 9, 651443), 4.8, 7.4]"
35,"[datetime.datetime(2022, 11, 28, 10, 47, 10, 747048), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 10, 747048), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 10, 747048), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 10, 747048), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 10, 747048), 4.8, 7.4]"
36,"[datetime.datetime(2022, 11, 28, 10, 47, 11, 837190), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 11, 837190), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 11, 837190), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 11, 837190), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 11, 837190), 4.8, 7.4]"
37,"[datetime.datetime(2022, 11, 28, 10, 47, 12, 915125), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 12, 915125), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 12, 915125), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 12, 915125), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 12, 915125), 4.8, 7.4]"
38,"[datetime.datetime(2022, 11, 28, 10, 47, 14, 5291), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 14, 5291), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 14, 5291), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 14, 5291), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 14, 5291), 4.8, 7.4]"
39,"[datetime.datetime(2022, 11, 28, 10, 47, 15, 96697), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 15, 96697), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 15, 96697), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 15, 96697), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 15, 96697), 4.8, 7.4]"
40,"[datetime.datetime(2022, 11, 28, 10, 47, 16, 180020), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 16, 180020), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 16, 180020), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 16, 180020), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 16, 180020), 4.8, 7.4]"
