,Tuta Grizzly,Lornas Creek,Stomp,Business Flight,Clock Watcher,Journalist,Luckies Lass,Brians Buster
08-01-2023 12:05:19.181837,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:20.141238,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:21.212655,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:22.182462,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:23.197373,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:24.185535,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:25.224808,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:26.239921,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:27.253345,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:28.255850,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:29.277822,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:30.254429,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:31.215656,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:32.187598,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:33.180533,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:34.192198,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:35.221630,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:36.206958,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:37.192073,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:38.163249,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:39.145008,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:40.095411,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:41.111495,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:42.102787,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:43.125511,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:44.122401,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:45.081694,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:46.050389,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:47.010256,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:47.958804,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:48.946029,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:49.933470,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:50.898417,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:51.906275,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:52.888299,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:53.886616,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:54.897881,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:55.868714,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
