,Haras Pearl,Stolen Moment,Jack Spot,Mad Max Blue,Fire Flick,Uncle Charlie,Dairy Girl
04-01-2023 13:54:05.233699,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 19.3)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:06.272604,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9771999999999998)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 19.4)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:07.247210,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9771999999999998)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 20.6)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:08.375649,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9771999999999998)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 20.6)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:09.450059,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9771999999999998)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 20.6)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:10.504561,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9771999999999998)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 20.16)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:11.764243,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 20.16)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:12.902421,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:14.032736,"(2.45, 2.92, 2.7777777777777777)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.967857142857143)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:15.299631,"(2.45, 2.92, 2.7777777777777777)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.967857142857143)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
