,Arctic Princess,Cosmic Event,Shocking Habit,Superior Sam,Wishlor Lass,Ausvardia,Majestic Rossa,Piwhane,Spiritual Thinker
08-12-2022 13:44:06.736350,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:07.867792,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:08.984361,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.333333333333332)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:10.072251,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:11.137200,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:12.247349,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:13.382089,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:14.464903,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:15.590230,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.7, 5.513333333333334)"
08-12-2022 13:44:16.676305,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:17.811530,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:18.931602,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:20.057592,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:21.219381,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:22.384319,"(10.0, 15.0, 14.705882352941176)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:23.626255,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:24.863655,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:26.004369,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:27.155485,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.516666666666667)"
08-12-2022 13:44:28.320391,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.6, 5.627586206896551)"
08-12-2022 13:44:29.532686,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:30.692172,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 39.6)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:31.783456,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:32.859029,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 26.0, 21.333333333333332)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:33.947022,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 26.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:35.044888,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:36.170258,"(10.0, 15.0, 14.923076923076923)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:37.242674,"(10.0, 15.0, 14.8)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:38.343704,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:39.422823,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:40.488485,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 8.955555555555556)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:41.583410,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 8.955555555555556)","(21.0, 48.0, 37.5)","(16.0, 24.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:42.705527,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 8.542857142857143)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:43.877933,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 8.44)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:45.047741,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 8.44)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:46.205584,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.121739130434783)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:47.372611,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.121739130434783)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:48.589138,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.2)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:49.815416,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.266666666666667)","(8.0, 9.4, 9.2)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:51.025671,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.373333333333333)","(8.0, 9.4, 8.228571428571428)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:52.216638,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.373333333333333)","(8.0, 8.6, 8.228571428571428)","(21.0, 48.0, 37.5)","(16.0, 23.0, 19.8)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:53.446464,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.660869565217391)","(8.0, 8.6, 8.228571428571428)","(21.0, 48.0, 37.5)","(16.0, 23.0, 20.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:54.709865,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 8.6, 8.228571428571428)","(21.0, 48.0, 37.5)","(16.0, 23.0, 21.4)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:55.891247,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 8.6, 8.333333333333332)","(21.0, 48.0, 37.5)","(16.0, 23.0, 21.4)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:57.057625,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.25)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.4)","(8.0, 9.4, 8.333333333333332)","(21.0, 48.0, 37.5)","(16.0, 23.0, 20.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:58.296729,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.4)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.8, 6.36)","(8.0, 9.4, 8.333333333333332)","(21.0, 48.0, 37.5)","(16.0, 23.0, 20.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:44:59.540434,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.4)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.6, 6.36)","(8.0, 9.4, 8.333333333333332)","(21.0, 48.0, 37.5)","(16.0, 23.0, 20.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:00.741603,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.4)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.6, 6.52)","(8.0, 9.4, 8.333333333333332)","(21.0, 48.0, 37.5)","(16.0, 23.0, 20.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:01.939737,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.4)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.266666666666667)","(5.0, 6.6, 6.52)","(8.0, 9.4, 8.333333333333332)","(21.0, 48.0, 37.5)","(16.0, 23.0, 20.714285714285715)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:03.148338,"(10.0, 15.0, 14.444444444444445)","(9.0, 16.0, 14.4)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.4, 7.341176470588235)","(5.0, 6.6, 6.492307692307692)","(8.0, 9.4, 8.755555555555555)","(21.0, 48.0, 37.5)","(16.0, 23.0, 21.0)","(4.6, 5.8, 5.624242424242424)"
08-12-2022 13:45:04.484364,"(10.0, 15.0, 14.727272727272727)","(9.0, 16.0, 14.961538461538462)","(3.9, 4.6, 4.554545454545455)","(6.0, 7.6, 7.466666666666667)","(5.0, 6.8, 6.492307692307692)","(8.0, 9.2, 8.666666666666666)","(21.0, 48.0, 44.333333333333336)","(16.0, 23.0, 21.0)","(4.6, 5.8, 5.624242424242424)"
08-12-2022 13:45:05.832486,"(10.0, 15.0, 14.727272727272727)","(9.0, 16.0, 15.035714285714286)","(3.9, 4.6, 4.582142857142857)","(6.0, 7.6, 7.515789473684211)","(5.0, 6.8, 6.371428571428572)","(8.0, 9.2, 8.584615384615384)","(21.0, 65.0, 42.666666666666664)","(16.0, 23.0, 20.666666666666668)","(4.6, 5.8, 5.624242424242424)"
08-12-2022 13:45:07.109977,"(10.0, 15.0, 14.75)","(9.0, 16.0, 15.035714285714286)","(3.9, 4.6, 4.582142857142857)","(6.0, 7.8, 7.6)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.584615384615384)","(21.0, 60.0, 42.666666666666664)","(16.0, 23.0, 19.61111111111111)","(4.6, 5.8, 5.624242424242424)"
08-12-2022 13:45:08.416750,"(10.0, 15.0, 14.75)","(9.0, 16.0, 15.035714285714286)","(3.9, 4.6, 4.580392156862745)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.584615384615384)","(21.0, 60.0, 42.666666666666664)","(16.0, 20.0, 19.666666666666668)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:09.699481,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.584615384615384)","(21.0, 60.0, 42.666666666666664)","(16.0, 20.0, 19.666666666666668)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:11.057459,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.584615384615384)","(21.0, 60.0, 42.666666666666664)","(16.0, 20.0, 19.666666666666668)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:12.340807,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.733333333333333)","(21.0, 60.0, 42.666666666666664)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:13.632904,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.733333333333333)","(21.0, 60.0, 44.5)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:14.927571,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.254545454545455)","(8.0, 9.2, 8.616666666666665)","(21.0, 55.0, 39.333333333333336)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:16.198554,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.123076923076923)","(8.0, 9.2, 8.616666666666665)","(21.0, 50.0, 39.333333333333336)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:17.516633,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.546031746031746)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.038461538461538)","(8.0, 9.2, 8.733333333333333)","(21.0, 50.0, 39.333333333333336)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:18.839816,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.541379310344827)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.038461538461538)","(8.0, 9.2, 8.733333333333333)","(21.0, 50.0, 39.333333333333336)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
08-12-2022 13:45:20.159940,"(10.0, 15.0, 14.75)","(9.0, 16.0, 14.5)","(3.9, 4.6, 4.541379310344827)","(6.0, 7.8, 7.569230769230769)","(5.0, 6.8, 6.038461538461538)","(8.0, 9.2, 8.733333333333333)","(21.0, 50.0, 39.333333333333336)","(16.0, 20.0, 19.428571428571427)","(4.6, 5.8, 5.627586206896551)"
