,Askey,Jimmy Joe,Bogie Bandit,Rutland Bella,Dance A Tango,Moon Shine,Rutland Fred,Tiny Keen
12-01-2023 15:56:50.524275,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:51.663117,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:52.753372,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:53.843096,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:54.951536,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:56.080630,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:57.235080,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:58.392422,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:56:59.567367,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:57:00.688648,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:57:01.837162,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:57:02.947990,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:57:03.983648,"(3.2, 7.4, 6.53888888888889)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:57:05.018952,"(3.2, 7.4, 5.9)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 1.8960000000000001)"
12-01-2023 15:57:06.164884,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.58, 2.19)"
12-01-2023 15:57:07.339172,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:08.653399,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:09.766701,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:10.865012,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:11.933140,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:13.033082,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:14.156181,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:15.318608,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:16.457149,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:17.552141,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:18.575150,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:19.656563,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:20.749312,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:21.859055,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:22.960119,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:24.058564,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:25.080762,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:26.084961,"(3.2, 7.4, 5.95)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:27.107317,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:28.199014,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:29.189712,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:30.222019,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:31.234651,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:32.304583,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:33.333513,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:34.386785,"(3.2, 7.4, 6.769565217391305)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:35.382086,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:36.378874,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:37.401375,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:38.481490,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:39.526658,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:40.616581,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:41.651411,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:42.701199,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:43.813317,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:44.931417,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:46.106778,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:47.225555,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:48.262015,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:49.325461,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:50.314724,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:51.354789,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:52.397208,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:53.402954,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:54.370500,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:55.372889,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:56.453034,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:57.448331,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:58.465662,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:57:59.451368,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:58:00.482583,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:58:01.582737,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:58:02.790136,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.0)","(41.0, 330.0, 119.0909090909091)","(12.0, 30.0, 20.555555555555557)","(91.0, 600.0, 308.57142857142856)","(31.0, 240.0, 87.0)","(6.5, 11.5, 7.76)","(1.8, 2.56, 2.19)"
12-01-2023 15:58:03.911338,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.0)","(41.0, 330.0, 250.0)","(12.0, 30.0, 20.555555555555557)","(91.0, 600.0, 390.0)","(31.0, 240.0, 87.0)","(6.5, 11.0, 8.866666666666667)","(1.8, 2.56, 2.19)"
