,Union Rally,Highway Queen,Paynt By Number,Simple Souvenir,Run Laura Run,Denali Rae
12-01-2023 08:09:06.160566,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:07.087406,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:07.990243,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:08.970293,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:10.104753,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:11.203520,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:12.204577,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:13.136090,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:14.111762,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:15.181424,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:16.238859,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:17.277668,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:18.230422,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:19.209332,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:20.279022,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:21.571807,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:22.795492,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:23.906090,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:25.036725,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:26.114370,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:27.256696,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:28.403124,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:29.496819,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:30.566467,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:31.631167,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:32.819486,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:33.941077,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:35.001047,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:36.055254,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:37.120287,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:38.248883,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:39.354596,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:40.463710,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:41.562672,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:42.557758,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:43.670136,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:44.826280,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:45.971606,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:46.990771,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:48.072661,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:49.150780,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:50.294267,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:51.426362,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:52.519732,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:53.622415,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:54.784787,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:55.928418,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:57.056752,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:58.105482,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:59.180781,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:00.287545,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:01.401821,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:02.495617,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:03.516076,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:04.589143,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:05.636632,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:06.735280,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:07.822683,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:08.797930,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:09.760622,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:10.779703,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:11.966035,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:13.081533,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:14.145416,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:15.119469,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:16.127785,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:17.221338,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:18.370153,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:19.461007,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:20.468727,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:21.346859,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:22.434950,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:23.528025,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:24.669837,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:25.700164,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:26.598656,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:27.546562,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:28.637178,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:29.731221,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:30.794140,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:31.761882,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:32.709596,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:33.856823,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:34.974143,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:36.054221,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:37.130640,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:38.121556,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:39.071352,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:40.114472,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:41.094169,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:42.060067,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:10:43.010180,"(19.0, 34.0, 23.5)","(10.0, 20.0, 14.8)","(2.25, 9.2, 4.3563636363636355)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
