,Sutter Man,Childers Road,Bettor Beontoit Nz,Celestial Daybreak,Damysus,Bayonet Soldier,Ammicchi,Whoee Johnson,Our Major Jack Nz,Barney Fella
12-01-2023 16:37:37.983401,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 28.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:39.488510,"(8.0, 11.5, 11.035714285714286)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.042105263157895)","(13.0, 28.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:40.881706,"(8.0, 11.5, 11.035714285714286)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.0)","(91.0, 190.0, 163.33333333333334)","(7.5, 8.8, 8.042105263157895)","(13.0, 28.0, 23.0)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:42.248865,"(8.0, 12.5, 11.166666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 150.0)","(7.5, 8.8, 8.075)","(13.0, 27.0, 25.0)","(2.4, 99999, 99990)","(11.0, 17.5, 16.704545454545453)"
12-01-2023 16:37:43.672602,"(8.0, 12.5, 11.1)","(5.5, 7.0, 6.747368421052632)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 180.0, 140.0)","(7.5, 8.6, 8.266666666666667)","(13.0, 26.0, 25.0)","(2.4, 99999, 99990)","(11.0, 17.5, 16.458333333333332)"
12-01-2023 16:37:44.949782,"(8.0, 12.0, 11.1)","(5.5, 7.0, 6.747368421052632)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 18.642857142857142)","(91.0, 170.0, 150.0)","(7.5, 8.4, 8.24)","(13.0, 26.0, 25.0)","(2.4, 99999, 99990)","(11.0, 17.5, 15.833333333333334)"
12-01-2023 16:37:46.304052,"(8.0, 12.0, 11.333333333333334)","(5.5, 7.0, 6.387096774193548)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 18.642857142857142)","(91.0, 170.0, 150.0)","(7.5, 8.4, 8.24)","(13.0, 26.0, 21.75)","(2.4, 99999, 99990)","(11.0, 17.5, 16.5)"
12-01-2023 16:37:47.474804,"(8.0, 12.0, 11.75)","(5.5, 7.0, 6.387096774193548)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.714285714285715)","(91.0, 170.0, 150.0)","(7.5, 8.4, 8.24)","(13.0, 26.0, 21.8125)","(2.4, 99999, 99990)","(11.0, 17.5, 17.0)"
12-01-2023 16:37:48.706498,"(8.0, 12.0, 11.727272727272727)","(5.5, 6.6, 6.50625)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.25)","(91.0, 170.0, 174.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 21.5)","(2.4, 99999, 99990)","(11.0, 17.5, 17.0)"
12-01-2023 16:37:50.031530,"(8.0, 11.5, 11.318181818181818)","(5.5, 6.6, 6.50625)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.25)","(91.0, 190.0, 166.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 25.625)","(2.4, 99999, 99990)","(11.0, 17.5, 17.35)"
