,Johnny Cool,Master The Art,Trending Wanda,Unleaded Diesel,Boomburst,Serena Bale,Rock Me Rocco
04-01-2023 12:29:41.606397,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:42.590302,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:43.653624,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:44.649045,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:45.680101,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:46.821154,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:47.915063,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:48.999739,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:50.145340,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:51.196955,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:52.240430,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:53.288792,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:54.363197,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:55.493488,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:56.788156,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:57.795551,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:58.874865,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:00.303022,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:01.511748,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:02.716566,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:04.015706,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:05.200526,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:06.352275,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:07.496240,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:08.712418,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:09.716713,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:10.866561,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:12.000518,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:13.158563,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:14.314340,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:15.463590,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:16.590662,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:17.691346,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:18.866270,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:19.991098,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:21.147431,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:22.236715,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:23.298919,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:24.386926,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:25.622679,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:26.994666,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:28.162354,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:29.387004,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:30.518378,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:31.810700,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:33.065666,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:34.329951,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:35.618296,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:36.851328,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:37.921251,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:39.013210,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:40.220720,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:41.409108,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:42.591817,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:43.878147,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:45.126502,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:46.440342,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:47.731835,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:49.128736,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:50.518318,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:51.712780,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:30:52.927642,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
