,Alvarez Bale,Quimby Bale,Aston Senator,Sweet Assassin,Call Me Jim,Placid Hero,Ramstein Bale,Whiskey Reef
16-12-2022 14:25:55.065857,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:55.978340,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:56.893837,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:57.815664,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:58.747224,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:59.670758,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:00.607264,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:01.536241,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.215384615384615)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:02.462376,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.215384615384615)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:03.394360,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.215384615384615)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:04.312632,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.215384615384615)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:05.249065,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.215384615384615)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:06.152148,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.4)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:07.066858,"(3.3, 4.7, 3.815384615384615)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.9)","(6.5, 11.0, 10.0)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:07.999842,"(3.3, 4.7, 3.815384615384615)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.9)","(6.5, 11.0, 10.0)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:08.934166,"(3.3, 4.7, 3.815384615384615)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.9)","(6.5, 11.0, 10.0)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:09.865755,"(3.3, 4.7, 3.95)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.0)","(6.5, 11.0, 9.95)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:10.804024,"(3.3, 4.7, 3.95)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 9.95)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:11.741325,"(3.3, 4.7, 3.95)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 9.95)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:12.681153,"(3.3, 4.7, 3.95)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.9)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:13.591806,"(3.3, 4.7, 3.95)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.9)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:14.516350,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.9)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:15.433625,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:16.371720,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:17.286481,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:18.232115,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:19.162816,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:20.114151,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:21.039085,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:21.953693,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:22.866884,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:23.778732,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:24.702579,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:25.632389,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.0)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:26.562143,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.524999999999999)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:27.500149,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.866666666666666)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:28.440802,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:29.374103,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:30.281367,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:31.214025,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:32.126216,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 17.041666666666664)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:33.075305,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 17.041666666666664)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:34.003067,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:34.942677,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:35.862757,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:36.788108,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:37.759798,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:38.693153,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:39.629645,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:26:40.557949,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.4553191489361703)"
16-12-2022 14:26:41.483401,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.2, 3.6695652173913045)"
16-12-2022 14:26:42.418602,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.1, 3.6695652173913045)"
16-12-2022 14:26:43.328845,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.48)","(10.0, 20.0, 16.25)","(3.1, 4.1, 3.6695652173913045)"
16-12-2022 14:26:44.267372,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.6000000000000005)","(10.0, 20.0, 16.25)","(3.1, 4.1, 3.5483870967741935)"
16-12-2022 14:26:45.202154,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 10.2)","(12.0, 36.0, 27.75)","(4.4, 9.8, 7.6000000000000005)","(10.0, 20.0, 16.25)","(3.1, 4.1, 3.5483870967741935)"
16-12-2022 14:26:46.157343,"(3.3, 4.7, 4.2)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 13.666666666666666)","(6.5, 11.0, 9.666666666666666)","(12.0, 36.0, 27.75)","(4.4, 9.8, 7.6000000000000005)","(10.0, 20.0, 16.25)","(3.1, 4.1, 3.5483870967741935)"
16-12-2022 14:26:47.099706,"(3.3, 5.1, 4.089473684210526)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.25)","(6.5, 11.0, 8.485714285714286)","(12.0, 36.0, 27.75)","(4.4, 10.0, 8.773333333333333)","(10.0, 20.0, 16.25)","(3.1, 4.1, 3.5483870967741935)"
16-12-2022 14:26:48.019719,"(3.3, 5.1, 4.163414634146341)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.25)","(6.5, 11.0, 8.714285714285714)","(12.0, 36.0, 27.75)","(4.4, 10.0, 8.773333333333333)","(10.0, 20.0, 13.916666666666666)","(3.1, 4.1, 3.5483870967741935)"
16-12-2022 14:26:48.953624,"(3.3, 5.1, 4.163414634146341)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.25)","(6.5, 11.0, 9.32)","(12.0, 36.0, 27.75)","(4.4, 10.0, 8.773333333333333)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.1, 3.392857142857143)"
16-12-2022 14:26:49.868277,"(3.3, 5.1, 4.163414634146341)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 18.25)","(6.5, 11.0, 9.32)","(12.0, 36.0, 27.75)","(4.4, 10.0, 8.773333333333333)","(10.0, 21.0, 13.916666666666666)","(3.1, 4.1, 3.392857142857143)"
