,Victa Lisa,Velocity Nikki,South Aussie Boy,Your Girl Airlie,Flaming Galah,Little Franky
06-01-2023 11:24:58.542125,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:59.593611,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:00.651662,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:01.716812,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:02.829700,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:03.872352,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:04.762850,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:05.683228,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:06.723218,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:07.772166,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:08.720476,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:09.694932,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:10.655298,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:11.614553,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:12.576214,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:13.608756,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:14.614948,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:15.582857,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:16.526223,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:17.591979,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:18.640395,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:19.672192,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:20.594750,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:21.586182,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:22.584536,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:23.533013,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:24.520047,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:25.512782,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:26.392026,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:27.374973,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:28.447186,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:29.525017,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:30.578058,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:31.604528,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:32.685832,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:33.731313,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:34.764580,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:35.833328,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:37.020040,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:25:38.201571,"(2.3, 3.75, 3.2733333333333334)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
