,Bakali Migaloo,Harvard Scholar,Hotspot Hero,Master Eduardo,Mepunga Riley,Little Zambora
11-01-2023 09:11:49.178521,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:50.205937,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:51.359621,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:52.380049,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:53.471833,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:54.515372,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:55.488487,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:56.395275,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:57.434140,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:58.483123,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:59.532839,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:00.550176,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:01.532853,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:02.709081,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:03.688312,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:04.586972,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:05.626089,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:06.663841,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:07.711799,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:08.806998,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:09.718372,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:10.813832,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:11.784709,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:12.788918,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:13.781876,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:14.789640,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:15.828655,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:16.809670,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:17.749600,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:18.718910,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:19.682633,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:20.608662,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:21.605650,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:22.637641,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:23.658700,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:24.666592,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:25.538057,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:26.519039,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:27.500057,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:28.526112,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:29.532686,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:30.511095,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:31.583340,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:32.519584,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:33.464133,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:34.420214,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:35.420326,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:36.497175,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:37.495215,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:38.483375,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:39.495108,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:40.488875,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:41.420859,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:42.372887,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:43.400519,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:44.481348,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:45.689291,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:46.656889,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:47.617990,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:48.720168,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:49.679143,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:50.898043,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:51.968186,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:52.989102,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:54.022336,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:55.036959,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:56.026528,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:57.189509,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:58.342731,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:12:59.482352,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:00.640354,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 110.0, 55.625)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9457055214723926)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:01.695488,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:02.714139,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:03.775558,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:04.768908,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:05.754867,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:06.910195,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:08.050545,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:09.051346,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:09.956372,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:11.167726,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:12.057631,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:13.012463,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:14.042906,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:15.133211,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:16.181653,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:17.142612,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:18.013604,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:19.002101,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:20.204402,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:21.249998,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:22.273528,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:23.259481,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9623481781376517)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:24.192743,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.386666666666667)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9887951807228914)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:25.101366,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.002857142857142)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9887951807228914)","(14.0, 38.0, 31.625)"
11-01-2023 09:13:26.026991,"(4.6, 8.2, 6.683333333333334)","(4.6, 8.6, 7.002857142857142)","(26.0, 100.0, 51.875)","(61.0, 570.0, 481.33333333333337)","(1.4, 2.0, 1.9887951807228914)","(14.0, 38.0, 31.625)"
