,Divine Flirt,Blue Eyed Girl,Distorted Secrets,Scenic Eclipse,Startedwithakiss,Red Cadillac,See Ya Champ,Lady Tornado,Fire And Gold,Heartly,Luna Nobel
14-12-2022 19:10:35.868254,"(5.0, 6.2, 6.179331306990882)","(3.2, 3.55, 3.5466666666666664)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6625000000000005)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 60.714285714285715)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:37.280734,"(5.0, 6.2, 6.179331306990882)","(3.2, 3.55, 3.5466666666666664)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6688311688311686)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 60.714285714285715)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:38.684628,"(5.0, 6.2, 6.17629179331307)","(3.2, 3.55, 3.5466666666666664)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6688311688311686)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 60.714285714285715)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:40.069564,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.5466666666666664)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6688311688311686)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.727272727272728)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 66.36363636363636)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:41.493514,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.5466666666666664)","(61.0, 180.0, 165.0)","(4.4, 4.7, 4.680555555555555)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.727272727272728)","(101.0, 370.0, 345.0)","(51.0, 70.0, 66.36363636363636)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:42.760541,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.547297297297297)","(61.0, 180.0, 165.0)","(4.4, 4.7, 4.680555555555555)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.727272727272728)","(101.0, 420.0, 345.0)","(51.0, 70.0, 66.36363636363636)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:43.964947,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.547297297297297)","(61.0, 170.0, 160.0)","(4.4, 4.7, 4.673333333333334)","(31.0, 80.0, 75.45454545454545)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 410.0, 340.0)","(51.0, 70.0, 61.25)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:45.293738,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.547297297297297)","(61.0, 170.0, 160.0)","(4.4, 4.7, 4.673333333333334)","(31.0, 80.0, 75.45454545454545)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 410.0, 340.0)","(51.0, 70.0, 61.25)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:46.650531,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.549019607843137)","(61.0, 170.0, 155.0)","(4.4, 4.7, 4.674358974358975)","(31.0, 80.0, 75.45454545454545)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 410.0, 340.0)","(51.0, 70.0, 65.58823529411765)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:48.029093,"(5.0, 6.2, 6.158640226628895)","(3.2, 3.55, 3.549019607843137)","(61.0, 170.0, 160.0)","(4.4, 4.7, 4.674358974358975)","(31.0, 80.0, 75.45454545454545)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 410.0, 340.0)","(51.0, 70.0, 65.0)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:49.414069,"(5.0, 6.2, 6.158045977011494)","(3.2, 3.55, 3.549019607843137)","(61.0, 160.0, 135.625)","(4.4, 4.7, 4.674358974358975)","(31.0, 80.0, 75.45454545454545)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 410.0, 355.0)","(51.0, 70.0, 67.5)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:50.872062,"(5.0, 6.2, 6.1574344023323615)","(3.2, 3.55, 3.549019607843137)","(61.0, 150.0, 134.28571428571428)","(4.4, 4.7, 4.674358974358975)","(31.0, 80.0, 75.0)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.600000000000001)","(101.0, 410.0, 360.0)","(51.0, 70.0, 67.77777777777777)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:52.177525,"(5.0, 6.2, 6.156156156156157)","(3.2, 3.55, 3.549019607843137)","(61.0, 140.0, 123.125)","(4.4, 4.7, 4.674358974358975)","(31.0, 80.0, 76.66666666666667)","(5.5, 7.0, 6.731343283582089)","(21.0, 38.0, 36.25)","(7.0, 8.8, 8.690909090909091)","(101.0, 410.0, 343.3333333333333)","(51.0, 70.0, 67.77777777777777)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:10:53.577592,"(5.0, 6.2, 6.1716171617161715)","(3.2, 3.6, 3.591463414634146)","(61.0, 140.0, 105.71428571428571)","(4.4, 4.7, 4.668181818181818)","(31.0, 75.0, 71.81818181818181)","(5.5, 7.0, 6.762962962962963)","(21.0, 38.0, 36.25)","(7.0, 8.8, 8.963636363636363)","(101.0, 410.0, 338.57142857142856)","(51.0, 70.0, 63.75)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:10:54.986676,"(5.0, 6.2, 6.187725631768953)","(3.2, 3.65, 3.6294117647058823)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.668181818181818)","(31.0, 75.0, 71.5)","(5.5, 6.8, 6.746666666666666)","(21.0, 38.0, 36.25)","(7.0, 9.0, 8.993103448275862)","(101.0, 410.0, 360.0)","(51.0, 70.0, 63.75)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:10:56.391192,"(5.0, 6.2, 6.187725631768953)","(3.2, 3.65, 3.632608695652174)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.668181818181818)","(31.0, 75.0, 71.5)","(5.5, 6.8, 6.746666666666666)","(21.0, 38.0, 36.25)","(7.0, 9.0, 8.993103448275862)","(101.0, 410.0, 360.0)","(51.0, 70.0, 63.75)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:10:57.751708,"(5.0, 6.2, 6.187725631768953)","(3.2, 3.65, 3.632608695652174)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.646875)","(31.0, 75.0, 71.5)","(5.5, 6.8, 6.693333333333333)","(21.0, 38.0, 36.25)","(7.0, 9.0, 8.566666666666666)","(101.0, 410.0, 355.0)","(51.0, 70.0, 65.0)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:10:59.105397,"(5.0, 6.2, 6.187725631768953)","(3.2, 3.65, 3.6333333333333333)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.646875)","(31.0, 75.0, 71.5)","(5.5, 6.8, 6.723809523809524)","(21.0, 38.0, 36.25)","(7.0, 8.8, 8.52)","(101.0, 400.0, 355.0)","(51.0, 70.0, 65.0)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:11:00.509725,"(5.0, 6.2, 6.187725631768953)","(3.2, 3.65, 3.6333333333333333)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.646875)","(31.0, 75.0, 71.5)","(5.5, 6.8, 6.723809523809524)","(21.0, 38.0, 36.25)","(7.0, 8.8, 8.426666666666668)","(101.0, 400.0, 355.0)","(51.0, 70.0, 65.0)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:11:01.881264,"(5.0, 6.2, 6.178321678321678)","(3.2, 3.65, 3.6357142857142857)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.624324324324324)","(31.0, 75.0, 71.11111111111111)","(5.5, 6.8, 6.658333333333333)","(21.0, 38.0, 36.25)","(7.0, 8.8, 8.566666666666666)","(101.0, 400.0, 355.0)","(51.0, 70.0, 65.0)","(71.0, 110.0, 107.27272727272727)"
14-12-2022 19:11:03.257266,"(5.0, 6.2, 6.159235668789809)","(3.2, 3.7, 3.675757575757576)","(61.0, 140.0, 113.33333333333333)","(4.4, 4.7, 4.624324324324324)","(31.0, 75.0, 71.11111111111111)","(5.5, 6.8, 6.658333333333333)","(21.0, 38.0, 36.25)","(7.0, 8.8, 8.566666666666666)","(101.0, 400.0, 350.0)","(51.0, 70.0, 63.0)","(71.0, 110.0, 108.125)"
14-12-2022 19:11:04.615085,"(5.0, 6.2, 6.148606811145511)","(3.2, 3.7, 3.677777777777778)","(61.0, 140.0, 115.0)","(4.4, 4.7, 4.592941176470588)","(31.0, 75.0, 71.11111111111111)","(5.5, 6.8, 6.6866666666666665)","(21.0, 38.0, 34.375)","(7.0, 8.8, 8.566666666666666)","(101.0, 390.0, 355.0)","(51.0, 65.0, 63.0)","(71.0, 110.0, 113.33333333333333)"
14-12-2022 19:11:05.947253,"(5.0, 6.2, 6.148606811145511)","(3.2, 3.7, 3.675)","(61.0, 120.0, 115.0)","(4.4, 4.6, 4.655555555555556)","(31.0, 75.0, 71.11111111111111)","(5.5, 6.8, 6.683870967741935)","(21.0, 36.0, 33.67741935483871)","(7.0, 8.8, 8.525)","(101.0, 390.0, 350.0)","(51.0, 65.0, 63.0)","(71.0, 120.0, 107.36842105263158)"
14-12-2022 19:11:07.350251,"(5.0, 6.2, 6.144578313253012)","(3.2, 3.7, 3.675)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.674074074074074)","(31.0, 75.0, 71.11111111111111)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 34.0)","(7.0, 8.8, 8.47)","(101.0, 390.0, 350.0)","(51.0, 65.0, 63.0)","(71.0, 110.0, 106.42857142857143)"
14-12-2022 19:11:08.625484,"(5.0, 6.2, 6.144578313253012)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.674074074074074)","(31.0, 75.0, 71.11111111111111)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 34.0)","(7.0, 8.8, 8.445454545454545)","(101.0, 390.0, 360.0)","(51.0, 65.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:09.885140,"(5.0, 6.2, 6.144578313253012)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.686)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 33.42857142857143)","(7.0, 8.8, 8.445454545454545)","(101.0, 390.0, 360.0)","(51.0, 65.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:11.100079,"(5.0, 6.2, 6.144578313253012)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.686)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.8, 8.357142857142858)","(101.0, 390.0, 360.0)","(51.0, 65.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:12.356590,"(5.0, 6.2, 6.144578313253012)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.83333333333333)","(4.4, 4.7, 4.67962962962963)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.4, 8.357142857142858)","(101.0, 390.0, 360.0)","(51.0, 65.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:13.642267,"(5.0, 6.2, 6.143730886850153)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.4, 8.385714285714284)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:14.968539,"(5.0, 6.2, 6.142857142857143)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.6, 8.379310344827585)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:16.357729,"(5.0, 6.2, 6.142857142857143)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.6, 8.379310344827585)","(101.0, 390.0, 363.3333333333333)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:17.718831,"(5.0, 6.2, 6.142857142857143)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.6, 8.379310344827585)","(101.0, 380.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:19.079238,"(5.0, 6.2, 6.142857142857143)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.6, 8.379310344827585)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:20.359284,"(5.0, 6.2, 6.125874125874126)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 69.16666666666667)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.6, 8.357575757575757)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:21.611631,"(5.0, 6.2, 6.125874125874126)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 115.0)","(4.4, 4.7, 4.673770491803278)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.6, 8.145454545454545)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:22.850953,"(5.0, 6.2, 6.125874125874126)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 113.75)","(4.4, 4.7, 4.674074074074074)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 32.869565217391305)","(7.0, 8.2, 8.135714285714286)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 106.42857142857143)"
14-12-2022 19:11:24.068457,"(5.0, 6.2, 6.128571428571429)","(3.2, 3.7, 3.677777777777778)","(61.0, 120.0, 113.75)","(4.4, 4.8, 4.7444444444444445)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 33.666666666666664)","(7.0, 8.2, 8.12)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:25.356440,"(5.0, 6.2, 6.127659574468085)","(3.2, 3.65, 3.642391304347826)","(61.0, 120.0, 113.75)","(4.4, 4.8, 4.7444444444444445)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 33.666666666666664)","(7.0, 8.2, 8.082051282051282)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:26.985753,"(5.0, 6.2, 6.125)","(3.2, 3.65, 3.6440677966101696)","(61.0, 120.0, 115.0)","(4.4, 4.8, 4.7444444444444445)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.696296296296296)","(21.0, 36.0, 33.666666666666664)","(7.0, 8.2, 8.082051282051282)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.0)","(71.0, 110.0, 105.45454545454545)"
14-12-2022 19:11:28.307419,"(5.0, 6.2, 6.125)","(3.2, 3.7, 3.68)","(61.0, 120.0, 115.0)","(4.4, 4.8, 4.748717948717949)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.764285714285714)","(21.0, 36.0, 35.529411764705884)","(7.0, 8.2, 7.781481481481482)","(101.0, 390.0, 360.0)","(51.0, 75.0, 63.57142857142857)","(71.0, 110.0, 106.15384615384616)"
14-12-2022 19:11:29.625230,"(5.0, 6.2, 6.125)","(3.2, 3.7, 3.675)","(61.0, 120.0, 115.0)","(4.4, 4.8, 4.748717948717949)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.764285714285714)","(21.0, 38.0, 35.529411764705884)","(7.0, 7.8, 7.788888888888889)","(101.0, 400.0, 355.0)","(51.0, 75.0, 65.4)","(71.0, 110.0, 106.15384615384616)"
14-12-2022 19:11:30.988424,"(5.0, 6.2, 6.125818181818182)","(3.2, 3.65, 3.618181818181818)","(61.0, 120.0, 115.0)","(4.4, 4.8, 4.7444444444444445)","(31.0, 75.0, 68.33333333333333)","(5.5, 6.8, 6.716455696202531)","(21.0, 38.0, 35.529411764705884)","(7.0, 7.8, 7.7875)","(101.0, 400.0, 374.2857142857143)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 106.15384615384616)"
14-12-2022 19:11:32.498871,"(5.0, 6.2, 6.125)","(3.2, 3.65, 3.616139240506329)","(61.0, 120.0, 115.0)","(4.4, 4.8, 4.7821428571428575)","(31.0, 75.0, 68.33333333333333)","(5.5, 7.0, 6.712820512820513)","(21.0, 38.0, 35.529411764705884)","(7.0, 7.8, 7.791525423728813)","(101.0, 400.0, 355.0)","(51.0, 75.0, 63.57142857142857)","(71.0, 110.0, 107.22222222222223)"
14-12-2022 19:11:33.856437,"(5.0, 6.2, 6.125)","(3.2, 3.65, 3.6158227848101263)","(61.0, 120.0, 115.0)","(4.4, 4.9, 4.7821428571428575)","(31.0, 75.0, 68.33333333333333)","(5.5, 7.0, 6.71)","(21.0, 38.0, 35.529411764705884)","(7.0, 7.8, 7.92992700729927)","(101.0, 400.0, 355.0)","(51.0, 75.0, 63.57142857142857)","(71.0, 110.0, 107.22222222222223)"
14-12-2022 19:11:35.171534,"(5.0, 6.2, 6.125)","(3.2, 3.65, 3.6158227848101263)","(61.0, 120.0, 116.0)","(4.4, 4.9, 4.7821428571428575)","(31.0, 75.0, 70.71428571428571)","(5.5, 7.0, 6.724324324324324)","(26.0, 38.0, 34.15384615384615)","(7.0, 8.0, 7.92992700729927)","(101.0, 400.0, 385.0)","(51.0, 75.0, 63.57142857142857)","(71.0, 110.0, 108.66666666666667)"
14-12-2022 19:11:36.513914,"(5.0, 6.2, 6.125)","(3.2, 3.65, 3.604621848739496)","(61.0, 120.0, 122.0)","(4.4, 4.9, 4.7821428571428575)","(31.0, 75.0, 72.0)","(5.5, 7.0, 6.724324324324324)","(26.0, 36.0, 34.333333333333336)","(7.0, 8.0, 7.92992700729927)","(101.0, 400.0, 365.0)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 108.66666666666667)"
14-12-2022 19:11:37.849503,"(5.0, 6.2, 6.125)","(3.2, 3.65, 3.608132530120482)","(61.0, 140.0, 122.0)","(4.4, 4.9, 4.7821428571428575)","(31.0, 75.0, 80.0)","(5.5, 7.0, 6.724324324324324)","(26.0, 36.0, 35.0625)","(7.0, 8.0, 7.92992700729927)","(101.0, 400.0, 375.0)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 108.66666666666667)"
14-12-2022 19:11:39.131300,"(5.0, 6.2, 6.122137404580153)","(3.2, 3.65, 3.6086309523809526)","(61.0, 140.0, 119.23076923076923)","(4.4, 4.9, 4.7821428571428575)","(31.0, 85.0, 80.0)","(5.5, 7.0, 6.731428571428571)","(26.0, 36.0, 35.0625)","(7.0, 8.0, 7.92992700729927)","(101.0, 420.0, 375.0)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 108.66666666666667)"
14-12-2022 19:11:40.444806,"(5.0, 6.2, 6.122137404580153)","(3.2, 3.65, 3.610057471264368)","(61.0, 140.0, 119.23076923076923)","(4.4, 4.9, 4.7821428571428575)","(31.0, 85.0, 80.0)","(5.5, 7.0, 6.731428571428571)","(26.0, 36.0, 35.0625)","(7.0, 8.0, 7.8759999999999994)","(101.0, 420.0, 375.0)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 108.66666666666667)"
14-12-2022 19:11:41.738613,"(5.0, 6.2, 6.122137404580153)","(3.2, 3.65, 3.610344827586207)","(61.0, 140.0, 127.14285714285714)","(4.4, 4.8, 4.753846153846154)","(31.0, 85.0, 71.33333333333333)","(5.5, 7.0, 6.731428571428571)","(26.0, 36.0, 35.0625)","(7.0, 8.0, 7.8759999999999994)","(101.0, 420.0, 390.0)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 108.66666666666667)"
14-12-2022 19:11:42.978173,"(5.0, 6.2, 6.122137404580153)","(3.2, 3.65, 3.616826923076923)","(61.0, 140.0, 134.0)","(4.4, 4.8, 4.753846153846154)","(31.0, 90.0, 79.375)","(5.5, 7.0, 6.731428571428571)","(26.0, 36.0, 35.0625)","(7.0, 8.0, 7.8759999999999994)","(101.0, 420.0, 390.0)","(51.0, 75.0, 62.142857142857146)","(71.0, 110.0, 108.66666666666667)"
