,Sunset Tara,Body Slam,Fried Giblet,Intruder,Zinger Giblet,Shes Magical
08-01-2023 15:58:52.533291,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:53.445029,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:54.421166,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:55.403890,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:56.302379,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:57.357452,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:58.364042,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:59.237264,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:00.247790,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:01.240219,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
