,Dreamseeker,Papas Dream,Vandini,Royalspector,Zou Zou Kacanarkis,Mr Lannigan,Lexington Lad,Top Babe,Cadouin,Gratsie,Rains Aplenty,Hold All Tickets
12-01-2023 17:49:24.442671,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:26.157286,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 9.986206896551725)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:27.834231,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 9.986206896551725)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:29.556379,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 9.986206896551725)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:31.271176,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.986206896551725)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:32.971046,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:34.711592,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:36.458315,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:38.123582,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:39.812767,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.721739130434782)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:41.411093,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 6.8, 6.759090909090909)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:43.021960,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 6.8, 6.761702127659574)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:44.602016,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 6.8, 6.761702127659574)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:46.310106,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 6.8, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:47.963744,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:49.624574,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:51.562687,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:53.472379,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:55.096889,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:56.704269,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:58.290198,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:49:59.962596,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.464285714285715)","(4.0, 7.0, 6.89)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.707692307692308)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:01.642605,"(2.9, 3.15, 3.1402061855670103)","(16.0, 26.0, 21.0)","(51.0, 85.0, 65.0)","(7.5, 9.0, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 9.986206896551725)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:03.618052,"(2.9, 3.15, 3.1402061855670103)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 9.986206896551725)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:05.339152,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:07.169657,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:08.907201,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 9.93939393939394)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:10.631866,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:12.270296,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:13.898913,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:15.571887,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 79.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:17.222944,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 36.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:18.893719,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 21.0)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 34.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:20.516098,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 24.454545454545453)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 34.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:22.128632,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 24.454545454545453)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 34.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:23.831007,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 24.454545454545453)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 34.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:25.565671,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 24.454545454545453)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 34.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
12-01-2023 17:50:27.522781,"(2.9, 3.15, 3.1185185185185182)","(16.0, 26.0, 24.454545454545453)","(51.0, 75.0, 65.0)","(7.5, 8.8, 8.75)","(4.0, 7.0, 6.772413793103448)","(20.0, 34.0, 30.0)","(5.5, 6.8, 6.67906976744186)","(7.5, 11.0, 10.02)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 80.0)","(71.0, 190.0, 151.66666666666669)"
