,Sailalong Sinbad,Mighty George Nz,Lord Of Misrule Nz,Quartzite,Delta Three Nz,Kyronta,What A Jolt,Mossdale Mac Nz,Cheetah Lodge
10-01-2023 16:04:09.956459,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.8)"
10-01-2023 16:04:11.327508,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.8)"
10-01-2023 16:04:12.643334,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 8.200000000000001)"
10-01-2023 16:04:13.925905,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:15.257023,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:16.615278,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:18.020454,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:19.292894,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:20.749532,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:21.989314,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:23.206405,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:24.472642,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:25.627257,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 180.83333333333334)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:26.866828,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 200.0, 160.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:28.099830,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 160.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:29.342682,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:30.533948,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.200000000000001)"
10-01-2023 16:04:31.615456,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 7.6000000000000005)"
10-01-2023 16:04:32.715049,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 6.800000000000001)"
10-01-2023 16:04:33.902933,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 7.2)"
10-01-2023 16:04:35.095343,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 7.2)"
10-01-2023 16:04:36.261992,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 7.2)"
10-01-2023 16:04:37.363819,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.32)"
10-01-2023 16:04:38.516679,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.32)"
10-01-2023 16:04:39.766033,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.0)"
10-01-2023 16:04:40.960551,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.0)"
10-01-2023 16:04:42.150727,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 154.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 8.360000000000001)"
10-01-2023 16:04:43.436461,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 190.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.360000000000001)"
10-01-2023 16:04:44.679252,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.360000000000001)"
10-01-2023 16:04:45.897167,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.360000000000001)"
10-01-2023 16:04:47.123608,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:48.330372,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:49.515706,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:50.693440,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:51.849632,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:53.033315,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:54.162837,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 147.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:55.249038,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 180.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:56.380864,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:57.501231,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:58.674990,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:04:59.875774,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:05:01.012350,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 8.171428571428573)"
10-01-2023 16:05:02.220414,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 7.7)"
10-01-2023 16:05:03.490220,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.800000000000001)"
10-01-2023 16:05:04.754303,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.800000000000001)"
10-01-2023 16:05:05.930198,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 140.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.800000000000001)"
10-01-2023 16:05:07.096454,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 170.0, 132.85714285714286)","(6.5, 99999, 99990)","(6.0, 8.8, 6.800000000000001)"
10-01-2023 16:05:08.341739,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.7375)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 132.85714285714286)","(6.5, 99999, 99990)","(6.0, 8.8, 6.800000000000001)"
10-01-2023 16:05:09.528512,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.925)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 123.46153846153845)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:10.854391,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.3, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 119.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:12.162479,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 119.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:13.343230,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 119.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:14.583874,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 119.28571428571428)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:15.857938,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 160.0, 133.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:17.168123,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 150.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:18.440748,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:19.630655,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:20.803125,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:22.019350,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:23.205126,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:24.399733,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:25.571830,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:26.768403,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
