,Stompem Nz,Whata Roller,We Always Have Faith Nz,Karloo Bradley Nz,Saving Major Percy,Kanye Crusader
10-01-2023 13:33:27.302476,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:28.244468,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:29.153542,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:30.159696,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:31.109292,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:32.099263,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:33.046419,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:34.002192,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:34.975582,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:35.927612,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:36.853379,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:37.780334,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:38.677283,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:39.583636,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:40.550375,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:41.516247,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:42.472159,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:43.342201,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:44.348493,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:45.340488,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:46.434625,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:47.460119,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:48.565079,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:49.575430,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:50.616272,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:51.562728,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:52.483101,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:53.386343,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:54.347781,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:55.337337,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:56.372011,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:57.397099,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:58.396684,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:59.350181,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:00.357680,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:01.287109,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:02.160871,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:03.130118,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:04.077856,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:05.116517,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:06.137159,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:07.205968,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:08.214574,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:09.147909,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:10.116253,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:11.082097,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:12.078474,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:13.036595,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:14.002868,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:14.943053,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:15.917848,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:16.821196,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:17.710568,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:18.688295,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:19.713959,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:20.741228,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:21.770776,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:22.817139,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:23.827316,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:24.887837,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:25.841215,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:26.733151,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:27.690803,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:28.740133,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:29.777773,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:30.715366,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:31.602114,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:32.555250,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:33.578795,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:34.592007,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:35.580944,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:36.516954,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:37.479224,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:38.422002,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:39.425993,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:40.353924,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:41.300025,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:42.485665,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:43.691420,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:44.821147,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:45.963465,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:46.951389,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:47.940396,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:49.018290,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:50.088753,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:51.094394,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:52.061062,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:52.980154,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:53.907422,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:55.194515,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:56.292295,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:57.358745,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:58.485753,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:34:59.557944,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:00.649081,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:01.763181,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:02.745447,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:03.742442,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:04.877994,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:05.903067,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:06.937550,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:07.911347,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:08.920288,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:09.940732,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:10.933861,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:11.954667,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:12.997116,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:14.037333,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:15.091906,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:16.337900,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:35:17.456923,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
