,Speedy Sunny,Sister One,Slick Soldier,Fabulous Victor,Coopers Mate,Misbehaved,My Luck Many
04-01-2023 14:46:02.990555,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:04.021199,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:05.104164,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:06.130479,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:07.117424,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:08.103292,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:09.073303,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:10.066423,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:11.139550,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:12.282693,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:13.385793,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:14.480564,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:15.531532,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:16.545914,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:17.635210,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:18.725930,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:19.823364,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:20.844662,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:21.784009,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:22.712651,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:23.686958,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:24.733011,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:25.770535,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:26.817155,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:27.809918,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:28.772988,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:29.710667,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:30.661587,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:31.696049,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:32.739479,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:33.821525,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:34.799045,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:35.698528,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:36.668600,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:37.671386,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:38.778416,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:39.799053,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:40.803717,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:41.765599,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:42.741629,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:43.694018,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:44.658469,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:45.831147,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:46.777539,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:47.780355,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:48.772928,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:49.858846,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:50.878969,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:51.977611,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:53.080652,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:54.204716,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:55.167587,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:56.132737,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:57.108962,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:58.087941,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:46:59.192333,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:00.264065,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:01.334997,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:02.388041,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:03.371622,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:04.301657,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:05.298671,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:06.332128,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:07.399412,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:08.453593,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:09.502590,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:10.557282,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:11.630315,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:12.660024,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:13.681862,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:14.659750,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:15.686607,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:16.728246,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:17.854768,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:18.941415,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:20.063584,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:21.194321,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:22.243517,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:23.201952,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:24.213103,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:25.192475,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:26.356655,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:27.464243,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:47:28.555367,"(11.0, 22.0, 20.9)","(4.6, 9.0, 7.222222222222222)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 6.587096774193548)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
