,Nicco The Greek,Im Krupt,Flying To Paris,Coronation Veronic,Black Eaglet,Gee Gee Miss Quita,Alvarinho,Finxy,Zulu Guru
06-01-2023 17:10:10.558663,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 25.142857142857142)"
06-01-2023 17:10:11.974566,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:13.422348,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:14.937377,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:16.437599,"(3.1, 3.45, 3.4375)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:17.959490,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:19.588791,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:21.040335,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:22.516054,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
06-01-2023 17:10:23.995841,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 27.875)"
